accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	verdict
A0A087XJU3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3624.2	291.2	0.9197	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Poecilia formosa (Amazon molly) (Limia formosa)	48698	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2426	1		0	Inferred from homology	0	PF01365;PF08454	PF00520;PF01365;PF02815;PF08454	4		not in the sweep DB — never searched
A0A087XPK2	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4145.9	397.4	0.9041	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Poecilia formosa (Amazon molly) (Limia formosa)	48698	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	2693	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the sweep DB — never searched
A0A096MV95	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4450.5	436.4	0.9019	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Papio anubis (Olive baboon)	9555	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	2738	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the sweep DB — never searched
A0A096NHK1	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3906.2	376.3	0.9037	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Papio anubis (Olive baboon)	9555	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	2618	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the sweep DB — never searched
A0A0A0MY31	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4448.7	425.2	0.9044	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Rattus norvegicus (Rat)	10116	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Muridae	2738	1		0	Evidence at protein level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A0F7ZAC3	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4005.1	426.0	0.8936	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Crotalus adamanteus (Eastern diamondback rattlesnake)	8729	Vertebrata	Metazoa	Chordata	Lepidosauria	Squamata	Viperidae	2666	1		0	Evidence at transcript level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the sweep DB — never searched
A0A0G2K260	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4168.3	458.1	0.8901	interpro+calibration	InterPro	Itpr2	Inositol 1,4,5-trisphosphate receptor	Rattus norvegicus (Rat)	10116	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Muridae	2670	1		0	Evidence at protein level	1	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A0G2K9N6	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3980.8	420.7	0.8943	interpro+calibration	InterPro	Itpr3	Inositol 1,4,5-trisphosphate receptor	Rattus norvegicus (Rat)	10116	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Muridae	2649	1		0	Evidence at protein level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A0G2KAH9	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	4095.1	383.9	0.9063	interpro+calibration	InterPro	Itpr1	Inositol 1,4,5-trisphosphate receptor	Rattus norvegicus (Rat)	10116	Vertebrata	Metazoa	Chordata	Mammalia	Rodentia	Muridae	2574	1		0	Evidence at protein level	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
A0A0R4IH08	ITPR	high	architecture and profile both call ITPR	both	ITPR	ITPR	high	3898.5	394.8	0.8987	interpro+calibration	InterPro	itpr3	Inositol 1,4,5-trisphosphate receptor	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Danionidae	2634	1		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF00520;PF01365;PF02815;PF08454;PF08709	5		not in the DB; another entry of the same gene was hit
