accession	organism	group	kingdom	phylum	class	reasons	status	n_full	n_fragment	n_scrap	n_loci_raw	n_merges	best_coverage	best_identity	annotated_full	family_named_full	mir_loci	ryr_loci	expects_ryr	control_verdict	control_why	spans_gene	contiguity_bar_bp	genome_bp	contig_n50	annotated	novel_model_count	max_intron	total_s
GCF_000001215.4	Drosophila melanogaster	metazoa	Metazoa	Arthropoda	Insecta	anchor	found_annotated	1	0	0	1	0	1.0	1.0	1	1	1	1	True	controlled_by_target	1 full ITPR locus/loci found — the search reached this assembly, so no separate proof-of-search is needed	True	83321	143706478	21485538	Y	0	649680	33.2
GCF_000001735.4	Arabidopsis thaliana	viridiplantae	Viridiplantae	Streptophyta	Magnoliopsida	anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	1	0	False	controlled	1 MIR-domain locus/loci found	True	19435	119146348	11194537	Y	0	649680	33.5
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Metazoa	Echinodermata	Echinoidea	anchor	found_annotated	1	0	0	1	0	1.0	1.0	1	0	1	1	True	controlled_by_target	1 full ITPR locus/loci found — the search reached this assembly, so no separate proof-of-search is needed	True	83321	921840143	2052140	Y	1	649680	57.1
GCF_000002425.5	Physcomitrium patens	viridiplantae	Viridiplantae	Streptophyta	Bryopsida	class_rep;anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	2	0	False	controlled	2 MIR-domain locus/loci found	True	19435	471971527	590131	Y	0	649680	37.7
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Viridiplantae	Chlorophyta	Chlorophyceae	anchor	found_annotated	1	0	0	1	0	1.0	0.9997	1	0	0	0	False	controlled_by_target	1 full ITPR locus/loci found — the search reached this assembly, so no separate proof-of-search is needed	True	19435	111098438	215409	Y	1	649680	34.0
GCF_000002985.6	Caenorhabditis elegans	metazoa	Metazoa	Nematoda	Chromadorea	phylum_rep;class_rep;anchor	found_annotated	1	0	0	1	0	1.0	1.0	1	0	1	1	True	controlled_by_target	1 full ITPR locus/loci found — the search reached this assembly, so no separate proof-of-search is needed	True	83321	100272607	17493829	Y	1	649680	19.2
GCF_000004695.1	Dictyostelium discoideum AX4	amoebozoa		Evosea	Eumycetozoa	phylum_rep;anchor	found_annotated	1	0	0	1	0	1.0	1.0	1	1	0	0	False	controlled_by_target	1 full ITPR locus/loci found — the search reached this assembly, so no separate proof-of-search is needed	True	8813	34149409	341816	Y	0	200000	24.9
GCF_000006565.2	Toxoplasma gondii ME49	sar		Apicomplexa	Conoidasida	anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	0	0	False	uncontrolled	neither the MIR-domain control nor an expected RyR was found; no absence claim may rest on this genome	True	7305	65633124	1219553	Y	0	200000	13.8
GCF_000091225.2	Encephalitozoon cuniculi GB-M1	fungi	Fungi	Microsporidia		anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	1	0	False	controlled	1 MIR-domain locus/loci found	True	9363	2497519	218329	Y	0	200000	1.4
GCF_000146045.2	Saccharomyces cerevisiae S288C	fungi	Fungi	Ascomycota	Saccharomycetes	anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	4	0	False	controlled	4 MIR-domain locus/loci found	True	9363	12071326	924431	Y	0	200000	6.5
GCF_000182925.2	Neurospora crassa OR74A	fungi	Fungi	Ascomycota	Sordariomycetes	anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	2	0	False	controlled	2 MIR-domain locus/loci found	True	9363	41037538	656009	Y	0	200000	13.9
GCF_000203795.2	Batrachochytrium dendrobatidis JAM81	fungi	Fungi	Chytridiomycota	Chytridiomycetes	phylum_rep;anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	2	0	False	controlled	2 MIR-domain locus/loci found	True	9363	23810896	318527	Y	0	200000	6.4
GCF_034140825.1	Oryza sativa Japonica Group	viridiplantae	Viridiplantae	Streptophyta	Magnoliopsida	anchor	no_locus	0	0	0	0	0	0.0	0.0	0	0	2	0	False	controlled	2 MIR-domain locus/loci found	True	19435	385710679	31111469	Y	0	649680	48.1
GCF_932526225.1	Nematostella vectensis	metazoa	Metazoa	Cnidaria	Anthozoa	anchor	found_annotated	1	0	0	1	0	1.0	0.8456	1	0	1	0	True	controlled_by_target	1 full ITPR locus/loci found — the search reached this assembly, so no separate proof-of-search is needed	True	83321	269418438	2927189	Y	1	649680	30.3
