accession	organism	group	phylum	contig	start	end	strand	grade	bait	band	identity	coverage	score	aligned_aa	bait_len	frameshifts	stop_codons	family_margin	contig_edge	n_gap	annot_names_family	span_bp	cds_footprint_bp	span_inflation
GCF_000001215.4	Drosophila melanogaster	metazoa	Arthropoda	NT_033777.3	5527819	5825305	+	full	P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	Arthropoda	1.0	1.0	14592.0	2837	2837	0	0	1.0	False	False	True	297487	8514	34.94
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	NW_022145612.1	50950206	51381484	+	full	A0A7M7MY00|unnamed|Strongylocentrotus_purpuratus|Echinodermata|ITPR	Echinodermata	1.0	1.0	14600.0	2820	2820	0	0	1.0	False	False	False	431279	8463	50.96
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	NW_022145604.1	28994150	29536428	+	scrap	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2978	0.1656	474.0	526	3177	2	1	1.0	False	False	False	542279	1584	342.35
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	NW_022145605.1	24542209	24920010	-	scrap	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2942	0.1668	423.0	530	3177	2	0	1.0	False	False	False	377802	1545	244.53
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	NW_022145601.1	23131132	23445036	-	scrap	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2649	0.1643	409.0	522	3177	1	0	1.0	False	False	False	313905	1436	218.6
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	NW_022145605.1	16663051	16980418	+	scrap	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2824	0.1662	370.0	528	3177	0	1	1.0	False	True	False	317368	1524	208.25
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057019.1	3086978	3104767	+	full	A0A2K3CTW4|CHLRE_16g665450v5|Chlamydomonas_reinhardtii|Chlorophyta|ITPR	Chlorophyta	0.9997	1.0	16579.0	3210	3210	0	0	1.0	False	False	False	17790	9633	1.85
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057016.1	318596	937908	+	scrap	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	0.2841	0.2811	692.0	940	3344	0	0	1.0	False	True	False	619313	2772	223.42
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057010.1	4154149	4580697	+	scrap	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	0.2767	0.2578	688.0	862	3344	2	1	1.0	False	True	False	426549	2602	163.93
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057005.1	3150789	3549645	+	scrap	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	0.2777	0.2718	610.0	909	3344	2	0	1.0	False	True	False	398857	2691	148.22
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057011.1	1161546	1458752	+	scrap	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	0.2511	0.2461	541.0	823	3344	0	0	1.0	False	True	False	297207	2514	118.22
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	NC_057014.1	2775160	3052219	-	scrap	A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	Platyhelminthes	0.2857	0.103	199.0	300	2914	0	1	1.0	False	True	False	277060	954	290.42
GCF_000002985.6	Caenorhabditis elegans	metazoa	Nematoda	NC_003282.8	7675174	7968185	+	full	Q9Y0A1|itr-1|Caenorhabditis_elegans|Nematoda|ITPR	Nematoda	1.0	1.0	15026.0	2892	2892	0	0	1.0	False	False	True	293012	8679	33.76
GCF_000004695.1	Dictyostelium discoideum AX4	amoebozoa	Evosea	NC_007092.3	1735940	1814945	-	full	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	1.0	1.0	16440.0	3177	3177	0	0	0.9938	False	True	True	79006	9534	8.29
GCF_000182925.2	Neurospora crassa OR74A	fungi	Ascomycota	NC_026502.1	3389768	3556695	-	scrap	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	0.268	0.2368	460.0	792	3344	1	0	1.0	False	False	False	166928	2251	74.16
GCF_034140825.1	Oryza sativa Japonica Group	viridiplantae	Streptophyta	NC_089039.1	17595814	17921759	-	scrap	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.3088	0.1637	437.0	520	3177	0	1	1.0	False	False	False	325946	1500	217.3
GCF_932526225.1	Nematostella vectensis	metazoa	Cnidaria	NC_064043.1	14205416	14735829	-	full	A0A6P8IUM8|LOC116304295|Actinia_tenebrosa|Cnidaria|ITPR	Cnidaria	0.8456	1.0	11982.0	2745	2745	0	0	1.0	False	True	False	530414	8166	64.95
GCF_932526225.1	Nematostella vectensis	metazoa	Cnidaria	NC_064048.1	2342829	2655982	-	fragment	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2582	0.3138	672.0	997	3177	2	1	1.0	False	True	False	313154	2714	115.38
GCF_932526225.1	Nematostella vectensis	metazoa	Cnidaria	NC_064045.1	4916618	5054298	-	fragment	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2632	0.3261	622.0	1036	3177	2	0	1.0	False	False	False	137681	2668	51.6
GCF_932526225.1	Nematostella vectensis	metazoa	Cnidaria	NC_064047.1	11395499	11792880	-	scrap	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	0.2599	0.2496	476.0	793	3177	3	0	1.0	False	False	False	397382	2317	171.51
