case_id	accession	contig	start	end	strand	gene_id	name	biotype	family_from_name	span	emits_protein
case_a	GCA_014281875.1	CM024789.1	21904052	21905908	+	gene-GBF38_022448	ITPRIP	protein_coding	ITPR	1857	1
case_a	GCA_014281875.1	CM024790.1	23063481	23116726	-	gene-GBF38_012862	ITPR1	pseudogene	ITPR	53246	0
case_a	GCA_014281875.1	CM024790.1	23125265	23129085	-	gene-GBF38_013612	ITPR1.4	protein_coding	ITPR	3821	1
case_a	GCA_014281875.1	CM024793.1	25693390	25713656	-	gene-GBF38_020338	ITPR2	pseudogene	ITPR	20267	0
case_a	GCA_014281875.1	CM024794.1	23967204	24011233	+	gene-GBF38_012039	RYR3.6	pseudogene	RYR	44030	0
case_a	GCA_014281875.1	CM024797.1	8601935	8644408	+	gene-GBF38_002413	RYR2.3	pseudogene	RYR	42474	0
case_a	GCA_014281875.1	CM024797.1	8645129	8667150	+	gene-GBF38_002412	RYR2.2	protein_coding	RYR	22022	1
case_a	GCA_014281875.1	CM024797.1	10362903	10363199	-	gene-GBF38_002352	ITPRIP.3	protein_coding	ITPR	297	1
case_a	GCA_014281875.1	CM024797.1	10363528	10364516	-	gene-GBF38_002351	ITPRIP.2	pseudogene	ITPR	989	0
case_a	GCA_014281875.1	CM024799.1	9223329	9263571	-	gene-GBF38_022104	RYR3.3	pseudogene	RYR	40243	0
case_a	GCA_014281875.1	CM024799.1	9299502	9306534	-	gene-GBF38_022103	RYR3	protein_coding	RYR	7033	1
case_a	GCA_014281875.1	CM024802.1	15535808	15617296	+	gene-GBF38_006181	RYR3.5	pseudogene	RYR	81489	0
case_a	GCA_014281875.1	CM024807.1	19140929	19182936	-	gene-GBF38_019800	RYR2	pseudogene	RYR	42008	0
case_a	GCA_014281875.1	JABGLX010000148.1	147	4382	-	gene-GBF38_000688	ITPR3.5	protein_coding	ITPR	4236	1
