trimmed_column	aln_column
1	148
2	149
3	150
4	151
5	152
6	153
7	154
8	155
9	156
10	157
11	228
12	229
13	230
14	231
15	232
16	233
17	234
18	235
19	236
20	237
21	265
22	266
23	267
24	268
25	269
26	270
27	271
28	283
29	284
30	285
31	286
32	287
33	296
34	297
35	298
36	299
37	300
38	301
39	302
40	303
41	304
42	305
43	306
44	307
45	308
46	309
47	310
48	311
49	312
50	313
51	314
52	315
53	316
54	459
55	460
56	461
57	462
58	463
59	464
60	465
61	479
62	480
63	481
64	482
65	483
66	484
67	485
68	486
69	487
70	488
71	489
72	490
73	491
74	492
75	493
76	505
77	506
78	507
79	508
80	509
81	510
82	511
83	512
84	513
85	514
86	515
87	516
88	526
89	527
90	528
91	529
92	530
93	531
94	532
95	533
96	534
97	535
98	536
99	537
100	538
101	539
102	540
103	541
104	542
105	543
106	544
107	545
108	546
109	547
110	548
111	549
112	550
113	551
114	552
115	553
116	554
117	555
118	556
119	557
120	558
121	559
122	560
123	561
124	562
125	571
126	572
127	573
128	574
129	575
130	576
131	577
132	578
133	579
134	580
135	607
136	608
137	609
138	610
139	611
140	612
141	613
142	614
143	615
144	621
145	622
146	623
147	624
148	625
149	626
150	627
151	642
152	643
153	644
154	645
155	646
156	647
157	737
158	738
159	739
160	740
161	741
162	742
163	743
164	744
165	745
166	746
167	775
168	776
169	777
170	778
171	779
172	780
173	781
174	782
175	783
176	784
177	785
178	786
179	787
180	788
181	789
182	790
183	791
184	796
185	797
186	798
187	799
188	800
189	801
190	840
191	841
192	842
193	843
194	844
195	885
196	886
197	887
198	888
199	889
200	890
201	891
202	892
203	893
204	894
205	895
206	896
207	897
208	917
209	918
210	919
211	920
212	921
213	922
214	923
215	924
216	925
217	1018
218	1019
219	1020
220	1021
221	1022
222	1023
223	1024
224	1025
225	1026
226	1027
227	1040
228	1041
229	1042
230	1043
231	1044
232	1045
233	1046
234	1047
235	1048
236	1049
237	1050
238	1051
239	1052
240	1053
241	1054
242	1055
243	1056
244	1228
245	1229
246	1230
247	1231
248	1232
249	1233
250	1234
251	1235
252	1236
253	1262
254	1263
255	1264
256	1265
257	1266
258	1267
259	1268
260	1281
261	1282
262	1283
263	1284
264	1285
265	1286
266	1298
267	1299
268	1300
269	1301
270	1302
271	1303
272	1331
273	1332
274	1333
275	1334
276	1335
277	1339
278	1340
279	1341
280	1342
281	1343
282	1426
283	1427
284	1428
285	1429
286	1430
287	1431
288	1432
289	1450
290	1451
291	1452
292	1453
293	1454
294	1455
295	1456
296	1457
297	1458
298	1459
299	1478
300	1479
301	1480
302	1481
303	1482
304	1483
305	1484
306	1485
307	1486
308	1487
309	1488
310	1489
311	1490
312	1491
313	1492
314	1493
315	1494
316	1495
317	1496
318	1497
319	1498
320	1499
321	1500
322	1501
323	1502
324	1503
325	1504
326	1505
327	1506
328	1542
329	1543
330	1544
331	1545
332	1546
333	1547
334	1591
335	1592
336	1593
337	1594
338	1595
339	1596
340	1597
341	1598
342	1599
343	1600
344	1601
345	1602
346	1603
347	1630
348	1631
349	1632
350	1633
351	1634
352	1635
353	1671
354	1672
355	1673
356	1674
357	1675
358	1676
359	1677
360	1678
361	1679
362	1680
363	1681
364	1682
365	1683
366	1684
367	1685
368	1686
369	1687
370	1688
371	1689
372	1690
373	1691
374	1692
375	1693
376	1694
377	1695
378	1696
379	1697
380	1698
381	1699
382	1700
383	1701
384	1736
385	1737
386	1738
387	1739
388	1740
389	1741
390	1742
391	1743
392	1750
393	1751
394	1752
395	1753
396	1754
397	1755
398	1756
399	1810
400	1811
401	1812
402	1813
403	1814
404	1815
405	1816
406	1817
407	1818
408	1819
409	1820
410	1873
411	1874
412	1875
413	1876
414	1877
415	1919
416	1920
417	1921
418	1922
419	1923
420	1924
421	1925
422	1986
423	1987
424	1988
425	1989
426	1990
427	1991
428	1992
429	1993
430	1994
431	1995
432	1996
433	1997
434	1998
435	1999
436	2000
437	2001
438	2002
439	2003
440	2004
441	2005
442	2006
443	2007
444	2008
445	2020
446	2021
447	2022
448	2023
449	2024
450	2025
451	2026
452	2027
453	2028
454	2029
455	2030
456	2107
457	2108
458	2109
459	2110
460	2111
461	2112
462	2113
463	2114
464	2115
465	2116
466	2117
467	2118
468	2119
469	2120
470	2121
471	2122
472	2182
473	2183
474	2184
475	2185
476	2186
477	2187
478	2188
479	2189
480	2190
481	2191
482	2192
483	2193
484	2194
485	2252
486	2253
487	2254
488	2255
489	2256
490	3301
491	3302
492	3303
493	3304
494	3305
495	3534
496	3535
497	3536
498	3537
499	3538
500	3539
501	3540
502	3541
503	3542
504	3543
505	3544
506	3562
507	3563
508	3564
509	3565
510	3566
511	3567
512	3568
513	3569
514	3606
515	3607
516	3608
517	3609
518	3610
519	3611
520	3612
521	3613
522	3614
523	3615
524	3616
525	3617
526	3618
527	3643
528	3644
529	3645
530	3646
531	3647
532	3648
533	3659
534	3660
535	3661
536	3662
537	3663
538	3664
539	3665
540	3666
541	3667
542	3668
543	3669
544	3670
545	3671
546	3672
547	3673
548	3674
549	3689
550	3690
551	3691
552	3692
553	3693
554	3694
555	3695
556	3696
557	3697
558	3698
559	3699
560	3700
561	3748
562	3749
563	3750
564	3751
565	3752
566	3905
567	3906
568	3907
569	3908
570	3909
571	3910
572	3911
573	3912
574	3913
575	3914
576	3915
577	3916
578	3917
579	3918
580	3919
581	3920
582	3977
583	3978
584	3979
585	3980
586	3981
587	3982
588	3983
589	3984
590	3985
591	3986
592	3987
593	3988
594	3989
595	3990
596	3991
597	3992
598	3993
599	3994
600	3995
601	4081
602	4082
603	4083
604	4084
605	4085
606	4097
607	4098
608	4099
609	4100
610	4101
611	4102
612	4103
613	4241
614	4242
615	4243
616	4244
617	4245
618	4246
619	4247
620	4248
621	4256
622	4257
623	4258
624	4259
625	4260
626	4261
627	4262
628	4263
629	4264
630	4265
631	4266
632	4267
633	4268
634	4269
635	4375
636	4376
637	4377
638	4378
639	4379
640	4387
641	4388
642	4389
643	4390
644	4391
645	4392
646	4393
647	4394
648	4395
649	4396
650	4397
651	4439
652	4440
653	4441
654	4442
655	4443
656	4444
657	4445
658	4446
659	4447
660	4448
661	4449
662	4450
663	4451
664	4452
665	4453
666	4454
667	4455
668	4599
669	4600
670	4601
671	4602
672	4603
673	4604
674	4605
675	4606
676	4720
677	4721
678	4722
679	4723
680	4724
681	4807
682	4808
683	4809
684	4810
685	4811
