id	accession	band	role	length	passed	assignment	rel_margin	itpr_score	ryr_score	envelope_frac	max_internal_gap	n_segments	reason
A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	A0A4Y2F2N2	Arthropoda	ITPR	2774	1	ITPR	0.8805	3963.0	473.7	0.9932	0	1	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0ABM1SEU6|LOC106459878|Limulus_polyphemus|Arthropoda|ITPR	A0ABM1SEU6	Arthropoda	ITPR	2790	1	ITPR	0.8828	3914.1	458.8	0.9932	0	1	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
T1IW96|unnamed|Strigamia_maritima|Arthropoda|ITPR	T1IW96	Arthropoda	ITPR	2752	1	ITPR	0.8905	3823.9	418.8	0.996	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A6L2Q503|Cfor_01649|Coptotermes_formosanus|Arthropoda|ITPR	A0A6L2Q503	Arthropoda	ITPR	2742	1	ITPR	0.8905	3818.1	418.0	0.9938	0	1	itpr.hmm wins at 89% margin over an envelope covering 99% in 1 segment(s)
A0AAJ7RV02|LOC107274736|Cephus_cinctus|Arthropoda|ITPR	A0AAJ7RV02	Arthropoda	ITPR	2726	1	ITPR	0.8827	3809.4	446.7	0.9945	0	1	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0ACM8F2K1|LOC8026823|Ixodes_scapularis|Arthropoda|RYR	A0ACM8F2K1	Arthropoda	RYR	5156	1	RYR	0.8916	739.1	6815.8	0.9992	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
I3VR33|unnamed|Bemisia_tabaci|Arthropoda|RYR	I3VR33	Arthropoda	RYR	5142	1	RYR	0.8964	733.5	7079.0	0.9984	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0ABD2VZB8|TKK_018783|Trichogramma_kaykai|Arthropoda|RYR	A0ABD2VZB8	Arthropoda	RYR	5114	1	RYR	0.8948	733.3	6969.9	0.9984	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
T1E1N4|unnamed|Cupiennius_salei|Arthropoda|RYR	T1E1N4	Arthropoda	RYR	5056	1	RYR	0.8941	730.6	6900.5	0.999	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
V5RE97|RyR|Helicoverpa_armigera|Arthropoda|RYR	V5RE97	Arthropoda	RYR	5142	1	RYR	0.8974	728.0	7094.5	0.9994	0	1	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A0V1CUW8|itr-1|Trichinella_britovi|Nematoda|ITPR	A0A0V1CUW8	Nematoda	ITPR	2676	1	ITPR	0.8505	2682.3	401.1	0.9959	0	1	itpr.hmm wins at 85% margin over an envelope covering 100% in 1 segment(s)
A0AAE9EPC3|L5515_011260|Caenorhabditis_briggsae|Nematoda|ITPR	A0AAE9EPC3	Nematoda	ITPR	2895	1	ITPR	0.8714	2976.1	382.6	0.9699	0	1	itpr.hmm wins at 87% margin over an envelope covering 97% in 1 segment(s)
A0A2G5U3K6|Cni-itr-1|Caenorhabditis_nigoni|Nematoda|ITPR	A0A2G5U3K6	Nematoda	ITPR	2843	1	ITPR	0.8718	2974.5	381.3	0.9873	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0AAE9EVW9|L5515_011260|Caenorhabditis_briggsae|Nematoda|ITPR	A0AAE9EVW9	Nematoda	ITPR	2850	1	ITPR	0.8728	2972.3	378.0	0.9881	0	1	itpr.hmm wins at 87% margin over an envelope covering 99% in 1 segment(s)
A0AAE9EU78|L5515_011260|Caenorhabditis_briggsae|Nematoda|ITPR	A0AAE9EU78	Nematoda	ITPR	2903	1	ITPR	0.8712	2971.5	382.6	0.97	0	1	itpr.hmm wins at 87% margin over an envelope covering 97% in 1 segment(s)
A0AAE9JMP4|L5515_008471|Caenorhabditis_briggsae|Nematoda|RYR	A0AAE9JMP4	Nematoda	RYR	5122	1	RYR	0.8932	717.7	6721.6	0.9994	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A0V1AFJ9|Rya-r44F|Trichinella_patagoniensis|Nematoda|RYR	A0A0V1AFJ9	Nematoda	RYR	5115	1	RYR	0.881	707.5	5945.3	0.9982	0	1	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0A7I4YSE1|unnamed|Haemonchus_contortus|Nematoda|RYR	A0A7I4YSE1	Nematoda	RYR	5054	1	RYR	0.8909	711.1	6517.3	0.9832	83	2	ryr.hmm wins at 89% margin over an envelope covering 98% in 2 segment(s)
A0A7I4YT81|unnamed|Haemonchus_contortus|Nematoda|RYR	A0A7I4YT81	Nematoda	RYR	5055	1	RYR	0.8913	711.0	6541.3	0.9832	83	2	ryr.hmm wins at 89% margin over an envelope covering 98% in 2 segment(s)
A0A0V1AFC9|Rya-r44F|Trichinella_patagoniensis|Nematoda|RYR	A0A0V1AFC9	Nematoda	RYR	5150	1	RYR	0.8804	707.5	5917.4	0.9983	0	1	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0AAE9F7N4|L5515_008471|Caenorhabditis_briggsae|Nematoda|RYR	A0AAE9F7N4	Nematoda	RYR	5249	1	RYR	0.8947	706.1	6703.6	0.9994	0	1	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	A0AAN8PFL6	Mollusca	ITPR	2679	1	ITPR	0.8713	3825.7	492.3	0.9963	0	1	itpr.hmm wins at 87% margin over an envelope covering 100% in 1 segment(s)
A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	A0AAN9BAK1	Mollusca	ITPR	2744	1	ITPR	0.8787	3821.4	463.7	0.9923	10	2	itpr.hmm wins at 88% margin over an envelope covering 99% in 2 segment(s)
A0A6P7TCD4|LOC115222534|Octopus_sinensis|Mollusca|ITPR	A0A6P7TCD4	Mollusca	ITPR	2662	1	ITPR	0.8801	3789.7	454.3	0.9962	0	1	itpr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0A6J8DKJ0|MCOR_41496|Mytilus_coruscus|Mollusca|ITPR	A0A6J8DKJ0	Mollusca	ITPR	2683	1	ITPR	0.8802	3742.9	448.5	0.9955	0	1	itpr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
