upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000006548	Arabidopsis thaliana (Mouse-ear cress)	3702	39272	viridiplantae			swept
UP000059680	Oryza sativa subsp. japonica (Rice)	39947	48896	viridiplantae			swept
UP000243839	Ipomoea nil (Japanese morning glory) (Pharbitis nil)	35883	109	viridiplantae			swept
UP000000226	Phaseolus vulgaris (Kidney bean) (French bean)	3885	31051	viridiplantae			swept
UP000000768	Sorghum bicolor (Sorghum) (Sorghum vulgare)	4558	41412	viridiplantae			swept
UP000001058	Volvox carteri f. nagariensis	3068	14335	viridiplantae			swept
UP000001514	Selaginella moellendorffii (Gemmiferous spikemoss) (Kungiselaginella moellendorffii)	88036	33150	viridiplantae			swept
UP000001568	Ostreococcus lucimarinus (strain CCE9901)	436017	7403	viridiplantae			swept
UP000001876	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)	564608	10250	viridiplantae			swept
UP000002009	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)	296587	10115	viridiplantae			swept
UP000004994	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	4081	34663	viridiplantae			swept
UP000004995	Setaria italica (Foxtail millet) (Panicum italicum)	4555	39466	viridiplantae			swept
UP000006038	Oryza brachyantha (malo sina)	4533	31989	viridiplantae			swept
UP000006591	Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	4536	46176	viridiplantae			swept
UP000006729	Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)	3694	77340	viridiplantae			swept
UP000006882	Prunus persica (Peach) (Amygdalus persica)	3760	38738	viridiplantae			swept
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	18840	viridiplantae			swept
UP000007015	Oryza sativa subsp. indica (Rice)	39946	37440	viridiplantae			swept
UP000007264	Coccomyxa subellipsoidea (strain C-169) (Green microalga)	574566	9799	viridiplantae			swept
UP000007305	Zea mays (Maize)	4577	63237	viridiplantae			swept
UP000007306	Oryza glaberrima (African rice)	4538	31807	viridiplantae			swept
UP000008021	Oryza meridionalis	40149	40192	viridiplantae			swept
UP000008022	Oryza rufipogon (Brownbeard rice) (Asian wild rice)	4529	45598	viridiplantae			swept
