n_introns_a	n_introns_b	n_introns_b_in_shared	n_shared_columns	observed	expected_analytic	p_analytic	n_perm	expected_perm	p_perm	accession	organism	vclass	cell_a	cell_b	tolerance	is_operating_point	frame_via_cell
59	56	55	2663	47	0.572	5.16144e-88	1000	0.586	0.001	GCA_008658365.1	Alca torda	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.527	0.001	GCA_009769605.1	Bucorvus abyssinicus	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.551	0.001	GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.57	0.001	GCA_010411085.1	Cervus hanglu yarkandensis	Mammalia	ITPR1	ITPR2	0	1	0
57	53	51	2623	45	0.512	3.55922e-86	1000	0.527	0.001	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.578	0.001	GCA_013398455.1	Loxia curvirostra	Aves	ITPR1	ITPR2	0	1	0
57	55	53	2623	48	0.539	6.47128e-93	1000	0.563	0.001	GCA_014281875.1	Nibea albiflora	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.554	0.001	GCA_014839755.1	Sylvia borin	Aves	ITPR1	ITPR2	0	1	0
60	56	55	2663	48	0.575	4.47367e-91	1000	0.59	0.001	GCA_015883425.2	Lamprotornis superbus	Aves	ITPR1	ITPR2	0	1	0
56	54	52	2623	47	0.506	3.51038e-92	1000	0.512	0.001	GCA_017639675.1	Aplochiton taeniatus	Actinopteri	ITPR1	ITPR2	0	1	0
48	40	40	2650	25	0.318	7.21354e-44	1000	0.305	0.001	GCA_019447015.1	Hymenochirus boettgeri	Amphibia	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.571	0.001	GCA_020745705.1	Hemiprocne comata	Aves	ITPR1	ITPR2	0	1	0
57	56	55	2659	47	0.521	9.39201e-90	1000	0.564	0.001	GCA_022829145.1	Albula goreensis	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.571	0.001	GCA_023764695.1	Pygathrix nigripes	Mammalia	ITPR1	ITPR2	0	1	0
55	54	52	2623	47	0.516	3.53309e-92	1000	0.52	0.001	GCA_023974075.1	Chaenocephalus aceratus	Actinopteri	ITPR1	ITPR2	0	1	0
57	53	51	2623	46	0.509	3.22496e-89	1000	0.521	0.001	GCA_027704905.1	Muraenolepis orangiensis	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.565	0.001	GCA_028571685.1	Heterohyrax brucei	Mammalia	ITPR1	ITPR2	0	1	0
56	55	53	2623	46	0.522	1.21853e-87	1000	0.519	0.001	GCA_029706075.1	Aldrovandia affinis	Actinopteri	ITPR1	ITPR2	0	1	0
57	54	52	2623	47	0.535	1.54084e-90	1000	0.497	0.001	GCA_031216635.1	Dissostichus eleginoides	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.531	0.001	GCA_031835075.1	Saguinus oedipus	Mammalia	ITPR1	ITPR2	0	1	0
56	42	42	2623	27	0.317	1.86216e-48	1000	0.356	0.001	GCA_033238685.1	Lates japonicus	Actinopteri	ITPR1	ITPR2	0	1	0
58	55	52	2596	46	0.534	1.54873e-87	1000	0.557	0.001	GCA_036247105.2	Cirrhinus mrigala	Actinopteri	ITPR1	ITPR2	0	1	0
56	55	54	2659	47	0.531	6.93425e-90	1000	0.477	0.001	GCA_043380575.1	Atractosteus spatula	Actinopteri	ITPR1	ITPR2	0	1	0
56	54	53	2623	48	0.549	5.57783e-93	1000	0.531	0.001	GCA_046255725.1	Amblyopsis spelaea	Actinopteri	ITPR1	ITPR2	0	1	0
57	52	50	2613	44	0.52	1.1125e-83	1000	0.508	0.001	GCA_047511595.1	Polymixia lowei	Actinopteri	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.564	3.91821e-94	1000	0.542	0.001	GCA_048126345.2	Notoryctes typhlops	Mammalia	ITPR1	ITPR2	0	1	0
57	54	52	2623	46	0.512	1.96889e-88	1000	0.511	0.001	GCA_048569125.1	Diretmus argenteus	Actinopteri	ITPR1	ITPR2	0	1	0
56	54	52	2620	47	0.52	9.70739e-92	1000	0.507	0.001	GCA_050084785.1	Liparis tanakae	Actinopteri	ITPR1	ITPR2	0	1	0
59	55	54	2663	48	0.558	4.25826e-92	1000	0.571	0.001	GCA_054084135.1	Copsychus sechellarum	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2663	48	0.561	1.82582e-91	1000	0.591	0.001	GCA_054099775.1	Steatornis caripensis	Aves	ITPR1	ITPR2	0	1	0
59	56	55	2666	49	0.56	1.70436e-94	1000	0.571	0.001	GCA_054644205.1	Lestoros inca	Mammalia	ITPR1	ITPR2	0	1	0
57	55	53	2623	49	0.539	4.78659e-96	1000	0.506	0.001	GCA_054883175.1	Datnioides polota	Actinopteri	ITPR1	ITPR2	0	1	0
