accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name
A0A061HUH1	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.8	56.8	1.0		1.8e-13	1.8e-13	0.0	0.015	0	74	0.872	149	Calm1	Cricetulus griseus	10029	0	Calmodulin-1 isoform X2
A0A061IBE8	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	51.3	51.3	1.0		8.2e-12	8.2e-12	0.0	0.015	0	74	0.872	149	Calml3	Cricetulus griseus	10029	0	Calmodulin-like protein 3
A0A061II18	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	55.1	55.1	1.0		6e-13	6e-13	0.0	0.012	0	59	0.77	148	Calml5	Cricetulus griseus	10029	0	Calmodulin-like protein 5 isoform X1
A0A087QGN5	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	32.7	32.7	1.0		3.3e-06	3.3e-06	0.0	0.027	0	133	0.235	565	AS27_08358	Aptenodytes forsteri	9233	0	Set1/Ash2 histone methyltransferase complex subunit ASH2 (Fragment)
A0A087QIX7	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	103.4	103.4	1.0		1.7e-27	1.7e-27	0.0	0.027	0	133	0.099	1309	AS27_03178	Aptenodytes forsteri	9233	0	E3 ubiquitin-protein ligase RNF123
A0A087QN82	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	75.5	75.5	1.0		4.4e-19	4.4e-19	0.0	0.028	0	138	0.237	575	AS27_01818	Aptenodytes forsteri	9233	0	RING finger and SPRY domain-containing protein 1
A0A087QN87	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	37.9	37.9	1.0		8.9e-08	8.9e-08	0.0	0.025	0	123	0.217	562	AS27_01823	Aptenodytes forsteri	9233	0	Ran-binding protein 10 (Fragment)
A0A087QRD1	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	37.4	37.4	1.0		1.3e-07	1.3e-07	0.0	0.019	0	94	0.176	541	AS27_13191	Aptenodytes forsteri	9233	0	Ran-binding protein 9 (Fragment)
A0A087QT96	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.3	35.3	1.0		5.5e-07	5.5e-07	0.0	0.012	0	59	0.722	158	AS27_11578	Aptenodytes forsteri	9233	0	Troponin C, slow skeletal and cardiac muscles (Fragment)
A0A087QUV5	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	55.5	55.5	1.0		4.6e-13	4.6e-13	0.0	0.018	0	89	0.116	739	AS27_15653	Aptenodytes forsteri	9233	0	ATP-dependent RNA helicase (Fragment)
A0A087R2L9	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	41.7	41.7	1.0		6.4e-09	6.4e-09	0.0	0.011	0	54	0.698	162	AS27_11045	Aptenodytes forsteri	9233	0	Troponin C, skeletal muscle (Fragment)
A0A087R3I2	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	46.6	46.6	1.0		2.1e-10	2.1e-10	0.0	0.011	0	54	0.689	167	AS27_09011	Aptenodytes forsteri	9233	0	Calcium-binding protein 1
A0A087R516	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.9	56.9	1.0		1.8e-13	1.8e-13	0.0	0.015	0	74	0.878	148	AS27_04541	Aptenodytes forsteri	9233	0	Calmodulin (Fragment)
A0A087R6Z5	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	113.4	113.4	1.0		1.7e-30	1.7e-30	0.0	0.014	0	69	0.986	73	AS27_01519	Aptenodytes forsteri	9233	0	Ryanodine receptor 2 (Fragment)
A0A087R8K3	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	52.9	52.9	1.0		2.8e-12	2.8e-12	0.0	0.012	0	59	0.785	149	AS27_08705	Aptenodytes forsteri	9233	0	Calmodulin, striated muscle
A0A087RFP8	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.1	57.1	1.0		1.5e-13	1.5e-13	0.0	0.015	0	74	0.935	139	AS27_12747	Aptenodytes forsteri	9233	0	Calmodulin (Fragment)
A0A087V2Z0	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.9	56.9	1.0		1.8e-13	1.8e-13	0.0	0.015	0	74	0.878	148	N312_02241	Balearica regulorum gibbericeps	100784	0	Calmodulin (Fragment)
A0A087V716	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	0.0	113.4	113.4	1.0		1.7e-30	1.7e-30	0.0	0.014	0	69	0.986	73	N312_12170	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 2 (Fragment)
A0A087V7R0	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	204.5	204.5	1.0		6.1e-58	6.1e-58	0.0	0.029	0	143	0.614	236	N312_12822	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 3 (Fragment)
A0A087V7R1	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	106.7	106.7	1.0		1.7e-28	1.7e-28	0.0	0.015	0	74	0.974	76	N312_12823	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 3 (Fragment)
A0A087V8P5	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.2	35.2	1.0		6e-07	6e-07	0.0	0.012	0	59	0.708	161	N312_07562	Balearica regulorum gibbericeps	100784	0	Troponin C, slow skeletal and cardiac muscles
A0A087VEB5	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	133.2	256.2	123.0	0.4801	3.2e-36	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	N312_06671	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 3 (Fragment)
A0A087VEB6	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	42.2	321.4	279.2	0.8687	8.4e-09	3.6e-93	3.6e-93	0.029	0.035	78	173	0.989	174	N312_06672	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 3 (Fragment)
A0A087VF77	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	32.7	32.7	1.0		3.3e-06	3.3e-06	0.0	0.027	0	133	0.235	565	N312_13159	Balearica regulorum gibbericeps	100784	0	Set1/Ash2 histone methyltransferase complex subunit ASH2 (Fragment)
A0A087VFD1	unassigned	none	module	itpr.hmm matched only 102 profile positions (< 200) — a shared module, not a family assignment	229.2	118.6	110.6	0.4825	3.6e-65	4.6e-32	3.6e-65	0.038	0.02	102	99	1.0	101	N312_03378	Balearica regulorum gibbericeps	100784	0	Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)
A0A087VFN4	RYR	medium	partial	ryr.hmm wins by 310.6 bits (100.0% of 310.6) over 286 profile positions; no itpr.hmm hit	0.0	310.6	310.6	1.0		6.6e-90	6.6e-90	0.0	0.058	0	286	1.0	273	N312_03192	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 2 (Fragment)
A0A087VFZ6	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	37.3	37.3	1.0		1.4e-07	1.4e-07	0.0	0.019	0	94	0.176	541	N312_03539	Balearica regulorum gibbericeps	100784	0	Ran-binding protein 9 (Fragment)
A0A087VHF2	unassigned	none	module	itpr.hmm matched only 56 profile positions (< 200) — a shared module, not a family assignment	73.3	0.0	73.3	1.0	3.5e-18		3.5e-18	0.021	0.0	56	0	1.0	57	N312_09279	Balearica regulorum gibbericeps	100784	0	Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)
A0A087VJK2	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	76.4	76.4	1.0		2.3e-19	2.3e-19	0.0	0.028	0	138	0.237	575	N312_12721	Balearica regulorum gibbericeps	100784	0	RING finger and SPRY domain-containing protein 1
A0A087VMK7	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	57.1	57.1	1.0		1.5e-13	1.5e-13	0.0	0.015	0	74	0.942	138	N312_07066	Balearica regulorum gibbericeps	100784	0	Calmodulin (Fragment)
A0A087VPZ1	unassigned	none	module	itpr.hmm matched only 75 profile positions (< 200) — a shared module, not a family assignment	100.6	0.0	100.6	1.0	2.1e-26		2.1e-26	0.028	0.0	75	0	0.938	81	N312_02716	Balearica regulorum gibbericeps	100784	0	Inositol 1,4,5-trisphosphate receptor type 2 (Fragment)
A0A087VQE3	ITPR	high	architecture	itpr.hmm wins by 2426.5 bits (93.8% of 2586.1) over 1618 profile positions	2586.1	159.6	2426.5	0.9383	0	1.9e-44	0	0.603	0.168	1618	828	1.0	1637	N312_09773	Balearica regulorum gibbericeps	100784	0	Inositol 1,4,5-trisphosphate receptor (Fragment)
A0A087VQL0	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	N312_01847	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 2 (Fragment)
A0A087VQL1	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	41.1	327.6	286.5	0.8745	1.9e-08	4.8e-95	4.8e-95	0.025	0.035	67	173	0.983	176	N312_01848	Balearica regulorum gibbericeps	100784	0	Ryanodine receptor 2 (Fragment)
A0A087VQP1	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	52.9	52.9	1.0		2.7e-12	2.7e-12	0.0	0.012	0	59	0.785	149	N312_03500	Balearica regulorum gibbericeps	100784	0	Calmodulin, striated muscle
A0A087X5M4	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	37.0	37.0	1.0		1.7e-07	1.7e-07	0.0	0.019	0	94	0.161	601		Poecilia formosa	48698	0	RAN binding protein 9
A0A087XE68	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	36.4	36.4	1.0		2.7e-07	2.7e-07	0.0	0.011	0	54	0.702	161		Poecilia formosa	48698	0	Troponin C, slow skeletal and cardiac muscles
A0A087XJN1	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	105.9	105.9	1.0		3e-28	3e-28	0.0	0.028	0	138	0.103	1316		Poecilia formosa	48698	0	E3 ubiquitin-protein ligase RNF123
A0A087XLG9	RYR	high	architecture	ryr.hmm wins by 5238.5 bits (90.6% of 5783.4) over 3525 profile positions	544.9	5783.4	5238.5	0.9058	2.5e-160	0	0	0.484	0.715	1299	3525	0.999	3549		Poecilia formosa	48698	0	Uncharacterized protein
A0A087XM89	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	0.0	53.1	53.1	1.0		2.5e-12	2.5e-12	0.0	0.017	0	84	0.131	643		Poecilia formosa	48698	0	ATP-dependent RNA helicase
A0A087XN77	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	42.5	42.5	1.0		3.7e-09	3.7e-09	0.0	0.011	0	54	0.686	156		Poecilia formosa	48698	0	Calcium binding protein 2b
A0A087XNV8	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	36.8	36.8	1.0		1.9e-07	1.9e-07	0.0	0.019	0	94	0.16	617		Poecilia formosa	48698	0	RAN binding protein 10
A0A087XTZ7	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.8	56.8	1.0		1.8e-13	1.8e-13	0.0	0.015	0	74	0.872	149		Poecilia formosa	48698	0	Calmodulin
A0A087XUI5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	32.4	32.4	1.0		4.3e-06	4.3e-06	0.0	0.011	0	54	0.61	182		Poecilia formosa	48698	0	Calcium binding protein 5b
A0A087Y1Z8	unassigned	none	module	ryr.hmm matched only 89 profile positions (< 200) — a shared module, not a family assignment	0.0	56.6	56.6	1.0		2.2e-13	2.2e-13	0.0	0.018	0	89	0.118	740		Poecilia formosa	48698	0	ATP-dependent RNA helicase
A0A087Y437	RYR	high	architecture	ryr.hmm wins by 7195.8 bits (91.0% of 7904.7) over 4836 profile positions	708.9	7904.7	7195.8	0.9103	9.1e-210	0	0	0.686	0.981	1841	4836	0.995	4867		Poecilia formosa	48698	0	Ryanodine receptor 3
A0A087Y4T6	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	74.5	74.5	1.0		8.8e-19	8.8e-19	0.0	0.027	0	133	0.224	588		Poecilia formosa	48698	0	Ring finger and SPRY domain containing 1
A0A087Y5M1	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.9	56.9	1.0		1.8e-13	1.8e-13	0.0	0.015	0	74	0.878	148		Poecilia formosa	48698	0	Calmodulin 3
A0A087YBA6	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	45.7	45.7	1.0		4.1e-10	4.1e-10	0.0	0.011	0	54	0.531	211		Poecilia formosa	48698	0	Calcium binding protein 2a
A0A087YBV3	RYR	high	architecture	ryr.hmm wins by 6223.3 bits (92.0% of 6761.8) over 4117 profile positions	538.5	6761.8	6223.3	0.9204	2.1e-158	0	0	0.554	0.835	1487	4117	1.0	4258		Poecilia formosa	48698	0	Ryanodine receptor 1
A0A087YDC8	ITPR	high	architecture	itpr.hmm wins by 3496.5 bits (89.4% of 3909.3) over 2630 profile positions	3909.3	412.8	3496.5	0.8944	0	1e-120	0	0.98	0.284	2630	1400	0.998	2684		Poecilia formosa	48698	0	Inositol 1,4,5-trisphosphate receptor
A0A087YKM4	RYR	high	architecture	ryr.hmm wins by 6004.2 bits (89.5% of 6708.3) over 4836 profile positions	704.1	6708.3	6004.2	0.895	2.6e-208	0	0	0.728	0.981	1954	4836	0.994	4896		Poecilia formosa	48698	0	Ryanodine receptor 2
A0A087YL24	unassigned	none	module	ryr.hmm matched only 138 profile positions (< 200) — a shared module, not a family assignment	0.0	38.0	38.0	1.0		8.8e-08	8.8e-08	0.0	0.028	0	138	0.237	594		Poecilia formosa	48698	0	Set1/Ash2 histone methyltransferase complex subunit ASH2
A0A087YMU7	RYR	high	architecture	ryr.hmm wins by 7319.8 bits (90.7% of 8071.7) over 4930 profile positions	751.9	8071.7	7319.8	0.9068	1.1e-222	0	0	0.778	1.0	2088	4930	1.0	4998		Poecilia formosa	48698	0	Ryanodine receptor 1
A0A087YNG2	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	44.4	44.4	1.0		1e-09	1e-09	0.0	0.011	0	54	0.706	160		Poecilia formosa	48698	0	Troponin C, skeletal muscle
A0A087YNG3	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	33.7	33.7	1.0		1.8e-06	1.8e-06	0.0	0.011	0	54	0.689	161		Poecilia formosa	48698	0	Troponin C, skeletal muscle
A0A087YPD1	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	44.0	44.0	1.0		1.3e-09	1.3e-09	0.0	0.011	0	54	0.518	222		Poecilia formosa	48698	0	Calcium binding protein 1b
A0A091CIL8	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	55.7	55.7	1.0		4.1e-13	4.1e-13	0.0	0.015	0	74	0.726	179	H920_20357	Fukomys damarensis	885580	0	Calmodulin
A0A091CLB9	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	102.0	102.0	1.0		4.4e-27	4.4e-27	0.0	0.027	0	133	0.112	1157	H920_20015	Fukomys damarensis	885580	0	RING-type E3 ubiquitin transferase
A0A091CMC7	unassigned	none	module	ryr.hmm matched only 128 profile positions (< 200) — a shared module, not a family assignment	0.0	37.4	37.4	1.0		1.3e-07	1.3e-07	0.0	0.026	0	128	0.206	620	H920_18626	Fukomys damarensis	885580	0	Ran-binding protein 10
A0A091CT43	unassigned	none	module	itpr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	45.3	0.0	45.3	1.0	9.9e-10		9.9e-10	0.02	0.0	54	0	0.74	73	H920_17056	Fukomys damarensis	885580	0	Inositol 1,4,5-trisphosphate receptor type 1
A0A091CU82	ITPR	high	architecture	itpr.hmm wins by 3699.0 bits (90.8% of 4071.6) over 2491 profile positions	4071.6	372.6	3699.0	0.9085	0	1.4e-108	0	0.928	0.28	2491	1380	0.914	2857	H920_17057	Fukomys damarensis	885580	0	Inositol 1,4,5-trisphosphate receptor
A0A091CUD0	ITPR	high	architecture	itpr.hmm wins by 3116.1 bits (89.9% of 3465.6) over 2418 profile positions	3465.6	349.5	3116.1	0.8992	0	1.2e-101	0	0.901	0.184	2418	907	0.964	2613	H920_15467	Fukomys damarensis	885580	0	Inositol 1,4,5-trisphosphate receptor
A0A091CVT5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	35.0	35.0	1.0		7e-07	7e-07	0.0	0.011	0	54	0.213	525	H920_14968	Fukomys damarensis	885580	0	Malectin
A0A091D6G7	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	44.6	44.6	1.0		8.8e-10	8.8e-10	0.0	0.015	0	74	0.334	380	H920_20131	Fukomys damarensis	885580	0	EF-hand domain-containing protein
A0A091D739	unassigned	none	module	ryr.hmm matched only 74 profile positions (< 200) — a shared module, not a family assignment	0.0	56.0	56.0	1.0		3.2e-13	3.2e-13	0.0	0.015	0	74	0.769	169	H920_12440	Fukomys damarensis	885580	0	Calmodulin
A0A091D798	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	60.4	60.4	1.0		1.5e-14	1.5e-14	0.0	0.029	0	143	0.221	583	H920_11640	Fukomys damarensis	885580	0	ADP-ribosylation factor-like protein 2-binding protein
A0A091DBB9	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	45.5	45.5	1.0		4.6e-10	4.6e-10	0.0	0.027	0	133	0.243	568	H920_09041	Fukomys damarensis	885580	0	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Fragment)
A0A091DDJ5	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	38.3	38.3	1.0		6.8e-08	6.8e-08	0.0	0.011	0	54	0.434	256	H920_10191	Fukomys damarensis	885580	0	Calcium-binding protein 2
A0A091DH65	RYR	high	architecture	ryr.hmm wins by 7081.1 bits (91.2% of 7765.5) over 4654 profile positions	684.4	7765.5	7081.1	0.9119	2.3e-202	0	0	0.705	0.944	1892	4654	0.996	4775	H920_08983	Fukomys damarensis	885580	0	Ryanodine receptor 1
A0A091DL73	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	0.0	57.1	57.1	1.0		1.5e-13	1.5e-13	0.0	0.025	0	123	0.163	921	H920_07378	Fukomys damarensis	885580	0	ATP-dependent RNA helicase
A0A091DPJ7	unassigned	none	module	ryr.hmm matched only 54 profile positions (< 200) — a shared module, not a family assignment	0.0	41.1	41.1	1.0		1e-08	1e-08	0.0	0.011	0	54	0.631	179	H920_06177	Fukomys damarensis	885580	0	Troponin C, skeletal muscle
A0A091DQ63	RYR	high	architecture	ryr.hmm wins by 7711.5 bits (91.2% of 8450.5) over 4910 profile positions	739.0	8450.5	7711.5	0.9125	7.7e-219	0	0	0.746	0.996	2002	4910	1.0	4980	H920_04388	Fukomys damarensis	885580	0	Ryanodine receptor 2 (Fragment)
A0A091DQZ5	RYR	high	architecture	ryr.hmm wins by 5857.6 bits (95.2% of 6155.3) over 3974 profile positions	297.7	6155.3	5857.6	0.9516	8.3e-86	0	0	0.488	0.806	1310	3974	0.968	4208	H920_05514	Fukomys damarensis	885580	0	Ryanodine receptor 3
A0A091DR08	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	35.5	35.5	1.0		4.8e-07	4.8e-07	0.0	0.012	0	59	0.708	161	H920_13402	Fukomys damarensis	885580	0	Troponin C, slow skeletal and cardiac muscles
A0A091DRU8	unassigned	none	module	ryr.hmm matched only 104 profile positions (< 200) — a shared module, not a family assignment	0.0	37.8	37.8	1.0		9.6e-08	9.6e-08	0.0	0.021	0	104	0.107	1031	H920_04801	Fukomys damarensis	885580	0	Ran-binding protein 9
A0A091DTV1	unassigned	none	module	ryr.hmm matched only 59 profile positions (< 200) — a shared module, not a family assignment	0.0	57.8	57.8	1.0		9e-14	9e-14	0.0	0.012	0	59	0.797	148	H920_04106	Fukomys damarensis	885580	0	Calmodulin-4
A0A091DZN5	ITPR	high	architecture	itpr.hmm wins by 3752.1 bits (89.3% of 4199.7) over 2601 profile positions	4199.7	447.6	3752.1	0.8934	0	3.5e-131	0	0.969	0.247	2601	1218	0.961	2780	H920_02006	Fukomys damarensis	885580	0	Inositol 1,4,5-trisphosphate receptor
