set	a	b	label_a	label_b	group_a	group_b	identity	identity_covered
family	Q14643	Q14643	ITPR1 H. sapiens	ITPR1 H. sapiens	ITPR1	ITPR1	1.0000	1.0000
family	Q14643	P11881	ITPR1 H. sapiens	Itpr1 M. musculus	ITPR1	ITPR1	0.9826	0.9865
family	Q14643	P29994	ITPR1 H. sapiens	Itpr1 R. norvegicus	ITPR1	ITPR1	0.9812	0.9854
family	Q14643	A0A8V0ZJT0	ITPR1 H. sapiens	ITPR1 G. gallus	ITPR1	ITPR1	0.9334	0.9487
family	Q14643	A0A8J0T3U5	ITPR1 H. sapiens	itpr1 X. tropicalis	ITPR1	ITPR1	0.8856	0.8996
family	Q14643	A0A8M2BDG0	ITPR1 H. sapiens	itpr1a D. rerio	ITPR1	ITPR1	0.8129	0.8330
family	Q14643	A0AB32TXG4	ITPR1 H. sapiens	itpr1b D. rerio	ITPR1	ITPR1	0.8356	0.8677
family	Q14643	Q9TU34	ITPR1 H. sapiens	ITPR1 B. taurus	ITPR1	ITPR1	0.9634	0.9808
family	Q14643	Q14571	ITPR1 H. sapiens	ITPR2 H. sapiens	ITPR1	ITPR2	0.6716	0.7030
family	Q14643	Q9Z329	ITPR1 H. sapiens	Itpr2 M. musculus	ITPR1	ITPR2	0.6723	0.7038
family	Q14643	P29995	ITPR1 H. sapiens	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6712	0.7027
family	Q14643	F1P1X4	ITPR1 H. sapiens	ITPR2 G. gallus	ITPR1	ITPR2	0.6768	0.7083
family	Q14643	A0A6I8RGU0	ITPR1 H. sapiens	itpr2 X. tropicalis	ITPR1	ITPR2	0.6676	0.7009
family	Q14643	A0A8M9PQQ3	ITPR1 H. sapiens	itpr2 D. rerio	ITPR1	ITPR2	0.6286	0.6646
family	Q14643	Q8WN96	ITPR1 H. sapiens	ITPR2 B. taurus	ITPR1	ITPR2	0.6726	0.7042
family	Q14643	Q14573	ITPR1 H. sapiens	ITPR3 H. sapiens	ITPR1	ITPR3	0.5947	0.6419
family	Q14643	P70227	ITPR1 H. sapiens	Itpr3 M. musculus	ITPR1	ITPR3	0.5937	0.6410
family	Q14643	Q63269	ITPR1 H. sapiens	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5926	0.6398
family	Q14643	A0A8V1ACE6	ITPR1 H. sapiens	ITPR3 G. gallus	ITPR1	ITPR3	0.6064	0.6548
family	Q14643	A4ZYX8	ITPR1 H. sapiens	itpr3 X. tropicalis	ITPR1	ITPR3	0.5879	0.6359
family	Q14643	A0A8M6Z266	ITPR1 H. sapiens	itpr3 D. rerio	ITPR1	ITPR3	0.5760	0.6318
family	Q14643	Q8WN95	ITPR1 H. sapiens	ITPR3 B. taurus	ITPR1	ITPR3	0.5969	0.6459
family	Q14643	P29993	ITPR1 H. sapiens	Itpr D. melanogaster	ITPR1	invert_grade	0.5540	0.6073
family	Q14643	Q9Y0A1	ITPR1 H. sapiens	itr-1 C. elegans	ITPR1	invert_grade	0.3513	0.4332
family	Q14643	Q9NA13	ITPR1 H. sapiens	iplA D. discoideum	ITPR1	invert_grade	0.1418	0.2282
family	P11881	P11881	Itpr1 M. musculus	Itpr1 M. musculus	ITPR1	ITPR1	1.0000	1.0000
family	P11881	P29994	Itpr1 M. musculus	Itpr1 R. norvegicus	ITPR1	ITPR1	0.9956	0.9960
family	P11881	A0A8V0ZJT0	Itpr1 M. musculus	ITPR1 G. gallus	ITPR1	ITPR1	0.9338	0.9454
family	P11881	A0A8J0T3U5	Itpr1 M. musculus	itpr1 X. tropicalis	ITPR1	ITPR1	0.8878	0.8989
family	P11881	A0A8M2BDG0	Itpr1 M. musculus	itpr1a D. rerio	ITPR1	ITPR1	0.8177	0.8352
family	P11881	A0AB32TXG4	Itpr1 M. musculus	itpr1b D. rerio	ITPR1	ITPR1	0.8369	0.8662
family	P11881	Q9TU34	Itpr1 M. musculus	ITPR1 B. taurus	ITPR1	ITPR1	0.9647	0.9790
family	P11881	Q14571	Itpr1 M. musculus	ITPR2 H. sapiens	ITPR1	ITPR2	0.6737	0.7030
family	P11881	Q9Z329	Itpr1 M. musculus	Itpr2 M. musculus	ITPR1	ITPR2	0.6737	0.7030
family	P11881	P29995	Itpr1 M. musculus	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6730	0.7023
family	P11881	F1P1X4	Itpr1 M. musculus	ITPR2 G. gallus	ITPR1	ITPR2	0.6790	0.7083
family	P11881	A0A6I8RGU0	Itpr1 M. musculus	itpr2 X. tropicalis	ITPR1	ITPR2	0.6694	0.7006
family	P11881	A0A8M9PQQ3	Itpr1 M. musculus	itpr2 D. rerio	ITPR1	ITPR2	0.6307	0.6646
family	P11881	Q8WN96	Itpr1 M. musculus	ITPR2 B. taurus	ITPR1	ITPR2	0.6748	0.7042
family	P11881	Q14573	Itpr1 M. musculus	ITPR3 H. sapiens	ITPR1	ITPR3	0.5959	0.6411
family	P11881	P70227	Itpr1 M. musculus	Itpr3 M. musculus	ITPR1	ITPR3	0.5945	0.6398
family	P11881	Q63269	Itpr1 M. musculus	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5942	0.6395
family	P11881	A0A8V1ACE6	Itpr1 M. musculus	ITPR3 G. gallus	ITPR1	ITPR3	0.6076	0.6540
family	P11881	A4ZYX8	Itpr1 M. musculus	itpr3 X. tropicalis	ITPR1	ITPR3	0.5898	0.6359
family	P11881	A0A8M6Z266	Itpr1 M. musculus	itpr3 D. rerio	ITPR1	ITPR3	0.5782	0.6322
family	P11881	Q8WN95	Itpr1 M. musculus	ITPR3 B. taurus	ITPR1	ITPR3	0.5981	0.6452
family	P11881	P29993	Itpr1 M. musculus	Itpr D. melanogaster	ITPR1	invert_grade	0.5559	0.6079
family	P11881	Q9Y0A1	Itpr1 M. musculus	itr-1 C. elegans	ITPR1	invert_grade	0.3510	0.4316
family	P11881	Q9NA13	Itpr1 M. musculus	iplA D. discoideum	ITPR1	invert_grade	0.1427	0.2291
family	P29994	P29994	Itpr1 R. norvegicus	Itpr1 R. norvegicus	ITPR1	ITPR1	1.0000	1.0000
family	P29994	A0A8V0ZJT0	Itpr1 R. norvegicus	ITPR1 G. gallus	ITPR1	ITPR1	0.9331	0.9450
family	P29994	A0A8J0T3U5	Itpr1 R. norvegicus	itpr1 X. tropicalis	ITPR1	ITPR1	0.8875	0.8989
family	P29994	A0A8M2BDG0	Itpr1 R. norvegicus	itpr1a D. rerio	ITPR1	ITPR1	0.8167	0.8345
family	P29994	A0AB32TXG4	Itpr1 R. norvegicus	itpr1b D. rerio	ITPR1	ITPR1	0.8366	0.8662
family	P29994	Q9TU34	Itpr1 R. norvegicus	ITPR1 B. taurus	ITPR1	ITPR1	0.9629	0.9775
family	P29994	Q14571	Itpr1 R. norvegicus	ITPR2 H. sapiens	ITPR1	ITPR2	0.6735	0.7030
family	P29994	Q9Z329	Itpr1 R. norvegicus	Itpr2 M. musculus	ITPR1	ITPR2	0.6735	0.7030
family	P29994	P29995	Itpr1 R. norvegicus	Itpr2 R. norvegicus	ITPR1	ITPR2	0.6728	0.7023
family	P29994	F1P1X4	Itpr1 R. norvegicus	ITPR2 G. gallus	ITPR1	ITPR2	0.6788	0.7083
family	P29994	A0A6I8RGU0	Itpr1 R. norvegicus	itpr2 X. tropicalis	ITPR1	ITPR2	0.6692	0.7006
family	P29994	A0A8M9PQQ3	Itpr1 R. norvegicus	itpr2 D. rerio	ITPR1	ITPR2	0.6290	0.6631
family	P29994	Q8WN96	Itpr1 R. norvegicus	ITPR2 B. taurus	ITPR1	ITPR2	0.6746	0.7042
family	P29994	Q14573	Itpr1 R. norvegicus	ITPR3 H. sapiens	ITPR1	ITPR3	0.5961	0.6415
family	P29994	P70227	Itpr1 R. norvegicus	Itpr3 M. musculus	ITPR1	ITPR3	0.5947	0.6402
family	P29994	Q63269	Itpr1 R. norvegicus	Itpr3 R. norvegicus	ITPR1	ITPR3	0.5943	0.6398
family	P29994	A0A8V1ACE6	Itpr1 R. norvegicus	ITPR3 G. gallus	ITPR1	ITPR3	0.6078	0.6544
family	P29994	A4ZYX8	Itpr1 R. norvegicus	itpr3 X. tropicalis	ITPR1	ITPR3	0.5896	0.6359
family	P29994	A0A8M6Z266	Itpr1 R. norvegicus	itpr3 D. rerio	ITPR1	ITPR3	0.5780	0.6322
