id	section	claim	expected	found	verdict	note	source	op
LI01	ligand	the primary ITPR1 ligand core starts at residue 265	265	265	ok		results/ligand_site/module_map.tsv	cell
LI02	ligand	and ends at residue 569	569	569	ok		results/ligand_site/module_map.tsv	cell
LI03	ligand	the primary ITPR1 pore module starts at residue 2363	2363	2363	ok		results/ligand_site/module_map.tsv	cell
LI04	ligand	and ends at residue 2608	2608	2608	ok		results/ligand_site/module_map.tsv	cell
LI05	ligand	ITPR1 drops three orthologues on the coverage rule	3	3	ok		results/ligand_site/module_contrast.tsv	cell
LI06	ligand	ITPR2 shows no core-pore difference (q = 0.13)	0.13	0.134144	ok		results/ligand_site/module_contrast.tsv	cell
LI07	ligand	with the published core, ITPR2 tips to a core lead of 0.0049	0.0049	0.0049	ok		results/ligand_site/module_contrast.tsv	cell
LI08	ligand	8TKG adds two contacts to the ten	12	12	ok		results/ligand_site/shell_agreement.tsv	cell
LI09	ligand	Ala276 is a contact in four of the six depositions	4	4	ok		results/ligand_site/shell_agreement.tsv	count
LI10	ligand	the pocket holds 125 residues	125	125	ok		results/ligand_site/shell_trend.tsv	cell
LI11	ligand	the contact shell holds twelve residues	12	12	ok		results/ligand_site/shell_constraint.tsv	cell
LI12	ligand	the outermost shell holds 59 residues	59	59	ok		results/ligand_site/shell_constraint.tsv	cell
LI13	ligand	the ITPR1 whole-protein mean conservation is 0.7366	0.7366	0.7366	ok		results/ligand_site/shell_constraint.tsv	cell
LI14	ligand	ITPR1 contacts score 0.813	0.813	0.8134	ok		results/ligand_site/contact_test.tsv	cell
LI15	ligand	against 0.744 for the rest of the core	0.744	0.7443	ok		results/ligand_site/contact_test.tsv	cell
LI16	ligand	contacts beat the rest of the core in ITPR2 (q = 0.017)	0.017	0.01725	ok		results/ligand_site/contact_test.tsv	cell
LI17	ligand	and in ITPR3 (q = 0.041)	0.041	0.041324	ok		results/ligand_site/contact_test.tsv	cell
LI18	ligand	against the rest of the pocket the smallest q is 0.12	0.12	0.124893	ok		results/ligand_site/contact_test.tsv	cell
LI19	ligand	the permutation ran 200,000 iterations	200000	200000	ok		results/ligand_site/contact_test.tsv	cell
LI20	ligand	conservation falls with distance in ITPR2 (rho = -0.436)	-0.436	-0.4363	ok		results/ligand_site/shell_trend.tsv	cell
LI21	ligand	the ITPR1 core's mean beta is 0.0251	0.0251	0.0251	ok		results/ligand_site/omega_module_test.tsv	cell
LI22	ligand	against 0.0446 for the pore	0.0446	0.0446	ok		results/ligand_site/omega_module_test.tsv	cell
LI23	ligand	the ITPR3 core evolves faster at q = 0.058	0.058	0.058331	ok		results/ligand_site/omega_module_test.tsv	cell
LI24	ligand	22 fungal proteomes carry an ITPR and no PI-PLC	22	22	ok		results/ligand_site/pathway_cooccurrence.tsv	cell
LI25	ligand	28 other protist proteomes do	28	28	ok		results/ligand_site/pathway_cooccurrence.tsv	cell
LI26	ligand	10 non-vertebrate animal proteomes do	10	10	ok		results/ligand_site/pathway_cooccurrence.tsv	cell
