id	section	claim	expected	found	verdict	note	source	op
C01	R2/methods	the vertebrate genome scope is 309 assemblies	309	309	ok		results/genome_manifest.tsv	nunique
C02	R1/methods	the non-vertebrate genome scope is 194 assemblies	194	194	ok		results/s23_scope/genome_manifest_s23.tsv	nunique
C03	R1	6,928 non-vertebrate reference proteomes were swept	6928	6928	ok		results/s20_sweep/proteome_presence.tsv	count
C04	R1/methods	763 vertebrate reference proteomes were swept	763	763	ok		results/hmm_sweep/proteome_db_stats.json	json
C05	R1/methods	the vertebrate proteome sweep covered 14,414,821 proteins	14414821	14414821	ok		results/hmm_sweep/proteome_db_stats.json	json
C06	R1/methods	the non-vertebrate sweep covered 63,144,898 proteins	6,928 reference proteomes, 63,144,898 proteins	6,928 reference proteomes, 63,144,898 proteins	ok		results/s20_sweep/report.md	grep
C07	R1	the census holds 18,065 records	18065	18065	ok		results/census_v6/census_v6_stats.json	json
C08	R1	8,990 census records are called IP3 receptor	8990	8990	ok		results/census_v6/census_v6.tsv	count
C09	R1	the IP3 receptor census spans 1,402 taxa	1402	1402	ok		results/census_v6/census_v6.tsv	nunique
C10	R1	662 of 6,928 non-vertebrate proteomes carry an ITPR call	**662/6,928	**662/6,928	ok		results/s20_sweep/report.md	grep
C11	R1	Streptophyta: 384 proteomes swept, 0 genomes with an ITPR	384	384	ok		results/s23_scope/absence_at_genome.tsv	cell
C12	R1	Ascomycota: 1,034 proteomes swept	1034	1034	ok		results/s23_scope/absence_at_genome.tsv	cell
C13	R1	Basidiomycota: 319 proteomes swept	319	319	ok		results/s23_scope/absence_at_genome.tsv	cell
C14	R1	Apicomplexa: 60 proteomes swept	60	60	ok		results/s23_scope/absence_at_genome.tsv	cell
C15	R1	35 clade-level absences were taken to assembly level	35	35	ok		results/s23_scope/absence_at_genome.tsv	count
C16	R1	all 35 absences hold at assembly level	35	35	ok		results/s23_scope/absence_at_genome.tsv	count
C17	R1	no genome in the non-vertebrate sweep is uncontrolled	0	0	ok		results/s23_scope/ledger_stats.json	json
C18	R1	117 of the 194 genomes carry no IP3 receptor	117	117	ok		results/s23_scope/ledger_stats.json	json
C19	R1	43 of the 194 genomes carry exactly one	43	43	ok		results/s23_scope/ledger_stats.json	json
C20	R1	Macrostomum lignano carries 18 IP3 receptor genes	1	1	ok		results/s23_scope/ledger_stats.json	json
C21	R1	99 plant and fungal records were chased individually	99	99	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
C22	R1	47 of them are real genes	47	47	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
C23	R1	52 of them are fragments	52	52	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
C24	R1	none of them is a contamination suspect	0	0	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
C25	R2	309 of 309 genomes were swept	309	309	ok		results/genome_ledger/ledger_stats.json	json
C26	R2	the sweep recorded 1,236 genome x cell results	1236	1236	ok		results/genome_ledger/ledger_stats.json	json
C27	R2	the sweep recorded 2,144 loci	2144	2144	ok		results/genome_ledger/ledger_stats.json	json
C28	R2	the ryanodine receptor control failed in no genome	0	0	ok		results/genome_ledger/ledger_stats.json	json
