accession	organism	vclass	vorder	source	assembly_level	cell	locus_idx	is_control	contig	start	end	strand	bait	coverage	identity	frameshifts	stop_codons	cell_status	contig_spans_gene	contig_n50	gene_set	state	state_reason	locus_cds_bp	n_models	n_coding_models	n_coding_pieces	n_noncoding_models	best_model_frac	union_coding_frac	noncoding_biotype	top_overlapper_biotype	top_overlapper_pseudo	best_gene_id	best_symbol	best_product	best_biotype	namer_gene_id	namer_symbol	namer_product	namer_biotype	namer_coding	namer_frac_cds	namer_own_frac	namer_model_aa	symbol_verdict	symbol_claim	product_verdict	product_claim	integrity_verdict	lesion_density
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	GenBank	Scaffold	ITPR1	0	0	JMFS01131396.1	4289	29317	+	A0A8V0ZJT0	0.3343	0.9925	0	0	assembly_gap	0	17412	unavailable	gff_unavailable	the manifest records a gene set this project does not hold — not scorable either way	2787	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	GenBank	Scaffold	ITPR2	0	0	KL263936.1	21481	98516	+	A0A672UP22	0.387	0.9542	0	0	fragment	0	17412	unavailable	gff_unavailable	the manifest records a gene set this project does not hold — not scorable either way	3123	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	GenBank	Scaffold	ITPR3	0	0	KL257532.1	5164	25874	-	A0A8V1ACE6	0.8239	0.9903	1	0	found_no_annotation	0	17412	unavailable	gff_unavailable	the manifest records a gene set this project does not hold — not scorable either way	6589	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.4556
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	GenBank	Scaffold	RYR	0	1	KL283962.1	1097	101573	+	A0A8V0Y8K1	0.4775	0.9836	0	0	assembly_gap	0	17412	unavailable	gff_unavailable	the manifest records a gene set this project does not hold — not scorable either way	7122	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	GenBank	Scaffold	RYR	1	1	JMFS01114174.1	154	75510	-	A0A3Q0HBW9	0.4394	0.6926	0	0	assembly_gap	0	17412	unavailable	gff_unavailable	the manifest records a gene set this project does not hold — not scorable either way	6591	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_000699545.1	Podiceps cristatus	Aves	Podicipediformes	GenBank	Scaffold	RYR	2	1	KL256588.1	10269	62184	-	A0A8V0Y8K1	0.2353	0.976	0	0	assembly_gap	0	17412	unavailable	gff_unavailable	the manifest records a gene set this project does not hold — not scorable either way	3510	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	GenBank	Scaffold	ITPR2	0	0	KL291012.1	81303	160305	-	A0A672UP22	0.3752	0.9852	0	0	fragment	0	15248	present	fragmentary	coding models cover 0.08 of the footprint, best alone 0.08	3039	1	1	1	0	0.08	0.08		protein_coding	0	gene-N323_12252	N323_12252	Inositol 1,4,5-trisphosphate receptor type 2	protein_coding	gene-N323_12252	N323_12252	Inositol 1,4,5-trisphosphate receptor type 2	protein_coding	1	0.08	1	81	placeholder		correct_paralog	ITPR2	not_scored	0
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	GenBank	Scaffold	ITPR3	0	0	KL301852.1	537	20480	+	A0A8V1ACE6	0.7477	0.9781	0	0	found_annotated	0	15248	present	noncoding	1 same-strand non-coding feature(s) only (other); coding models reach 0.000 of the footprint	6030	1	0	0	1	0	0	other	other	0					gene-N323_11390	N323_11390	Inositol 1,4,5-trisphosphate receptor type 3	other	0	0.9965	0.3025	6621	placeholder		correct_paralog	ITPR3	intact	0
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	GenBank	Scaffold	RYR	0	1	KL299849.1	2339	87205	+	A0A8V0Y8K1	0.4831	0.9858	0	0	assembly_gap	0	15248	present	noncoding	1 same-strand non-coding feature(s) only (other); coding models reach 0.000 of the footprint	7206	1	0	0	1	0	0	other	other	0					gene-N323_08333	N323_08333	Ryanodine receptor 2	other	0	0.1124	0.107	2523	placeholder		correct_paralog	RYR	not_scored	0
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	GenBank	Scaffold	RYR	1	1	KL309451.1	1729	34915	-	A0A8V0Y8K1	0.2593	0.7195	1	0	assembly_gap	0	15248	present	fragmentary	coding models cover 0.21 of the footprint, best alone 0.13	3890	2	2	2	0	0.1311	0.2141		protein_coding	0	gene-N323_07667	N323_07667	Ryanodine receptor 3	protein_coding	gene-N323_07667	N323_07667	Ryanodine receptor 3	protein_coding	1	0.1311	0.977	174	placeholder		correct_paralog	RYR	not_scored	0.7764
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	GenBank	Scaffold	RYR	2	1	KL332051.1	2241	27149	+	A0A4W3I1N0	0.2589	0.6357	0	0	assembly_gap	0	15248	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 3723 coding bp	3723	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	GenBank	Scaffold	RYR	3	1	KL320477.1	2040	18489	-	A0A8V0Y8K1	0.1556	0.9715	0	0	assembly_gap	0	15248	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 2319 coding bp	2319	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	GenBank	Chromosome	ITPR1	0	0	CM008031.1	28422367	28806490	-	Q14643	1	0.8879	1	0	found_unannotated	0	7944	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 8020 coding bp	8020	0	0	0	0	0	0			0									0	0	0	0	absent		absent		intact	0.3626
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	GenBank	Chromosome	ITPR2	0	0	CM008029.1	46562293	47287741	-	Q14571	1	0.8296	1	0	found_unannotated	0	7944	present	fragmentary	coding models cover 0.14 of the footprint, best alone 0.14	7988	1	1	1	0	0.1401	0.1401		protein_coding	0	gene-Celaphus_00014063	Celaphus_00014063	hypothetical protein	protein_coding	gene-Celaphus_00014063	Celaphus_00014063	hypothetical protein	protein_coding	1	0.1401	0.9098	410	placeholder		placeholder		intact	0.3702
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	GenBank	Chromosome	RYR	0	1	CM008022.1	12245616	13191845	+	Q92736	0.9974	0.8775	0	1	found_unannotated	0	7944	present	fragmentary	coding models cover 0.35 of the footprint, best alone 0.09	14583	7	7	3	0	0.0946	0.3486		protein_coding	0	gene-Celaphus_00008169	Celaphus_00008169	hypothetical protein	protein_coding	gene-Celaphus_00008169	Celaphus_00008169	hypothetical protein	protein_coding	1	0.0946	1	460	placeholder		placeholder		intact	0.2019
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	GenBank	Chromosome	RYR	1	1	CM008011.1	60192955	60333350	-	A0A6I8Q6P7	1	0.7407	5	0	found_unannotated	0	7944	present	split	3 models cover 0.80 together, best alone 0.34	14961	6	6	3	0	0.3391	0.8038		protein_coding	0	gene-Celaphus_00004450	Celaphus_00004450	hypothetical protein	protein_coding	gene-Celaphus_00004449	Celaphus_00004449	RYR1	protein_coding	1	0.2726	0.9166	1483	placeholder		correct_paralog	RYR1	intact	0.9927
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	GenBank	Chromosome	RYR	2	1	CM008019.1	88509295	89000828	-	A0A6I8Q6P7	0.9968	0.6313	2	1	found_unannotated	0	7944	present	split	3 models cover 0.55 together, best alone 0.18	14782	6	6	3	0	0.1831	0.5529		protein_coding	0	gene-Celaphus_00006402	Celaphus_00006402	hypothetical protein	protein_coding	gene-Celaphus_00006402	Celaphus_00006402	hypothetical protein	protein_coding	1	0.1831	0.9787	922	placeholder		placeholder		intact	0.5975
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	GenBank	Scaffold	ITPR3	0	0	KZ509852.1	4513	37856	-	A0A8V1ACE6	0.9801	0.8623	2	1	found_annotated	0	21257	present	complete	one model covers 0.64 of the coding footprint (bar 0.50)	7428	2	2	2	0	0.6381	0.899		protein_coding	0	gene-llap_16032	llap_16032	inositol -trisphosphate receptor type 3	protein_coding	gene-llap_16032	llap_16032	inositol -trisphosphate receptor type 3	protein_coding	1	0.6381	0.9777	1616	placeholder		family_unnamed		intact	1.149
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	GenBank	Scaffold	RYR	0	1	KZ505650.1	1556943	1978394	+	A0A8V0Y8K1	1	0.9845	0	0	found_unannotated	0	21257	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 14913 coding bp; the nearest same-strand coding model reaches 0.008 of it	14913	1	1	0	0	0.008	0.008		protein_coding	0	gene-llap_1117	llap_1117	hypothetical protein	protein_coding	gene-llap_1117	llap_1117	hypothetical protein	protein_coding	1	0.008	0.107	374	placeholder		placeholder		intact	0
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	GenBank	Scaffold	RYR	1	1	KZ505716.1	586247	805857	-	A0A6I8Q6P7	1	0.6774	0	0	found_unannotated	0	21257	present	complete	one model covers 0.88 of the coding footprint (bar 0.50)	14823	1	1	1	0	0.8776	0.8776		protein_coding	0	gene-llap_3383	llap_3383	ryanodine receptor 3	protein_coding	gene-llap_3383	llap_3383	ryanodine receptor 3	protein_coding	1	0.8776	0.9737	4453	placeholder		correct_paralog	RYR	intact	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	ITPR1	0	0	PPHD01000413.1	7648	65942	-	A0A8V0ZJT0	0.3516	1	0	0	assembly_gap	0	10597	present	split	2 models cover 0.56 together, best alone 0.48	2934	2	2	2	0	0.4775	0.5624		protein_coding	0	gene-CIB84_000733	CIB84_000733	hypothetical protein	protein_coding	gene-CIB84_000733	CIB84_000733	hypothetical protein	protein_coding	1	0.4775	1	467	placeholder		placeholder		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	ITPR1	1	0	PPHD01008249.1	590	21997	+	A0A8V0ZJT0	0.3188	0.9989	0	0	assembly_gap	0	10597	present	complete	one model covers 0.85 of the coding footprint (bar 0.50)	2658	1	1	1	0	0.8544	0.8544		protein_coding	0	gene-CIB84_004674	CIB84_004674	hypothetical protein	protein_coding	gene-CIB84_004674	CIB84_004674	hypothetical protein	protein_coding	1	0.8544	0.9668	783	placeholder		placeholder		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	ITPR2	0	0	PPHD01003807.1	6160	29027	-	F1P1X4	0.2111	0.9	0	0	assembly_gap	0	10597	present	complete	one model covers 0.77 of the coding footprint (bar 0.50)	1704	1	1	1	0	0.7664	0.7664		protein_coding	0	gene-CIB84_002931	CIB84_002931	hypothetical protein	protein_coding	gene-CIB84_002931	CIB84_002931	hypothetical protein	protein_coding	1	0.7664	0.9282	469	placeholder		placeholder		not_scored	0
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	GenBank	Scaffold	ITPR2	1	0	PPHD01002362.1	4881	19406	+	F1P1X4	0.1589	0.9837	0	0	assembly_gap	0	10597	present	unannotated	no same-strand coding model reaches 0.01 of the locus's 1287 coding bp	1287	0	0	0	0	0	0			0									0	0	0	0	absent		absent		not_scored	
