accession	organism	vclass	cell	ledger_status	base_state	base_rule	recon_coverage	recon_n_contigs	n_spare_itpr_loci	contig_spans_gene	n_settings_absent	n_settings	loosest_evidence	needs_r5_off	needs_r6_off	released_by	base_reason
GCA_018340635.1	Bothrops jararaca	Lepidosauria	ITPR2	tblastn_trace	present_fragmented	R4	0.7956	6	0	1	16	32	recon_strict	0	0	evidence=recon_strict	0.80 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCF_048934315.1	Petromyzon marinus	Hyperoartia	ITPR2	absent	paralog_unassignable	R5	0	0	2	1	16	32	gap_lo	1	0	evidence=gap_lo; R5 off (D45)	no locus in this cell, but 2 family loci in GCF_048934315.1 that no cell claimed
GCF_048934315.1	Petromyzon marinus	Hyperoartia	ITPR3	absent	paralog_unassignable	R5	0	0	2	1	16	32	gap_lo	1	0	evidence=gap_lo; R5 off (D45)	no locus in this cell, but 2 family loci in GCF_048934315.1 that no cell claimed
GCF_964187855.1	Myxine glutinosa	Myxini	ITPR2	absent	paralog_unassignable	R5	0	0	2	1	16	32	gap_lo	1	0	evidence=gap_lo; R5 off (D45)	no locus in this cell, but 2 family loci in GCF_964187855.1 that no cell claimed
GCF_964187855.1	Myxine glutinosa	Myxini	ITPR3	absent	paralog_unassignable	R5	0	0	2	1	16	32	gap_lo	1	0	evidence=gap_lo; R5 off (D45)	no locus in this cell, but 2 family loci in GCF_964187855.1 that no cell claimed
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.4905	6	0	0	10	32	recon_half	0	1	evidence=recon_half; R6 off (D4)	0.49 of the reference reassembled from 6 contigs outside every locus the aligner found, bar 0.137
GCA_013389965.1	Todus mexicanus	Aves	ITPR2	tblastn_trace	present_fragmented	R4	0.1737	4	0	0	10	32	recon_half	0	1	evidence=recon_half; R6 off (D4)	0.17 of the reference reassembled from 4 contigs outside every locus the aligner found, bar 0.137
GCA_013397635.1	Columbina picui	Aves	ITPR3	tblastn_trace	present_fragmented	R4	0.4547	2	0	0	10	32	recon_half	0	1	evidence=recon_half; R6 off (D4)	0.45 of the reference reassembled from 2 contigs outside every locus the aligner found, bar 0.137
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	present_fragmented	R4	0.8374	8	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.84 of the reference reassembled from 8 contigs outside every locus the aligner found, bar 0.137
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	present_fragmented	R4	0.6367	2	0	0	8	32	recon_strict	0	1	evidence=recon_strict; R6 off (D4)	0.64 of the reference reassembled from 2 contigs outside every locus the aligner found, bar 0.137
