gene	class_bucket	element	n_positions	frac_of_class	n_residues	frac_of_protein	enrichment	odds_ratio	p_fisher
ITPR1	P/LP	RIH_N	11	0.2821	197	0.0714	3.949	5.35	5.3059e-05
ITPR1	P/LP	MIR	8	0.2051	200	0.0725	2.829	3.397	0.0058
ITPR1	P/LP	linker_RIH_C_RIH_assoc	6	0.1538	618	0.2241	0.687	0.626	0.339
ITPR1	P/LP	channel	6	0.1538	183	0.0664	2.319	2.611	0.041
ITPR1	P/LP	linker_RIH_N_RIH_C	2	0.0513	533	0.1933	0.265	0.223	0.0227
ITPR1	P/LP	gate	2	0.0513	5	0.0018	28.287	48.937	0.0019
ITPR1	P/LP	nterm_trefoil	1	0.0256	225	0.0816	0.314	0.293	0.3681
ITPR1	P/LP	RIH_C	1	0.0256	149	0.054	0.475	0.457	0.7211
ITPR1	P/LP	linker_RIH_assoc_channel	1	0.0256	285	0.1033	0.248	0.226	0.1774
ITPR1	P/LP	selectivity_filter	1	0.0256	7	0.0025	10.103	11.899	0.095
ITPR1	B/LB	linker_RIH_C_RIH_assoc	8	0.381	618	0.2241	1.7	2.146	0.1103
ITPR1	B/LB	linker_RIH_N_RIH_C	7	0.3333	533	0.1933	1.725	2.102	0.1585
ITPR1	B/LB	RIH_N	3	0.1429	197	0.0714	2.0	2.185	0.1857
ITPR1	B/LB	RIH_C	2	0.0952	149	0.054	1.763	1.855	0.315
ITPR1	B/LB	linker_RIH_assoc_channel	1	0.0476	285	0.1033	0.461	0.432	0.7167
ITPR1	VUS	linker_RIH_C_RIH_assoc	194	0.2694	618	0.2241	1.202	1.404	0.0009
ITPR1	VUS	linker_RIH_N_RIH_C	139	0.1931	533	0.1933	0.999	0.998	1.0
ITPR1	VUS	linker_RIH_assoc_channel	81	0.1125	285	0.1033	1.089	1.14	0.3548
ITPR1	VUS	RIH_N	53	0.0736	197	0.0714	1.031	1.045	0.8008
ITPR1	VUS	nterm_trefoil	50	0.0694	225	0.0816	0.851	0.794	0.1785
ITPR1	VUS	RIH_C	46	0.0639	149	0.054	1.183	1.282	0.1797
ITPR1	VUS	MIR	45	0.0625	200	0.0725	0.862	0.81	0.2427
ITPR1	VUS	channel	34	0.0472	183	0.0664	0.712	0.628	0.0184
ITPR1	VUS	cterm	28	0.0389	150	0.0544	0.715	0.635	0.0352
ITPR1	VUS	luminal_loop	22	0.0306	51	0.0185	1.652	2.183	0.0091
ITPR1	VUS	RIH_assoc	19	0.0264	107	0.0388	0.68	0.601	0.0438
ITPR1	VUS	linker_MIR_RIH_N	5	0.0069	41	0.0149	0.467	0.389	0.0473
ITPR1	VUS	linker_nterm_trefoil_MIR	2	0.0028	3	0.0011	2.554	5.674	0.1688
ITPR1	VUS	nterm	1	0.0014	4	0.0015	0.958	0.943	1.0
ITPR1	VUS	gate	1	0.0014	5	0.0018	0.766	0.707	1.0
ITPR2	P/LP	selectivity_filter	1	1.0	7	0.0026	385.857	inf	0.0026
ITPR2	B/LB	linker_RIH_N_RIH_C	3	0.2727	523	0.1936	1.408	1.565	0.4547
ITPR2	B/LB	linker_RIH_C_RIH_assoc	2	0.1818	570	0.211	0.862	0.83	1.0
ITPR2	B/LB	nterm_trefoil	1	0.0909	223	0.0826	1.101	1.112	0.6131
ITPR2	B/LB	RIH_N	1	0.0909	198	0.0733	1.24	1.265	0.5679
ITPR2	B/LB	RIH_C	1	0.0909	151	0.0559	1.626	1.693	0.4695
ITPR2	B/LB	RIH_assoc	1	0.0909	107	0.0396	2.295	2.438	0.3595
ITPR2	B/LB	linker_RIH_assoc_channel	1	0.0909	243	0.09	1.01	1.012	1.0
ITPR2	B/LB	channel	1	0.0909	227	0.084	1.082	1.09	1.0
ITPR2	VUS	linker_RIH_N_RIH_C	61	0.248	523	0.1936	1.281	1.422	0.0276
ITPR2	VUS	linker_RIH_C_RIH_assoc	60	0.2439	570	0.211	1.156	1.23	0.19
ITPR2	VUS	RIH_C	24	0.0976	151	0.0559	1.745	1.982	0.0053
ITPR2	VUS	channel	17	0.0691	227	0.084	0.822	0.794	0.4688
ITPR2	VUS	RIH_N	15	0.061	198	0.0733	0.832	0.806	0.5212
ITPR2	VUS	linker_RIH_assoc_channel	15	0.061	243	0.09	0.678	0.634	0.102
ITPR2	VUS	nterm_trefoil	13	0.0528	223	0.0826	0.64	0.596	0.0879
ITPR2	VUS	MIR	12	0.0488	200	0.074	0.659	0.618	0.1253
ITPR2	VUS	cterm	12	0.0488	150	0.0555	0.878	0.861	0.77
ITPR2	VUS	RIH_assoc	8	0.0325	107	0.0396	0.821	0.8	0.7307
ITPR2	VUS	luminal_loop	7	0.0285	48	0.0178	1.601	1.724	0.199
ITPR2	VUS	linker_nterm_trefoil_MIR	2	0.0081	4	0.0015	5.49	10.053	0.0438
ITPR3	P/LP	channel	2	0.4	226	0.0846	4.727	7.268	0.0601
ITPR3	P/LP	nterm_trefoil	1	0.2	227	0.085	2.353	2.699	0.3588
ITPR3	P/LP	RIH_N	1	0.2	197	0.0738	2.712	3.151	0.3184
ITPR3	P/LP	linker_RIH_C_RIH_assoc	1	0.2	539	0.2018	0.991	0.989	1.0
ITPR3	B/LB	linker_RIH_C_RIH_assoc	7	0.4118	539	0.2018	2.04	2.792	0.0603
ITPR3	B/LB	linker_RIH_N_RIH_C	3	0.1765	517	0.1936	0.912	0.892	1.0
ITPR3	B/LB	MIR	2	0.1176	198	0.0741	1.587	1.672	0.3627
ITPR3	B/LB	channel	2	0.1176	226	0.0846	1.39	1.446	0.6498
ITPR3	B/LB	RIH_assoc	1	0.0588	107	0.0401	1.468	1.502	0.502
ITPR3	B/LB	linker_RIH_assoc_channel	1	0.0588	266	0.0996	0.591	0.563	1.0
ITPR3	B/LB	luminal_loop	1	0.0588	50	0.0187	3.142	3.323	0.2755
ITPR3	VUS	linker_RIH_C_RIH_assoc	80	0.2222	539	0.2018	1.101	1.153	0.3229
ITPR3	VUS	linker_RIH_N_RIH_C	66	0.1833	517	0.1936	0.947	0.926	0.667
ITPR3	VUS	linker_RIH_assoc_channel	35	0.0972	266	0.0996	0.976	0.97	0.9248
