species	seq	junction_index	cds_offset	left_exon	right_exon	intron_start	intron_end	intron_length	class	annotated	donor	acceptor	splice_class	left_models	right_models
deleginoides	ITPR1|deleginoides	1	92	1	2	23181340	23184137	2798	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	2	163	2	3	23173259	23181268	8010	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	3	273	3	4	23172578	23173148	571	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	4	360	4	5	23171739	23172490	752	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	5	519	5	6	23170877	23171579	703	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	6	618	6	7	23170068	23170777	710	model_to_gap	0	GT	AG	canonical		gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	7	702	7	8	23168478	23169983	1506	model_to_gap	0	GT	AG	canonical	gene-KUDE01_003980	
deleginoides	ITPR1|deleginoides	8	849	8	9	23168148	23168330	183	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	9	945	9	10	23167819	23168051	233	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	10	990	10	11	23167033	23167773	741	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	11	1145	11	12	23165644	23166877	1234	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	12	1245	12	13	23165212	23165543	332	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	13	1406	13	14	23164950	23165050	101	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	14	1548	14	15	23163865	23164807	943	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	15	1707	15	16	23162592	23163705	1114	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	16	1880	16	17	23161955	23162418	464	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	17	2000	17	18	23161500	23161834	335	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	18	2195	18	19	23161146	23161304	159	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	19	2447	19	20	23160809	23160893	85	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	20	2589	20	21	23160569	23160666	98	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	21	2743	21	22	23160336	23160414	79	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	22	2934	22	23	23160000	23160144	145	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	23	3067	23	24	23159776	23159866	91	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	24	3122	24	25	23159642	23159720	79	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	25	3288	25	26	23159292	23159475	184	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	26	3462	26	27	23159000	23159117	118	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	27	3537	27	28	23158807	23158924	118	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	28	3675	28	29	23158590	23158668	79	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	29	3800	29	30	23158347	23158464	118	within_one_model	1	GT	AG	canonical	gene-KUDE01_003980;gene-KUDE01_004628	gene-KUDE01_003980
deleginoides	ITPR1|deleginoides	30	4001	30	31	23158055	23158145	91	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_003980;gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	31	4253	31	32	23157615	23157802	188	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	32	4378	32	33	23157393	23157489	97	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	33	4507	33	34	23154727	23157263	2537	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	34	4628	34	35	23154257	23154605	349	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	35	4813	35	36	23153989	23154071	83	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	36	4962	36	37	23153737	23153839	103	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	37	5101	37	38	23148654	23153597	4944	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	38	5149	38	39	23147222	23148605	1384	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	39	5282	39	40	23145146	23147088	1943	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	40	5470	40	41	23140897	23144957	4061	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	41	5653	41	42	23140517	23140713	197	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	42	5907	42	43	23139367	23140262	896	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	43	6107	43	44	23139089	23139166	78	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	44	6218	44	45	23138309	23138977	669	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	45	6314	45	46	23138095	23138212	118	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	46	6458	46	47	23137787	23137950	164	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	47	6566	47	48	23137267	23137678	412	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	48	6759	48	49	23135234	23137073	1840	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	49	6882	49	50	23132390	23135110	2721	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	50	7058	50	51	23130889	23132213	1325	within_one_model	1	GT	AG	canonical	gene-KUDE01_004628	gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	51	7223	51	52	23129998	23130723	726	model_to_gap	0	GT	AG	canonical		gene-KUDE01_004628
deleginoides	ITPR1|deleginoides	52	7413	52	53	23129689	23129807	119	unannotated	0	GT	AG	canonical		
deleginoides	ITPR1|deleginoides	53	7506	53	54	23128333	23129595	1263	unannotated	0	GT	AG	canonical		
deleginoides	ITPR1|deleginoides	54	7646	54	55	23127264	23128192	929	unannotated	0	GT	AG	canonical		
deleginoides	ITPR1|deleginoides	55	7812	55	56	23124018	23127097	3080	unannotated	0	GT	AG	canonical		
deleginoides	ITPR1|deleginoides	56	7973	56	57	23123031	23123856	826	unannotated	0	GT	AG	canonical		
deleginoides	ITPR1|deleginoides	57	8135	57	58	23122341	23122868	528	unannotated	0	GT	AG	canonical		
deleginoides	ITPR2|deleginoides	1	92	1	2	21941034	21945946	4913	unannotated	0	GT	AG	canonical		
