accession	label	kind	call	group	paralog	species	kingdom	phylum	length	source	in_alphafold	afdb_status	model_accession	afdb_entry	model_length	model_coverage	is_canonical	afdb_version	seq_version_date	error
A0A016VUT2	Acey_s0004.g2120	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2120	Ancylostoma ceylanicum	Metazoa	Nematoda	818	InterPro	1	full	A0A016VUT2	AF-A0A016VUT2-F1	818	1.0	1	6	2014-06-11	
A0A016VUU4	Acey_s0004.g2123	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2123	Ancylostoma ceylanicum	Metazoa	Nematoda	2004	InterPro	0	absent			0	0.0				404
A0A016VVC9	Acey_s0004.g2120	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2120	Ancylostoma ceylanicum	Metazoa	Nematoda	803	InterPro	1	full	A0A016VVC9	AF-A0A016VVC9-F1	803	1.0	1	6	2014-06-11	
A0A016VVL2	Acey_s0004.g2120	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2120	Ancylostoma ceylanicum	Metazoa	Nematoda	864	InterPro	1	full	A0A016VVL2	AF-A0A016VVL2-F1	864	1.0	1	6	2014-06-11	
A0A016VVL8	Acey_s0004.g2123	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2123	Ancylostoma ceylanicum	Metazoa	Nematoda	2004	InterPro	0	absent			0	0.0				404
A0A016VWG3	Acey_s0004.g2120	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2120	Ancylostoma ceylanicum	Metazoa	Nematoda	849	InterPro	1	full	A0A016VWG3	AF-A0A016VWG3-F1	849	1.0	1	6	2014-06-11	
A0A016VWG9	Acey_s0004.g2123	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2123	Ancylostoma ceylanicum	Metazoa	Nematoda	1843	InterPro	0	absent			0	0.0				404
A0A016VX74	Acey_s0004.g2120	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2120	Ancylostoma ceylanicum	Metazoa	Nematoda	867	InterPro	1	full	A0A016VX74	AF-A0A016VX74-F1	867	1.0	1	6	2014-06-11	
A0A016VX80	Acey_s0004.g2123	uniprot	ITPR	Metazoa (non-vertebrate)	Acey_s0004.g2123	Ancylostoma ceylanicum	Metazoa	Nematoda	2012	InterPro	0	absent			0	0.0				404
A0A023F2G4	Inositol 1,4,5-trisphosphate receptor	uniprot	ITPR	Metazoa (non-vertebrate)		Triatoma infestans (Assassin bug)	Metazoa	Arthropoda	2724	InterPro	0	absent			0	0.0				404
A0A026VT77	X777_00544	uniprot	ITPR	Metazoa (non-vertebrate)	X777_00544	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	Metazoa	Arthropoda	2719	InterPro	0	absent			0	0.0				404
A0A058ZDJ2	H696_01395	uniprot	ITPR	Eukaryota (other)	H696_01395	Fonticula alba (Slime mold)			3443	InterPro	0	absent			0	0.0				404
A0A067BPJ2	SPRG_17875	uniprot	ITPR	SAR	SPRG_17875	Saprolegnia parasitica (strain CBS 223.65)		Oomycota	517	InterPro	1	full	A0A067BPJ2	AF-A0A067BPJ2-F1	517	1.0	1	6	2014-09-03	
