species	seq	junction_index	cds_offset	annotated	class	reads	runs_with_reads	runs_tested
deleginoides	ITPR1|deleginoides	1	92	1	within_one_model	3	2	18
deleginoides	ITPR1|deleginoides	2	163	1	within_one_model	4	1	18
deleginoides	ITPR1|deleginoides	3	273	1	within_one_model	1	1	18
deleginoides	ITPR1|deleginoides	4	360	1	within_one_model	0	0	18
deleginoides	ITPR1|deleginoides	5	519	1	within_one_model	4	3	18
deleginoides	ITPR1|deleginoides	6	618	0	model_to_gap	6	4	18
deleginoides	ITPR1|deleginoides	7	702	0	model_to_gap	6	4	18
deleginoides	ITPR1|deleginoides	8	849	1	within_one_model	4	2	18
deleginoides	ITPR1|deleginoides	9	945	1	within_one_model	3	2	18
deleginoides	ITPR1|deleginoides	10	990	1	within_one_model	2	2	18
deleginoides	ITPR1|deleginoides	11	1145	1	within_one_model	3	2	18
deleginoides	ITPR1|deleginoides	12	1245	1	within_one_model	4	2	18
deleginoides	ITPR1|deleginoides	13	1406	1	within_one_model	1	1	18
deleginoides	ITPR1|deleginoides	14	1548	1	within_one_model	2	2	18
deleginoides	ITPR1|deleginoides	15	1707	1	within_one_model	2	2	18
deleginoides	ITPR1|deleginoides	16	1880	1	within_one_model	4	3	18
deleginoides	ITPR1|deleginoides	17	2000	1	within_one_model	5	4	18
deleginoides	ITPR1|deleginoides	18	2195	1	within_one_model	7	4	18
deleginoides	ITPR1|deleginoides	19	2447	1	within_one_model	2	2	18
deleginoides	ITPR1|deleginoides	20	2589	1	within_one_model	7	4	18
deleginoides	ITPR1|deleginoides	21	2743	1	within_one_model	5	3	18
deleginoides	ITPR1|deleginoides	22	2934	1	within_one_model	2	1	18
deleginoides	ITPR1|deleginoides	23	3067	1	within_one_model	1	1	18
deleginoides	ITPR1|deleginoides	24	3122	1	within_one_model	5	2	18
deleginoides	ITPR1|deleginoides	25	3288	1	within_one_model	10	4	18
deleginoides	ITPR1|deleginoides	26	3462	1	within_one_model	2	2	18
deleginoides	ITPR1|deleginoides	27	3537	1	within_one_model	5	3	18
deleginoides	ITPR1|deleginoides	28	3675	1	within_one_model	6	3	18
deleginoides	ITPR1|deleginoides	29	3800	1	within_one_model	0	0	18
deleginoides	ITPR1|deleginoides	30	4001	1	within_one_model	3	2	18
deleginoides	ITPR1|deleginoides	31	4253	1	within_one_model	6	5	18
deleginoides	ITPR1|deleginoides	32	4378	1	within_one_model	0	0	18
deleginoides	ITPR1|deleginoides	33	4507	1	within_one_model	8	2	18
deleginoides	ITPR1|deleginoides	34	4628	1	within_one_model	20	6	18
deleginoides	ITPR1|deleginoides	35	4813	1	within_one_model	6	4	18
deleginoides	ITPR1|deleginoides	36	4962	1	within_one_model	10	7	18
deleginoides	ITPR1|deleginoides	37	5101	1	within_one_model	0	0	18
deleginoides	ITPR1|deleginoides	38	5149	1	within_one_model	2	2	18
deleginoides	ITPR1|deleginoides	39	5282	1	within_one_model	24	4	18
deleginoides	ITPR1|deleginoides	40	5470	1	within_one_model	23	10	18
deleginoides	ITPR1|deleginoides	41	5653	1	within_one_model	33	9	18
deleginoides	ITPR1|deleginoides	42	5907	1	within_one_model	23	6	18
deleginoides	ITPR1|deleginoides	43	6107	1	within_one_model	22	8	18
deleginoides	ITPR1|deleginoides	44	6218	1	within_one_model	33	11	18
deleginoides	ITPR1|deleginoides	45	6314	1	within_one_model	18	8	18
deleginoides	ITPR1|deleginoides	46	6458	1	within_one_model	46	11	18
deleginoides	ITPR1|deleginoides	47	6566	1	within_one_model	47	11	18
deleginoides	ITPR1|deleginoides	48	6759	1	within_one_model	30	10	18
deleginoides	ITPR1|deleginoides	49	6882	1	within_one_model	34	10	18
deleginoides	ITPR1|deleginoides	50	7058	1	within_one_model	37	9	18
deleginoides	ITPR1|deleginoides	51	7223	0	model_to_gap	48	9	18
deleginoides	ITPR1|deleginoides	52	7413	0	unannotated	35	7	18
deleginoides	ITPR1|deleginoides	53	7506	0	unannotated	50	10	18
deleginoides	ITPR1|deleginoides	54	7646	0	unannotated	20	8	18
deleginoides	ITPR1|deleginoides	55	7812	0	unannotated	62	9	18
deleginoides	ITPR1|deleginoides	56	7973	0	unannotated	92	16	18
deleginoides	ITPR1|deleginoides	57	8135	0	unannotated	113	16	18
deleginoides	ITPR2|deleginoides	1	92	0	unannotated	6	4	18
deleginoides	ITPR2|deleginoides	2	163	0	unannotated	7	5	18
deleginoides	ITPR2|deleginoides	3	282	0	unannotated	13	7	18
deleginoides	ITPR2|deleginoides	4	369	0	unannotated	11	6	18
deleginoides	ITPR2|deleginoides	5	528	0	unannotated	7	2	18
deleginoides	ITPR2|deleginoides	6	627	0	unannotated	9	4	18
deleginoides	ITPR2|deleginoides	7	711	0	unannotated	9	7	18
deleginoides	ITPR2|deleginoides	8	858	0	unannotated	10	9	18
deleginoides	ITPR2|deleginoides	9	954	0	unannotated	9	5	18
deleginoides	ITPR2|deleginoides	10	999	0	unannotated	8	6	18
deleginoides	ITPR2|deleginoides	11	1151	0	unannotated	7	6	18
deleginoides	ITPR2|deleginoides	12	1251	0	unannotated	5	3	18
deleginoides	ITPR2|deleginoides	13	1412	0	unannotated	7	5	18
deleginoides	ITPR2|deleginoides	14	1554	0	unannotated	11	6	18
deleginoides	ITPR2|deleginoides	15	1713	0	unannotated	4	3	18
deleginoides	ITPR2|deleginoides	16	1886	0	unannotated	3	2	18
deleginoides	ITPR2|deleginoides	17	2006	0	unannotated	8	4	18
deleginoides	ITPR2|deleginoides	18	2189	0	unannotated	6	4	18
deleginoides	ITPR2|deleginoides	19	2441	0	unannotated	4	3	18
deleginoides	ITPR2|deleginoides	20	2589	0	unannotated	8	6	18
deleginoides	ITPR2|deleginoides	21	2741	0	unannotated	0	0	18
deleginoides	ITPR2|deleginoides	22	2929	0	unannotated	8	4	18
deleginoides	ITPR2|deleginoides	23	3047	0	unannotated	0	0	18
deleginoides	ITPR2|deleginoides	24	3105	0	unannotated	4	4	18
deleginoides	ITPR2|deleginoides	25	3271	0	unannotated	5	3	18
deleginoides	ITPR2|deleginoides	26	3439	0	unannotated	17	7	18
deleginoides	ITPR2|deleginoides	27	3526	0	unannotated	24	10	18
deleginoides	ITPR2|deleginoides	28	3652	0	unannotated	18	7	18
deleginoides	ITPR2|deleginoides	29	3775	0	unannotated	14	7	18
deleginoides	ITPR2|deleginoides	30	3976	0	unannotated	3	3	18
deleginoides	ITPR2|deleginoides	31	4228	0	unannotated	13	6	18
deleginoides	ITPR2|deleginoides	32	4354	0	unannotated	14	8	18
deleginoides	ITPR2|deleginoides	33	4483	0	unannotated	13	7	18
deleginoides	ITPR2|deleginoides	34	4604	0	unannotated	25	9	18
deleginoides	ITPR2|deleginoides	35	4786	0	unannotated	10	6	18
deleginoides	ITPR2|deleginoides	36	4929	0	unannotated	31	9	18
deleginoides	ITPR2|deleginoides	37	5038	0	unannotated	19	7	18
deleginoides	ITPR2|deleginoides	38	5159	0	unannotated	21	9	18
deleginoides	ITPR2|deleginoides	39	5347	0	unannotated	34	10	18
deleginoides	ITPR2|deleginoides	40	5528	0	unannotated	44	13	18
deleginoides	ITPR2|deleginoides	41	5782	0	unannotated	31	11	18
deleginoides	ITPR2|deleginoides	42	5983	0	unannotated	17	7	18
deleginoides	ITPR2|deleginoides	43	6094	0	unannotated	28	12	18
deleginoides	ITPR2|deleginoides	44	6190	0	unannotated	42	13	18
deleginoides	ITPR2|deleginoides	45	6310	0	unannotated	66	14	18
deleginoides	ITPR2|deleginoides	46	6445	0	unannotated	40	10	18
deleginoides	ITPR2|deleginoides	47	6638	0	unannotated	46	11	18
deleginoides	ITPR2|deleginoides	48	6764	0	unannotated	38	14	18
deleginoides	ITPR2|deleginoides	49	6940	0	unannotated	51	12	18
deleginoides	ITPR2|deleginoides	50	7105	0	unannotated	56	13	18
deleginoides	ITPR2|deleginoides	51	7314	0	unannotated	0	0	18
deleginoides	ITPR2|deleginoides	52	7504	0	unannotated	55	13	18
deleginoides	ITPR2|deleginoides	53	7670	0	unannotated	84	15	18
deleginoides	ITPR2|deleginoides	54	7831	0	unannotated	159	16	18
deleginoides	ITPR2|deleginoides	55	7993	0	unannotated	173	17	18
deleginoides	ITPR3|deleginoides	1	92	1	within_one_model	3	2	18
deleginoides	ITPR3|deleginoides	2	163	0	between_models	0	0	18
deleginoides	ITPR3|deleginoides	3	285	1	within_one_model	4	2	18
deleginoides	ITPR3|deleginoides	4	372	1	within_one_model	4	3	18
deleginoides	ITPR3|deleginoides	5	531	1	within_one_model	1	1	18
deleginoides	ITPR3|deleginoides	6	630	1	within_one_model	7	4	18
deleginoides	ITPR3|deleginoides	7	714	1	within_one_model	5	3	18
deleginoides	ITPR3|deleginoides	8	861	1	within_one_model	2	2	18
deleginoides	ITPR3|deleginoides	9	957	1	within_one_model	2	1	18
deleginoides	ITPR3|deleginoides	10	1001	1	within_one_model	1	1	18
deleginoides	ITPR3|deleginoides	11	1141	1	within_one_model	5	2	18
deleginoides	ITPR3|deleginoides	12	1241	1	within_one_model	5	3	18
deleginoides	ITPR3|deleginoides	13	1402	0	between_models	1	1	18
deleginoides	ITPR3|deleginoides	14	1544	1	within_one_model	4	2	18
deleginoides	ITPR3|deleginoides	15	1709	1	within_one_model	4	3	18
deleginoides	ITPR3|deleginoides	16	1882	1	within_one_model	5	4	18
deleginoides	ITPR3|deleginoides	17	2002	1	within_one_model	10	4	18
deleginoides	ITPR3|deleginoides	18	2078	1	within_one_model	15	5	18
deleginoides	ITPR3|deleginoides	19	2194	1	within_one_model	6	4	18
deleginoides	ITPR3|deleginoides	20	2446	1	within_one_model	5	3	18
deleginoides	ITPR3|deleginoides	21	2591	1	within_one_model	3	3	18
deleginoides	ITPR3|deleginoides	22	2736	1	within_one_model	3	2	18
deleginoides	ITPR3|deleginoides	23	2945	1	within_one_model	8	5	18
deleginoides	ITPR3|deleginoides	24	3066	1	within_one_model	6	3	18
deleginoides	ITPR3|deleginoides	25	3121	1	within_one_model	8	4	18
deleginoides	ITPR3|deleginoides	26	3287	1	within_one_model	6	4	18
deleginoides	ITPR3|deleginoides	27	3455	1	within_one_model	12	5	18
deleginoides	ITPR3|deleginoides	28	3530	1	within_one_model	11	3	18
deleginoides	ITPR3|deleginoides	29	3650	1	within_one_model	8	4	18
deleginoides	ITPR3|deleginoides	30	3773	1	within_one_model	7	4	18
deleginoides	ITPR3|deleginoides	31	3974	1	within_one_model	6	4	18
deleginoides	ITPR3|deleginoides	32	4090	1	within_one_model	7	4	18
deleginoides	ITPR3|deleginoides	33	4226	1	within_one_model	15	6	18
deleginoides	ITPR3|deleginoides	34	4352	1	within_one_model	18	7	18
deleginoides	ITPR3|deleginoides	35	4478	1	within_one_model	17	7	18
deleginoides	ITPR3|deleginoides	36	4599	1	within_one_model	14	6	18
deleginoides	ITPR3|deleginoides	37	4781	0	model_to_gap	4	3	18
deleginoides	ITPR3|deleginoides	38	4930	0	unannotated	4	3	18
deleginoides	ITPR3|deleginoides	39	5039	0	unannotated	9	4	18
deleginoides	ITPR3|deleginoides	40	5133	0	unannotated	7	3	18
deleginoides	ITPR3|deleginoides	41	5309	0	unannotated	21	9	18
deleginoides	ITPR3|deleginoides	42	5469	0	unannotated	0	0	18
deleginoides	ITPR3|deleginoides	43	5688	0	unannotated	19	7	18
deleginoides	ITPR3|deleginoides	44	5889	0	unannotated	15	6	18
deleginoides	ITPR3|deleginoides	45	6000	0	unannotated	17	6	18
deleginoides	ITPR3|deleginoides	46	6096	0	unannotated	13	4	18
