accession	label	kind	call	group	paralog	species	kingdom	phylum	length	source	in_alphafold	afdb_status	model_accession	afdb_entry	model_length	model_coverage	is_canonical	afdb_version	seq_version_date	error
A0A058ZDJ2	protist_Fonticula_alba_Slime_mold_A0A058ZDJ2	uniprot	ITPR	protist		Fonticula alba (Slime mold)			3443	InterPro		absent			0	0.0				404
A0A078ASZ8	protist_Stylonychia_lemnae_Ciliate_A0A078ASZ8	uniprot	ITPR	protist		Stylonychia lemnae (Ciliate)		Ciliophora	2773	InterPro		absent			0	0.0				404
A0A0V1CUW8	invert_metazoa_Trichinella_britovi_Parasitic_roundwor_A0A0V1CUW8	uniprot	ITPR	invert_metazoa		Trichinella britovi (Parasitic roundworm)	Metazoa	Nematoda	2676	InterPro		absent			0	0.0				404
A0A1S3JYY5	invert_metazoa_Lingula_anatina_Brachiopod_Lingula_ung_A0A1S3JYY5	uniprot	ITPR	invert_metazoa		Lingula anatina (Brachiopod) (Lingula unguis)	Metazoa	Brachiopoda	2595	InterPro		absent			0	0.0				404
A0A1W0X7L5	invert_metazoa_Hypsibius_exemplaris_Freshwater_tardig_A0A1W0X7L5	uniprot	ITPR	invert_metazoa		Hypsibius exemplaris (Freshwater tardigrade)	Metazoa	Tardigrada	2720	InterPro		absent			0	0.0				404
A0A2K3CTW4	plant_Chlamydomonas_reinhardtii_Chlamydomona_A0A2K3CTW4	uniprot	ITPR	plant		Chlamydomonas reinhardtii (Chlamydomonas smithii)	Viridiplantae	Chlorophyta	3210	InterPro		absent			0	0.0				404
A0A401RNU3	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	uniprot	ITPR	vertebrate_basal		Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	Metazoa	Chordata	2211	InterPro		absent			0	0.0				404
A0A401S8Q3	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401S8Q3	uniprot	ITPR	vertebrate_basal		Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	Metazoa	Chordata	2490	InterPro		absent			0	0.0				404
A0A401SQC9	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	uniprot	ITPR	vertebrate_basal		Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	Metazoa	Chordata	2705	InterPro		absent			0	0.0				404
A0A433QY11	fungi_Jimgerdemannia_flammicorona_A0A433QY11	uniprot	ITPR	Fungi		Jimgerdemannia flammicorona	Fungi	Mucoromycota	2599	InterPro		absent			0	0.0				404
A0A485LKV7	protist_Aphanomyces_stellatus_A0A485LKV7	uniprot	ITPR	protist		Aphanomyces stellatus		Oomycota	2815	InterPro		absent			0	0.0				404
A0A4E0RYC0	invert_metazoa_Fasciola_hepatica_Liver_fluke_A0A4E0RYC0	uniprot	ITPR	invert_metazoa		Fasciola hepatica (Liver fluke)	Metazoa	Platyhelminthes	2838	InterPro		absent			0	0.0				404
A0A4W3GWE7	ITPR3_Callorhinchus_milii_Ghost_shark_A0A4W3GWE7	uniprot	ITPR	ITPR3	ITPR3	Callorhinchus milii (Ghost shark)	Metazoa	Chordata	2630	InterPro		absent			0	0.0				404
A0A4W3IQL0	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	uniprot	ITPR	vertebrate_basal		Callorhinchus milii (Ghost shark)	Metazoa	Chordata	2668	InterPro		absent			0	0.0				404
A0A4W3JHJ0	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	uniprot	ITPR	vertebrate_basal		Callorhinchus milii (Ghost shark)	Metazoa	Chordata	2683	InterPro		absent			0	0.0				404
A0A4W3JQ24	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JQ24	uniprot	ITPR	vertebrate_basal		Callorhinchus milii (Ghost shark)	Metazoa	Chordata	2667	InterPro		absent			0	0.0				404
A0A4Y2F2N2	invert_metazoa_Araneus_ventricosus_Orbweaver_spider_E_A0A4Y2F2N2	uniprot	ITPR	invert_metazoa		Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	Metazoa	Arthropoda	2774	InterPro		absent			0	0.0				404
A0A663MIF9	ITPR3_Athene_cunicularia_Burrowing_owl_Speot_A0A663MIF9	uniprot	ITPR	ITPR3	ITPR3	Athene cunicularia (Burrowing owl) (Speotyto cunicularia)	Metazoa	Chordata	2666	InterPro		absent			0	0.0				404
A0A670JBK6	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	uniprot	ITPR	ITPR1	ITPR1	Podarcis muralis (Wall lizard) (Lacerta muralis)	Metazoa	Chordata	2747	InterPro		absent			0	0.0				404
A0A672IUQ7	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	uniprot	ITPR	ITPR1	ITPR1	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	Metazoa	Chordata	2748	InterPro		absent			0	0.0				404
A0A672UP22	ITPR2_Strigops_habroptila_Kakapo_A0A672UP22	uniprot	ITPR	ITPR2	ITPR2	Strigops habroptila (Kakapo)	Metazoa	Chordata	2700	InterPro		absent			0	0.0				404
A0A6A5C2J4	protist_Naegleria_fowleri_Brain_eating_amoeba_A0A6A5C2J4	uniprot	ITPR	protist		Naegleria fowleri (Brain eating amoeba)		Heterolobosea	2801	InterPro		absent			0	0.0				404
A0A6A7G5P7	invert_metazoa_Hirondellea_gigas_A0A6A7G5P7	uniprot	ITPR	invert_metazoa		Hirondellea gigas	Metazoa	Arthropoda	2775	InterPro		absent			0	0.0				404
A0A6F9DES0	invert_metazoa_Phallusia_mammillata_A0A6F9DES0	uniprot	ITPR	invert_metazoa	ITPR2	Phallusia mammillata	Metazoa	Chordata	2802	InterPro		absent			0	0.0				404
A0A6I8RGU0	ITPR2_Xenopus_tropicalis_Western_clawed_frog_A0A6I8RGU0	uniprot	ITPR	ITPR2	ITPR2	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Metazoa	Chordata	2705	InterPro		absent			0	0.0				404
A0A6J0TV85	ITPR3_Pogona_vitticeps_central_bearded_drago_A0A6J0TV85	uniprot	ITPR	ITPR3	ITPR3	Pogona vitticeps (central bearded dragon)	Metazoa	Chordata	2666	InterPro		absent			0	0.0				404
A0A6J2VJN0	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	uniprot	ITPR	ITPR1	ITPR1	Chanos chanos (Milkfish) (Mugil chanos)	Metazoa	Chordata	2716	InterPro		absent			0	0.0				404
A0A6J2VNY7	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	uniprot	ITPR	ITPR1	ITPR1	Chanos chanos (Milkfish) (Mugil chanos)	Metazoa	Chordata	2694	InterPro		absent			0	0.0				404
A0A6J7ZY28	invert_metazoa_Mytilus_coruscus_Sea_mussel_A0A6J7ZY28	uniprot	ITPR	invert_metazoa		Mytilus coruscus (Sea mussel)	Metazoa	Mollusca	2778	InterPro		absent			0	0.0				404
A0A6P8IUM8	invert_metazoa_Actinia_tenebrosa_Australian_red_warat_A0A6P8IUM8	uniprot	ITPR	invert_metazoa		Actinia tenebrosa (Australian red waratah sea anemone)	Metazoa	Cnidaria	2745	InterPro		absent			0	0.0				404
A0A7J7J401	invert_metazoa_Bugula_neritina_Brown_bryozoan_Sertula_A0A7J7J401	uniprot	ITPR	invert_metazoa		Bugula neritina (Brown bryozoan) (Sertularia neritina)	Metazoa	Bryozoa	1724	InterPro		absent			0	0.0				404
A0A813MP72	invert_metazoa_Brachionus_calyciflorus_A0A813MP72	uniprot	ITPR	invert_metazoa		Brachionus calyciflorus	Metazoa	Rotifera	3029	InterPro		absent			0	0.0				404
A0A836HD65	protist_Leishmania_martiniquensis_A0A836HD65	uniprot	ITPR	protist		Leishmania martiniquensis		Euglenozoa	2853	InterPro		absent			0	0.0				404
A0A8C6KWV8	ITPR3_Nothobranchius_furzeri_Turquoise_killi_A0A8C6KWV8	uniprot	ITPR	ITPR3	ITPR3	Nothobranchius furzeri (Turquoise killifish)	Metazoa	Chordata	2670	InterPro		absent			0	0.0				404
A0A8J0SYK9	ITPR3_Xenopus_tropicalis_Western_clawed_frog_A0A8J0SYK9	uniprot	ITPR	ITPR3	ITPR3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Metazoa	Chordata	2673	InterPro		absent			0	0.0				404
A0A8J0T3U5	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	uniprot	ITPR	ITPR1	ITPR1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Metazoa	Chordata	2743	InterPro		absent			0	0.0				404
A0A8K0A0Y4	invert_metazoa_Branchiostoma_lanceolatum_Common_lance_A0A8K0A0Y4	uniprot	ITPR	invert_metazoa	ITPR1	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)	Metazoa	Chordata	2783	InterPro		absent			0	0.0				404
A0A8M2BDG0	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	uniprot	ITPR	ITPR1	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	Chordata	2711	InterPro		absent			0	0.0				404
A0A8M6Z266	ITPR3_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M6Z266	uniprot	ITPR	ITPR3	ITPR3	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	Chordata	2635	InterPro		full	A0A8M6Z266	AF-A0A8M6Z266-F1	2635	1.0	1	6	2022-08-03	
A0A8M9PQQ3	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	uniprot	ITPR	ITPR2	ITPR2	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	Chordata	2665	InterPro		full	A0A8M9PQQ3	AF-A0A8M9PQQ3-F1	2665	1.0	1	6	2022-08-03	
A0A8V0ZJT0	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	uniprot	ITPR	ITPR1	ITPR1	Gallus gallus (Chicken)	Metazoa	Chordata	2779	InterPro		absent			0	0.0				404
A0A8V1ACE6	ITPR3_Gallus_gallus_Chicken_A0A8V1ACE6	uniprot	ITPR	ITPR3	ITPR3	Gallus gallus (Chicken)	Metazoa	Chordata	2664	InterPro		absent			0	0.0				404
A0A9W7AFH6	protist_Triparma_retinervis_A0A9W7AFH6	uniprot	ITPR	protist		Triparma retinervis			2897	InterPro		absent			0	0.0				404
A0A9W7DWA0	protist_Triparma_laevis_f._longispina_A0A9W7DWA0	uniprot	ITPR	protist		Triparma laevis f. longispina			3056	InterPro		absent			0	0.0				404
A0AA88KEU5	protist_Naegleria_lovaniensis_Amoeba_A0AA88KEU5	uniprot	ITPR	protist		Naegleria lovaniensis (Amoeba)		Heterolobosea	3074	InterPro		absent			0	0.0				404
A0AAE0G204	plant_Cymbomonas_tetramitiformis_A0AAE0G204	uniprot	ITPR	plant		Cymbomonas tetramitiformis	Viridiplantae	Chlorophyta	2900	InterPro		absent			0	0.0				404
A0AAJ7U4X1	vertebrate_basal_Petromyzon_marinus_Sea_lamprey_A0AAJ7U4X1	uniprot	ITPR	vertebrate_basal		Petromyzon marinus (Sea lamprey)	Metazoa	Chordata	2838	InterPro		absent			0	0.0				404
A0AAN0JIF7	invert_metazoa_Amphimedon_queenslandica_Sponge_A0AAN0JIF7	uniprot	ITPR	invert_metazoa		Amphimedon queenslandica (Sponge)	Metazoa	Porifera	2766	InterPro		absent			0	0.0				404
A0AAN9BAK1	invert_metazoa_Littorina_saxatilis_A0AAN9BAK1	uniprot	ITPR	invert_metazoa		Littorina saxatilis	Metazoa	Mollusca	2744	InterPro		absent			0	0.0				404
A0AAX7UHL1	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	uniprot	ITPR	ITPR2	ITPR2	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	Metazoa	Chordata	2701	InterPro		absent			0	0.0				404
A0AB32U288	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	uniprot	ITPR	ITPR1	ITPR1	Danio rerio (Zebrafish) (Brachydanio rerio)	Metazoa	Chordata	2716	InterPro		absent			0	0.0				404
A0AB34K5R9	protist_Prymnesium_parvum_Toxic_golden_alga_A0AB34K5R9	uniprot	ITPR	protist		Prymnesium parvum (Toxic golden alga)		Haptophyta	2629	InterPro		absent			0	0.0				404
A0ABM1LG32	ITPR2_Gekko_japonicus_Schlegel_s_Japanese_ge_A0ABM1LG32	uniprot	ITPR	ITPR2	ITPR2	Gekko japonicus (Schlegel's Japanese gecko)	Metazoa	Chordata	2701	InterPro		absent			0	0.0				404
A0ABM1SEU6	invert_metazoa_Limulus_polyphemus_Atlantic_horseshoe__A0ABM1SEU6	uniprot	ITPR	invert_metazoa		Limulus polyphemus (Atlantic horseshoe crab)	Metazoa	Arthropoda	2790	InterPro		absent			0	0.0				404
A0ABM4F3U0	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	uniprot	ITPR	ITPR1	ITPR1	Apteryx mantelli (North Island brown kiwi)	Metazoa	Chordata	2750	InterPro		absent			0	0.0				404
A0ABQ8UZM6	protist_Paratrimastix_pyriformis_A0ABQ8UZM6	uniprot	ITPR	protist		Paratrimastix pyriformis		Preaxostyla	2857	InterPro		absent			0	0.0				404
