group	accession	species	taxon_id	gene	length	itpr_score	itpr_coverage	rel_margin	n_qualifying	runner_up	runner_up_score	rule
metazoa_nonvert	A0AAV1LM52	Parnassius mnemosyne	213953	PARMNEM_LOCUS14880	4718	4762.4	0.909	0.8629	617	A0A913ZRM3	4068.1	highest itpr.hmm bit score with coverage >= 0.5
fungi	A0ABR2W6A1	Basidiobolus ranarum	34480	K7432_003395	2502	2077.4	0.969	0.7987	28	A0A1Y1XHY3	1889.0	highest itpr.hmm bit score with coverage >= 0.5
viridiplantae	A0AAE0LDZ1	Cymbomonas tetramitiformis	36881	CYMTET_10314	3375	1943.2	0.975	0.921	23	A0AAE0BCU2	1039.4	highest itpr.hmm bit score with coverage >= 0.5
protista_other	A0A0D2UGF9	Capsaspora owczarzaki (strain ATCC 30864)	595528	CAOG_004826	3232	2951.7	0.955	0.8303	466	F2UHE1	2347.1	highest itpr.hmm bit score with coverage >= 0.5
