id	accession	family	clade	paralog	band	slot	species	order	length	arch	reviewed	origin	note
A0A672IUQ7|ITPR1|Salarias_fasciatus	A0A672IUQ7	ITPR	ITPR1	ITPR1	actinopteri	ITPR1@actinopteri	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	Blenniiformes	2748	5	0	s5_addition	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A8M2BDG0|itpr1a|Danio_rerio|ITPR1	A0A8M2BDG0	ITPR	ITPR1	ITPR1	actinopteri	ITPR1@actinopteri	Danio rerio	Cypriniformes	2711	5/5	0	s3_seed	zebrafish itpr1a (3R duplicate)
A0A8J0T3U5|itpr1|Xenopus_tropicalis|ITPR1	A0A8J0T3U5	ITPR	ITPR1	ITPR1	amphibia	ITPR1@amphibia	Xenopus tropicalis	Anura	2743	5/5	0	s3_seed	Xenopus tropicalis
A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	A0A8V0ZJT0	ITPR	ITPR1	ITPR1	aves	ITPR1@aves	Gallus gallus	Galliformes	2779	5/5	0	s3_seed	chicken
A0ABM4F3U0|ITPR1|Apteryx_mantelli	A0ABM4F3U0	ITPR	ITPR1	ITPR1	aves	ITPR1@aves	Apteryx mantelli (North Island brown kiwi)	Apterygiformes	2750	5	0	s5_addition	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
P11881|Itpr1|Mus_musculus|ITPR1	P11881	ITPR	ITPR1	ITPR1	mammalia	ITPR1@mammalia	Mus musculus	Rodentia	2749	5/5	1	s3_seed	mouse, Swiss-Prot
Q14643|ITPR1|Homo_sapiens|ITPR1	Q14643	ITPR	ITPR1	ITPR1	mammalia	ITPR1@mammalia	Homo sapiens	Primates	2758	5/5	1	s3_seed	human, Swiss-Prot, the reference
A0A670JBK6|ITPR1|Podarcis_muralis	A0A670JBK6	ITPR	ITPR1	ITPR1	reptilia	ITPR1@reptilia	Podarcis muralis (Wall lizard) (Lacerta muralis)	Squamata	2747	5	0	s5_addition	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
H3A1P5|ITPR1|Latimeria_chalumnae|ITPR1	H3A1P5	ITPR	ITPR1	ITPR1	sarcopterygian_fish	ITPR1@sarcopterygian_fish	Latimeria chalumnae	Coelacanthiformes	2725	5/5	0	s3_seed	coelacanth — the sarcopterygian outgroup
A0A8M9PQQ3|itpr2|Danio_rerio|ITPR2	A0A8M9PQQ3	ITPR	ITPR2	ITPR2	actinopteri	ITPR2@actinopteri	Danio rerio	Cypriniformes	2665	5/5	0	s3_seed	zebrafish
A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	A0AAX7UHL1	ITPR	ITPR2	ITPR2	actinopteri	ITPR2@actinopteri	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	Cichliformes	2701	5	0	s5_addition	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
