accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name
A0A091P7I4	unassigned	none	module	ryr.hmm matched only 108 profile positions (< 200) — a shared module, not a family assignment	130.3	256.2	125.9	0.4914	2.4e-35	1.6e-73	1.6e-73	0.041	0.022	110	108	1.0	108	Ryr2_0	Haliaeetus albicilla	8969	0	RYR2 protein (Fragment)
A0A218U8D8	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	45.6	151.0	105.4	0.698	7.9e-10	7.8e-42	7.8e-42	0.023	0.013	62	64	0.85	133	RYR1	Lonchura striata	40157	0	Ryanodine receptor 1 (Fragment)
A0A218U8Z0	unassigned	none	module	ryr.hmm matched only 143 profile positions (< 200) — a shared module, not a family assignment	0.0	169.0	169.0	1.0		2.9e-47	2.9e-47	0.0	0.029	0	143	0.928	152	RYR1_0	Lonchura striata	40157	0	Ryanodine receptor 1 (Fragment)
A0A4Z2E2T4	unassigned	none	module	ryr.hmm matched only 64 profile positions (< 200) — a shared module, not a family assignment	0.0	79.1	79.1	1.0		3.5e-20	3.5e-20	0.0	0.013	0	64	0.956	68	Ryr1_0	Liparis tanakae	230148	0	Ryanodine receptor 1
A0A4Z2E5F0	unassigned	none	module	itpr.hmm matched only 156 profile positions (< 200) — a shared module, not a family assignment	202.1	47.4	154.7	0.7655	5.6e-57	1.3e-10	5.6e-57	0.058	0.017	156	84	0.916	178	ITPR3_0	Liparis tanakae	230148	0	Inositol 1,4,5-trisphosphate receptor type 3
A0A4Z2EB63	unassigned	none	module	ryr.hmm matched only 168 profile positions (< 200) — a shared module, not a family assignment	0.0	213.9	213.9	1.0		9.1e-61	9.1e-61	0.0	0.034	0	168	0.924	211	Ryr1_2	Liparis tanakae	230148	0	Ryanodine receptor 1
A0A4Z2ECK6	unassigned	none	module	ryr.hmm matched only 69 profile positions (< 200) — a shared module, not a family assignment	76.6	152.1	75.5	0.4964	3.7e-19	3.7e-42	3.7e-42	0.026	0.014	70	69	0.986	71	RYR1_0	Liparis tanakae	230148	0	Ryanodine receptor 1
A0A4Z2F403	unassigned	none	module	itpr.hmm matched only 51 profile positions (< 200) — a shared module, not a family assignment	50.7	0.0	50.7	1.0	2.3e-11		2.3e-11	0.019	0.0	51	0	0.836	61	ITPR3_2	Liparis tanakae	230148	0	Inositol 1,4,5-trisphosphate receptor type 3
A0A4Z2FK46	unassigned	none	module	itpr.hmm matched only 148 profile positions (< 200) — a shared module, not a family assignment	282.3	123.8	158.5	0.5615	3.7e-81	1.2e-33	3.7e-81	0.055	0.03	148	148	0.74	231	Itpr1_1	Liparis tanakae	230148	0	Inositol 1,4,5-trisphosphate receptor type 1
A0A4Z2GDY5	unassigned	none	module	ryr.hmm matched only 163 profile positions (< 200) — a shared module, not a family assignment	0.0	199.9	199.9	1.0		1.5e-56	1.5e-56	0.0	0.033	0	163	0.914	175	RYR1_3	Liparis tanakae	230148	0	Ryanodine receptor 1
A0A4Z2H780	unassigned	none	module	ryr.hmm matched only 148 profile positions (< 200) — a shared module, not a family assignment	175.7	352.6	176.9	0.5017	4.8e-49	1.5e-102	1.5e-102	0.053	0.03	142	148	0.993	151	RYR3_13	Liparis tanakae	230148	0	Ryanodine receptor 3
A0A4Z2HAA0	unassigned	none	module	ryr.hmm matched only 79 profile positions (< 200) — a shared module, not a family assignment	0.0	104.4	104.4	1.0		8.4e-28	8.4e-28	0.0	0.016	0	79	0.595	131	Ryr2_4	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2HAH6	unassigned	none	module	ryr.hmm matched only 113 profile positions (< 200) — a shared module, not a family assignment	43.7	181.0	137.3	0.7586	3.1e-09	7.1e-51	7.1e-51	0.029	0.023	78	113	0.957	115	Ryr2_3	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2HAM6	unassigned	none	module	ryr.hmm matched only 168 profile positions (< 200) — a shared module, not a family assignment	150.8	366.4	215.6	0.5884	1.6e-41	1e-106	1e-106	0.064	0.034	172	168	0.929	182	RYR2_3	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2HAN7	unassigned	none	module	ryr.hmm matched only 118 profile positions (< 200) — a shared module, not a family assignment	0.0	94.5	94.5	1.0		8.1e-25	8.1e-25	0.0	0.024	0	118	1.0	119	RYR2_10	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2HB25	unassigned	none	module	ryr.hmm matched only 173 profile positions (< 200) — a shared module, not a family assignment	0.0	205.7	205.7	1.0		2.6e-58	2.6e-58	0.0	0.035	0	173	0.97	168	RYR2_4	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2HCT3	unassigned	none	module	ryr.hmm matched only 94 profile positions (< 200) — a shared module, not a family assignment	0.0	129.3	129.3	1.0		2.8e-35	2.8e-35	0.0	0.019	0	94	0.841	107	RYR2_0	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2HVN1	unassigned	none	module	itpr.hmm matched only 83 profile positions (< 200) — a shared module, not a family assignment	110.1	0.0	110.1	1.0	2.9e-29		2.9e-29	0.031	0.0	83	0	0.796	103	ITPR1_0	Liparis tanakae	230148	0	Inositol 1,4,5-trisphosphate receptor type 1
A0A4Z2HVN3	unassigned	none	module	ryr.hmm matched only 123 profile positions (< 200) — a shared module, not a family assignment	40.8	174.3	133.5	0.7659	2.3e-08	7.2e-49	7.2e-49	0.025	0.025	67	123	0.702	178	Ryr2_2	Liparis tanakae	230148	0	Ryanodine receptor 2
A0A4Z2ITM6	unassigned	none	module	itpr.hmm matched only 118 profile positions (< 200) — a shared module, not a family assignment	151.3	0.0	151.3	1.0	1.2e-41		1.2e-41	0.044	0.0	118	0	0.876	137	ITPR1_1	Liparis tanakae	230148	0	Inositol 1,4,5-trisphosphate receptor type 1
A0A4Z2JA65	unassigned	none	module	ryr.hmm matched only 104 profile positions (< 200) — a shared module, not a family assignment	0.0	104.6	104.6	1.0		7.5e-28	7.5e-28	0.0	0.021	0	104	0.815	130	RYR3_0	Liparis tanakae	230148	0	Ryanodine receptor 3
A0A4Z2JAJ6	unassigned	none	module	ryr.hmm matched only 158 profile positions (< 200) — a shared module, not a family assignment	0.0	169.8	169.8	1.0		1.7e-47	1.7e-47	0.0	0.032	0	158	0.692	221	Ryr3_1	Liparis tanakae	230148	0	Ryanodine receptor 3
A0A4Z2JB66	unassigned	none	module	ryr.hmm matched only 133 profile positions (< 200) — a shared module, not a family assignment	0.0	151.1	151.1	1.0		7.3e-42	7.3e-42	0.0	0.027	0	133	0.887	151	RYR3_14	Liparis tanakae	230148	0	Ryanodine receptor 3
