paralog	run	initial_omega	lnL	np	lnL_null	below_null	is_best	foreground_omega	fg_omega2	prop_fg	at_bound
ITPR1	bs_alt_ITPR1_w0.5	0.5	-189199	116	-189202	0	1	0.03451;1.00000;5.52937;5.52937	5.52937	0.1102	0
ITPR1	bs_alt_ITPR1_w1.5	1.5	-189199	116	-189202	0	0	0.03451;1.00000;5.53160;5.53160	5.5316	0.11021	0
ITPR1	bs_alt_ITPR1_w2.5	2.5	-189199	116	-189202	0	0	0.03451;1.00000;5.53559;5.53559	5.53559	0.11021	0
ITPR1	bs_alt_ITPR1_w4	4	-189208	116	-189202	1	0	0.03446;1.00000;134.50535;134.50535	134.505	0.01487	0
ITPR2	bs_alt_ITPR2_w0.5	0.5	-189181	116	-189172	1	0	0.03470;1.00000;933.12018;933.12018	933.12	1	0
ITPR2	bs_alt_ITPR2_w1.5	1.5	-189156	116	-189172	0	1	0.03473;1.00000;999.00000;999.00000	999	0.14149	1
ITPR2	bs_alt_ITPR2_w2.5	2.5	-189156	116	-189172	0	0	0.03473;1.00000;162.42729;162.42729	162.427	0.14138	0
ITPR2	bs_alt_ITPR2_w4	4	-189156	116	-189172	0	0	0.03473;1.00000;999.00000;999.00000	999	0.14149	1
ITPR3	bs_alt_ITPR3_w0.5	0.5	-189025	116	-189061	0	1	0.03502;1.00000;999.00000;999.00000	999	0.278	1
ITPR3	bs_alt_ITPR3_w1.5	1.5	-189085	116	-189061	1	0	0.03486;1.00000;999.00000;999.00000	999	1	1
ITPR3	bs_alt_ITPR3_w2.5	2.5	-189025	116	-189061	0	0	0.03502;1.00000;999.00000;999.00000	999	0.278	1
ITPR3	bs_alt_ITPR3_w4	4	-189025	116	-189061	0	0	0.03502;1.00000;999.00000;999.00000	999	0.278	1
