label	accession	organism	vclass	vorder	cell	locus_idx	status	window	n_flanks	scanned_up	scanned_down	n_informative	n_root_keys	in_matrix	keys_relaxed
Cathartes_aura|GCA_000699945.1|ITPR2.0	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	ITPR2	0	fragment	fixed10	0	0	0	0	0	1	
Cathartes_aura|GCA_000699945.1|ITPR3.0	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	ITPR3	0	found_annotated	fixed10	0	0	0	0	0	1	
Cathartes_aura|GCA_000699945.1|RYR.0	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	0	assembly_gap	fixed10	0	0	0	0	0	1	
Cathartes_aura|GCA_000699945.1|RYR.1	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	1	assembly_gap	fixed10	0	0	0	0	0	0	
Cathartes_aura|GCA_000699945.1|RYR.2	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	2	assembly_gap	fixed10	0	0	0	0	0	0	
Cathartes_aura|GCA_000699945.1|RYR.3	GCA_000699945.1	Cathartes aura	Aves	Accipitriformes	RYR	3	assembly_gap	fixed10	0	0	0	0	0	0	
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	ITPR1	0	found_unannotated	fixed10	20	10	10	0	0	1	
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	ITPR2	0	found_unannotated	fixed10	20	10	10	0	0	1	
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	0	found_unannotated	fixed10	20	10	10	0	0	0	
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.1	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	1	found_unannotated	fixed10	20	10	10	0	0	1	
Cervus_elaphus_hippelaphus|GCA_002197005.1|RYR.2	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	Artiodactyla	RYR	2	found_unannotated	fixed10	20	10	10	0	0	0	
Limosa_lapponica_baueri|GCA_002844005.1|ITPR3.0	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	ITPR3	0	found_annotated	fixed10	1	1	0	0	0	1	
Limosa_lapponica_baueri|GCA_002844005.1|RYR.0	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	0	found_unannotated	fixed10	20	10	10	0	0	1	
Limosa_lapponica_baueri|GCA_002844005.1|RYR.1	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	1	found_unannotated	fixed10	20	10	10	0	0	0	
Bambusicola_thoracicus|GCA_002909625.1|ITPR1.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	0	assembly_gap	fixed10	0	0	0	0	0	1	
Bambusicola_thoracicus|GCA_002909625.1|ITPR1.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	1	assembly_gap	fixed10	0	0	0	0	0	0	
Bambusicola_thoracicus|GCA_002909625.1|ITPR2.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	0	assembly_gap	fixed10	0	0	0	0	0	1	
Bambusicola_thoracicus|GCA_002909625.1|ITPR2.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	1	assembly_gap	fixed10	0	0	0	0	0	0	
Bambusicola_thoracicus|GCA_002909625.1|ITPR3.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	0	assembly_gap	fixed10	0	0	0	0	0	1	
Bambusicola_thoracicus|GCA_002909625.1|ITPR3.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	1	assembly_gap	fixed10	1	0	1	0	0	0	
Bambusicola_thoracicus|GCA_002909625.1|RYR.0	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	0	assembly_gap	fixed10	0	0	0	0	0	0	
Bambusicola_thoracicus|GCA_002909625.1|RYR.1	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	1	assembly_gap	fixed10	0	0	0	0	0	0	
Bambusicola_thoracicus|GCA_002909625.1|RYR.2	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	2	assembly_gap	fixed10	0	0	0	0	0	1	
Bambusicola_thoracicus|GCA_002909625.1|RYR.3	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	3	assembly_gap	fixed10	0	0	0	0	0	0	
Alca_torda|GCA_008658365.1|ITPR1.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR1	0	found_annotated	fixed10	20	10	10	17	17	1	ARL8B;BHLHE40;CAV3;CHL1;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
Alca_torda|GCA_008658365.1|ITPR2.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR2	0	found_annotated	fixed10	20	10	10	17	17	1	BHLHE41;BMAL2;CYB5R3;DNAI7;ETFRF1;FGFR1OP2;GYS2;INTS13;LDHB;MED21;PPFIBP1;RASSF8;REP15;SPX;SSPN;STK38L;TM7SF3
Alca_torda|GCA_008658365.1|ITPR3.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	ITPR3	0	found_annotated	fixed10	20	10	10	12	12	1	APOBEC2;BAK1;GRM4;HMGA1;IP6K3;LEMD2;MLN;NFYA;NUDT3;OARD1;PACSIN1;SMIM29
Alca_torda|GCA_008658365.1|RYR.0	GCA_008658365.1	Alca torda	Aves	Charadriiformes	RYR	0	found_annotated	fixed10	20	10	10	20	20	1	ACTN2;CHRM3;EDARADD;ERO1B;EXO1;FMN2;GNG4;GPR137B;GREM2;HEATR1;LGALS8;LYST;MAP1LC3C;MTR;NID1;OPN3;PIGM;PLD5;RGS7;WDR64
Alca_torda|GCA_008658365.1|RYR.1	GCA_008658365.1	Alca torda	Aves	Charadriiformes	RYR	1	found_annotated	fixed10	20	10	10	19	19	0	ARHGAP11A;AVEN;CDIN1;CHRM5;DPH6;EIF2AK4;EMC7;FAM98B;FMN1;FSIP1;GPR176;GREM1;KATNBL1;MEIS2;RASGRP1;SCG5;SPRED1;SRP14;THBS1
Bucorvus_abyssinicus|GCA_009769605.1|ITPR1.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR1	0	found_annotated	fixed10	20	10	10	18	17	1	ARL8B;BHLHE40;CAV3;CHL1;CNTN4;CNTN6;CRBN;EDEM1;GRM7;IL5RA;LMCD1;LRRN1;OXTR;RAD18;SRGAP3;SSUH2;SUMF1;TRNT1
Bucorvus_abyssinicus|GCA_009769605.1|ITPR2.0	GCA_009769605.1	Bucorvus abyssinicus	Aves	Bucerotiformes	ITPR2	0	found_annotated	fixed10	19	10	9	16	16	1	BHLHE41;CCDC22;FGFR1OP2;GABARAPL1;INTS13;KRAS;LMNTD1;MRPL51;RASSF8;SCNN1A;SSPN;STYK1;SYCE3;TMEM52B;VAMP1;YBX3
