cov_bar	cell	n_loci	n_genomes	n_exons_median	n_exons_p10	n_exons_p90	cds_bp_median	is_operating_point
0.5	ITPR1	268	189	58	57	62	8250	0
0.5	ITPR2	192	186	57	56	57	8100	0
0.5	ITPR3	192	187	58	56	60	8007	0
0.5	RYR	741	189	104	101	106	14910	0
0.7	ITPR1	267	188	58	57.6	62	8250	0
0.7	ITPR2	191	185	57	56	57	8100	0
0.7	ITPR3	190	185	58	56	60	8007	0
0.7	RYR	739	189	104	101	106	14910	0
0.8	ITPR1	267	188	58	57.6	62	8250	0
0.8	ITPR2	191	185	57	56	57	8100	0
0.8	ITPR3	189	184	58	56	60	8007	0
0.8	RYR	736	189	104	101	106	14910	0
0.9	ITPR1	267	188	58	57.6	62	8250	1
0.9	ITPR2	190	184	57	56	57	8100	1
0.9	ITPR3	187	183	58	57	60	8008	1
0.9	RYR	734	189	104	101	106	14910	1
0.95	ITPR1	267	188	58	57.6	62	8250	0
0.95	ITPR2	190	184	57	56	57	8100	0
0.95	ITPR3	186	183	58	57	60	8009	0
0.95	RYR	731	189	104	101	106	14910	0
0.98	ITPR1	265	186	58	58	62	8250	0
0.98	ITPR2	190	184	57	56	57	8100	0
0.98	ITPR3	184	182	58	57	60	8010	0
0.98	RYR	728	189	104	101	106	14910	0
