accession	organism	vclass	window_a	window_b	n_mapped_a	n_mapped_b	n_links
GCA_008658365.1	Alca torda	Aves	ctrl0	ctrl1	17	15	0
GCA_008658365.1	Alca torda	Aves	ctrl0	ctrl2	17	17	0
GCA_008658365.1	Alca torda	Aves	ctrl0	ctrl3	17	15	0
GCA_008658365.1	Alca torda	Aves	ctrl1	ctrl2	15	17	0
GCA_008658365.1	Alca torda	Aves	ctrl1	ctrl3	15	15	0
GCA_008658365.1	Alca torda	Aves	ctrl2	ctrl3	17	15	1
GCA_009769605.1	Bucorvus abyssinicus	Aves	ctrl0	ctrl1	20	20	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ctrl0	ctrl2	20	14	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ctrl0	ctrl3	20	20	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ctrl1	ctrl2	20	14	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ctrl1	ctrl3	20	20	0
GCA_009769605.1	Bucorvus abyssinicus	Aves	ctrl2	ctrl3	14	20	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ctrl0	ctrl1	20	14	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ctrl0	ctrl2	20	17	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ctrl0	ctrl3	20	16	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ctrl1	ctrl2	14	17	1
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ctrl1	ctrl3	14	16	0
GCA_009819775.1	Phoenicopterus ruber ruber	Aves	ctrl2	ctrl3	17	16	0
GCA_013390065.1	Chloropsis hardwickii	Aves	ctrl0	ctrl1	17	15	0
GCA_013390065.1	Chloropsis hardwickii	Aves	ctrl0	ctrl2	17	19	0
GCA_013390065.1	Chloropsis hardwickii	Aves	ctrl0	ctrl3	17	19	0
GCA_013390065.1	Chloropsis hardwickii	Aves	ctrl1	ctrl2	15	19	0
GCA_013390065.1	Chloropsis hardwickii	Aves	ctrl1	ctrl3	15	19	0
GCA_013390065.1	Chloropsis hardwickii	Aves	ctrl2	ctrl3	19	19	0
GCA_013396355.1	Menura novaehollandiae	Aves	ctrl0	ctrl1	11	20	0
GCA_013396355.1	Menura novaehollandiae	Aves	ctrl0	ctrl2	11	12	0
GCA_013396355.1	Menura novaehollandiae	Aves	ctrl0	ctrl3	11	16	0
GCA_013396355.1	Menura novaehollandiae	Aves	ctrl1	ctrl2	20	12	0
GCA_013396355.1	Menura novaehollandiae	Aves	ctrl1	ctrl3	20	16	0
GCA_013396355.1	Menura novaehollandiae	Aves	ctrl2	ctrl3	12	16	0
GCA_013397015.1	Myiagra hebetior	Aves	ctrl0	ctrl1	13	9	0
GCA_013397015.1	Myiagra hebetior	Aves	ctrl0	ctrl2	13	17	0
GCA_013397015.1	Myiagra hebetior	Aves	ctrl0	ctrl3	13	14	0
GCA_013397015.1	Myiagra hebetior	Aves	ctrl1	ctrl2	9	17	0
GCA_013397015.1	Myiagra hebetior	Aves	ctrl1	ctrl3	9	14	0
GCA_013397015.1	Myiagra hebetior	Aves	ctrl2	ctrl3	17	14	0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ctrl0	ctrl1	18	18	0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ctrl0	ctrl2	18	18	1
GCA_013397245.1	Thryothorus ludovicianus	Aves	ctrl0	ctrl3	18	17	0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ctrl1	ctrl2	18	18	0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ctrl1	ctrl3	18	17	0
GCA_013397245.1	Thryothorus ludovicianus	Aves	ctrl2	ctrl3	18	17	0
GCA_013397395.1	Sinosuthora webbiana	Aves	ctrl0	ctrl1	17	17	0
GCA_013397395.1	Sinosuthora webbiana	Aves	ctrl0	ctrl2	17	19	0
GCA_013397395.1	Sinosuthora webbiana	Aves	ctrl0	ctrl3	17	13	0
GCA_013397395.1	Sinosuthora webbiana	Aves	ctrl1	ctrl2	17	19	0
GCA_013397395.1	Sinosuthora webbiana	Aves	ctrl1	ctrl3	17	13	0
GCA_013397395.1	Sinosuthora webbiana	Aves	ctrl2	ctrl3	19	13	0
