upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000002195	Dictyostelium discoideum (Social amoeba)	44689	12726	protista_other			swept
UP000000542	Leishmania major	5664	8039	protista_other			swept
UP000000600	Paramecium tetraurelia	5888	39350	protista_other			swept
UP000000759	Phaeodactylum tricornutum (strain CCAP 1055/1)	556484	10465	protista_other			swept
UP000001064	Dictyostelium purpureum (Slime mold)	5786	12347	protista_other			swept
UP000001357	Monosiga brevicollis (Choanoflagellate)	81824	9156	protista_other			swept
UP000001396	Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Cellular slime mold) (Polysphondylium pallidum)	670386	12351	protista_other			swept
UP000001449	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	35128	11753	protista_other			swept
UP000001450	Plasmodium falciparum (isolate 3D7)	36329	5361	protista_other			swept
UP000001460	Cryptosporidium muris (strain RN66)	441375	3930	protista_other			swept
UP000001529	Toxoplasma gondii (strain ATCC 50611 / Me49)	508771	8307	protista_other			swept
UP000001926	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	294381	7967	protista_other			swept
UP000001949	Theileria parva (East coast fever infection agent)	5875	2788	protista_other			swept
UP000001950	Theileria annulata	5874	3790	protista_other			swept
UP000002226	Toxoplasma gondii (strain ATCC 50861 / VEG)	432359	8404	protista_other			swept
UP000002296	Trypanosoma cruzi (strain CL Brener)	353153	19242	protista_other			swept
UP000002640	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	1094619	25721	protista_other			swept
UP000002729	Aureococcus anophagefferens (Harmful bloom alga)	44056	11501	protista_other			swept
UP000002899	Babesia microti (strain RI)	1133968	3595	protista_other			swept
UP000003786	Theileria orientalis strain Shintoku	869250	3996	protista_other			swept
UP000005238	Phytophthora ramorum (Sudden oak death agent)	164328	15350	protista_other			swept
UP000006319	Plasmodium cynomolgi (strain B)	1120755	5713	protista_other			swept
UP000006643	Phytophthora infestans (strain T30-4) (Potato late blight agent)	403677	17610	protista_other			swept
UP000006671	Naegleria gruberi (Amoeba)	5762	15636	protista_other			swept
UP000007014	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	280699	5029	protista_other			swept
UP000007258	Leishmania braziliensis	5660	8084	protista_other			swept
UP000007259	Leishmania mexicana (strain MHOM/GT/2001/U1103)	929439	8044	protista_other			swept
UP000007350	Trypanosoma cruzi marinkellei	85056	10052	protista_other			swept
UP000007494	Neospora caninum (strain Liverpool)	572307	6933	protista_other			swept
UP000007797	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	261658	12152	protista_other			swept
UP000007799	Salpingoeca rosetta (Choanoflagellate)	946362	11698	protista_other			swept
UP000007800	Perkinsus marinus (strain ATCC 50983 / TXsc)	423536	23114	protista_other			swept
UP000008076	Entamoeba dispar (strain ATCC PRA-260 / SAW760)	370354	8606	protista_other			swept
UP000008153	Leishmania infantum	5671	8045	protista_other			swept
UP000008312	Blastocystis hominis	12968	5820	protista_other			swept
