paralog	n_residues	rho_distance_vs_jsd	p_distance_vs_jsd	rho_distance_vs_frac_modal	p_distance_vs_frac_modal	direction
ITPR1	125	-0.1753	0.050504	-0.025	0.782064	constraint falls with distance
ITPR2	125	-0.4363	3.64341e-07	-0.4711	2.94599e-08	constraint falls with distance
ITPR3	125	-0.1683	0.060708	-0.0278	0.758532	constraint falls with distance
