accession	organism	group	phylum	called	identity	coverage	grade	evidence	annot_gene	bait	band	status
GCA_001661475.1	Tortispora caseinolytica NRRL Y-17796	fungi	Ascomycota	0	0.2301	0.1992	scrap	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	no_locus
GCA_001661475.1	Tortispora caseinolytica NRRL Y-17796	fungi	Ascomycota	0	0.1944	0.113	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	no_locus
GCF_000001215.4	Drosophila melanogaster	metazoa	Arthropoda	1	1.0	1.0	full	confirmed	Itpr	P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	Arthropoda	found_annotated
GCF_000001215.4	Drosophila melanogaster	metazoa	Arthropoda	0	0.244	0.3966	fragment	contradicted	Myo81F	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000001215.4	Drosophila melanogaster	metazoa	Arthropoda	0	0.2173	0.2641	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	1	1.0	1.0	full	unnamed	LOC594527	A0A7M7MY00|unnamed|Strongylocentrotus_purpuratus|Echinodermata|ITPR	Echinodermata	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	1	0.2978	0.1656	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	1	0.2942	0.1668	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	1	0.2649	0.1643	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	1	0.2824	0.1662	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	0	0.2301	0.4356	fragment	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	0	0.2127	0.1684	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	0	0.2187	0.1228	scrap	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	0	0.2407	0.1083	scrap	unnamed	LOC583678	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002235.5	Strongylocentrotus purpuratus	metazoa	Echinodermata	0	0.1932	0.6638	fragment	no_annotation		Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	1	0.9997	1.0	full	unnamed	CHLRE_16g665450v5	A0A2K3CTW4|CHLRE_16g665450v5|Chlamydomonas_reinhardtii|Chlorophyta|ITPR	Chlorophyta	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	1	0.2841	0.2811	scrap	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	1	0.2767	0.2578	scrap	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	1	0.2777	0.2718	scrap	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	1	0.2511	0.2461	scrap	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	1	0.2857	0.103	scrap	no_annotation		A0A267FK94|BOX15_Mlig001931g6|Macrostomum_lignano|Platyhelminthes|ITPR	Platyhelminthes	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	0	0.2463	0.506	fragment	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	found_annotated
GCF_000002595.2	Chlamydomonas reinhardtii	viridiplantae	Chlorophyta	0	0.2483	0.2563	scrap	no_annotation		L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	found_annotated
GCF_000002985.6	Caenorhabditis elegans	metazoa	Nematoda	1	1.0	1.0	full	confirmed	itr-1	Q9Y0A1|itr-1|Caenorhabditis_elegans|Nematoda|ITPR	Nematoda	found_annotated
