paralog	core_definition	pore_definition	tip	lost_on	core_coverage	pore_coverage
ITPR1	contact_span	channel_minus_luminal	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1	channel_minus_luminal	0.9967	0.0154
ITPR1	contact_span	channel_minus_luminal	ITPR1|Psilopogon_haemacephalus|GCA_013396835.1	channel_minus_luminal	1.0	0.0
ITPR1	contact_span	channel_minus_luminal	ITPR1|Certhia_familiaris|GCA_013398575.1	channel_minus_luminal	0.9967	0.0
ITPR2	contact_span	channel_minus_luminal	ITPR2|Aquarana_catesbeiana|GCF_042186555.1	contact_span	0.0	1.0
ITPR2	contact_span	channel_minus_luminal	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	contact_span	0.3344	0.5397
ITPR3	contact_span	channel_minus_luminal	ITPR3|Podiceps_cristatus|GCA_000699545.1	contact_span	0.3289	1.0
ITPR3	contact_span	channel_minus_luminal	ITPR3|Aquarana_catesbeiana|GCF_042186555.1	contact_span	0.0	1.0
ITPR1	ibc_literature	channel_minus_luminal	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1	channel_minus_luminal	0.9974	0.0154
ITPR1	ibc_literature	channel_minus_luminal	ITPR1|Psilopogon_haemacephalus|GCA_013396835.1	channel_minus_luminal	1.0	0.0
ITPR1	ibc_literature	channel_minus_luminal	ITPR1|Certhia_familiaris|GCA_013398575.1	channel_minus_luminal	0.9974	0.0
ITPR2	ibc_literature	channel_minus_luminal	ITPR2|Aquarana_catesbeiana|GCF_042186555.1	ibc_literature	0.0	1.0
ITPR2	ibc_literature	channel_minus_luminal	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	ibc_literature	0.2677	0.5397
ITPR3	ibc_literature	channel_minus_luminal	ITPR3|Podiceps_cristatus|GCA_000699545.1	ibc_literature	0.3553	1.0
ITPR3	ibc_literature	channel_minus_luminal	ITPR3|Aquarana_catesbeiana|GCF_042186555.1	ibc_literature	0.0	1.0
ITPR1	contact_span	channel_all	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1	channel_all	0.9967	0.0122
ITPR1	contact_span	channel_all	ITPR1|Psilopogon_haemacephalus|GCA_013396835.1	channel_all	1.0	0.0
ITPR1	contact_span	channel_all	ITPR1|Certhia_familiaris|GCA_013398575.1	channel_all	0.9967	0.0
ITPR2	contact_span	channel_all	ITPR2|Aquarana_catesbeiana|GCF_042186555.1	contact_span	0.0	0.9617
ITPR2	contact_span	channel_all	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	contact_span	0.3344	0.4495
ITPR3	contact_span	channel_all	ITPR3|Podiceps_cristatus|GCA_000699545.1	contact_span	0.3289	0.9861
ITPR3	contact_span	channel_all	ITPR3|Aquarana_catesbeiana|GCF_042186555.1	contact_span	0.0	0.9583
ITPR1	ibc_literature	channel_all	ITPR1|Ptilorrhoa_leucosticta|GCA_013396485.1	channel_all	0.9974	0.0122
ITPR1	ibc_literature	channel_all	ITPR1|Psilopogon_haemacephalus|GCA_013396835.1	channel_all	1.0	0.0
ITPR1	ibc_literature	channel_all	ITPR1|Certhia_familiaris|GCA_013398575.1	channel_all	0.9974	0.0
ITPR2	ibc_literature	channel_all	ITPR2|Aquarana_catesbeiana|GCF_042186555.1	ibc_literature	0.0	0.9617
ITPR2	ibc_literature	channel_all	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401RNU3	ibc_literature	0.2677	0.4495
ITPR3	ibc_literature	channel_all	ITPR3|Podiceps_cristatus|GCA_000699545.1	ibc_literature	0.3553	0.9861
ITPR3	ibc_literature	channel_all	ITPR3|Aquarana_catesbeiana|GCF_042186555.1	ibc_literature	0.0	0.9583
