accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams
A0A091KSB7	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 300.0 bits (100.0% of 300.0) over 204 profile positions; no ryr.hmm hit	profile		ITPR	medium	300.0	0.0	1.0	sweep	HMM	N325_09998	Inositol 1,4,5-trisphosphate receptor (Fragment)	Colius striatus	57412	Vertebrata	Metazoa	Chordata				210			0						
A0A091NMI7	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 326.9 bits (100.0% of 326.9) over 204 profile positions; no ryr.hmm hit	profile		ITPR	medium	326.9	0.0	1.0	sweep	HMM	N311_11994	Inositol 1,4,5-trisphosphate receptor (Fragment)	Apaloderma vittatum	57397	Vertebrata	Metazoa	Chordata				209			0						
A0A0Q3U136	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 572.0 bits (71.8% of 796.3) over 446 profile positions	profile		ITPR	medium	796.3	224.3	0.7183	sweep	HMM	AAES_19376	Ion transport domain-containing protein	Amazona aestiva	12930	Vertebrata	Metazoa	Chordata				526			0						
A0A0Q3WTX6	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 269.5 bits (59.7% of 451.2) over 228 profile positions	profile		ITPR	medium	451.2	181.7	0.5973	sweep	HMM	AAES_32134	Ion transport domain-containing protein	Amazona aestiva	12930	Vertebrata	Metazoa	Chordata				239			0						
A0A151P760	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 687.2 bits (69.6% of 986.8) over 493 profile positions	profile		RYR	medium	299.6	986.8	0.6964	sweep	HMM	Y1Q_0006979	Ryanodine receptor 1	Alligator mississippiensis	8496	Vertebrata	Metazoa	Chordata				520			0						
A0A1A6GIE1	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 308.3 bits (59.5% of 518.5) over 271 profile positions	profile		ITPR	medium	518.5	210.2	0.5946	sweep	HMM	A6R68_05479	Ion transport domain-containing protein (Fragment)	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				333			0						
A0A1A6GJT1	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 548.1 bits (74.4% of 737.0) over 497 profile positions	profile		ITPR	medium	737.0	188.9	0.7437	sweep	HMM	A6R68_05465	Ion transport domain-containing protein (Fragment)	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				539			0						
A0A1A6GUD7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1323.1 bits (94.3% of 1403.6) over 1006 profile positions	profile		RYR	medium	80.5	1403.6	0.9426	sweep	HMM	A6R68_01673	EF-hand domain-containing protein (Fragment)	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				1032			0						
A0A1A6GUS7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 2082.9 bits (97.4% of 2138.7) over 1573 profile positions	profile		RYR	medium	55.8	2138.7	0.9739	sweep	HMM	A6R68_01533	B30.2/SPRY domain-containing protein (Fragment)	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				1615			0						
A0A1A6GXN0	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 261.8 bits (100.0% of 261.8) over 215 profile positions; no ryr.hmm hit	profile		ITPR	medium	261.8	0.0	1.0	sweep	HMM	A6R68_00366	Uncharacterized protein	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				256			0						
A0A1A6HB72	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 339.0 bits (100.0% of 339.0) over 217 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	339.0	1.0	sweep	HMM	A6R68_18007	B30.2/SPRY domain-containing protein (Fragment)	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				257			0						
A0A1A6HI65	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 334.1 bits (100.0% of 334.1) over 217 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	334.1	1.0	sweep	HMM	A6R68_19648	B30.2/SPRY domain-containing protein (Fragment)	Neotoma lepida	56216	Vertebrata	Metazoa	Chordata				205			0						
A0A1V4J3H1	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 265.2 bits (100.0% of 265.2) over 242 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	265.2	1.0	sweep	HMM	AV530_008333	Ryanodine receptor junctional solenoid domain-containing protein	Patagioenas fasciata monilis	372326	Vertebrata	Metazoa	Chordata				298			0						
A0A212CND9	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 443.2 bits (100.0% of 443.2) over 320 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	443.2	1.0	sweep	HMM	Celaphus_00008168	RYR2 (Fragment)	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				317			0						
A0A212CP88	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 631.3 bits (94.4% of 669.0) over 444 profile positions	profile		RYR	medium	37.7	669.0	0.9436	sweep	HMM	Celaphus_00008169	EF-hand domain-containing protein (Fragment)	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				460			0						
A0A212CPG4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 259.1 bits (100.0% of 259.1) over 202 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	259.1	1.0	sweep	HMM	Celaphus_00008164	B30.2/SPRY domain-containing protein (Fragment)	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				238			0						
A0A212CTD0	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1145.6 bits (81.0% of 1415.1) over 897 profile positions	profile		RYR	medium	269.5	1415.1	0.8096	sweep	HMM	Celaphus_00006402	EF-hand domain-containing protein	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				921			0						
A0A212CUL7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 932.8 bits (100.0% of 932.8) over 651 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	932.8	1.0	sweep	HMM	Celaphus_00006404	Ryanodine receptor Ryr domain-containing protein (Fragment)	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				790			0						
A0A212CV15	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 870.6 bits (100.0% of 870.6) over 601 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	870.6	1.0	sweep	HMM	Celaphus_00006405	B30.2/SPRY domain-containing protein (Fragment)	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				693			0						
A0A212CVN8	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 406.1 bits (100.0% of 406.1) over 227 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	406.1	1.0	sweep	HMM	Celaphus_00006406	B30.2/SPRY domain-containing protein (Fragment)	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				258			0						
A0A212DBT7	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 546.0 bits (72.6% of 752.4) over 375 profile positions	profile		RYR	medium	206.4	752.4	0.7257	sweep	HMM	Celaphus_00004445	RYR1	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				432			0						
A0A212DCV2	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 389.0 bits (91.5% of 425.2) over 266 profile positions	profile		RYR	medium	36.2	425.2	0.9149	sweep	HMM	Celaphus_00004446	RYR1	Cervus elaphus hippelaphus	46360	Vertebrata	Metazoa	Chordata				275			0						
A0A218U836	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 384.8 bits (100.0% of 384.8) over 222 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	384.8	1.0	sweep	HMM	RYR1_1	Ryanodine receptor 1 (Fragment)	Lonchura striata	40157	Vertebrata	Metazoa	Chordata				222			0						
A0A226MMN5	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 364.3 bits (62.8% of 580.5) over 303 profile positions	profile		ITPR	medium	580.5	216.2	0.6276	sweep	HMM	ASZ78_015159	Ion transport domain-containing protein (Fragment)	Callipepla squamata	9009	Vertebrata	Metazoa	Chordata				342			0						
A0A226MMS9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 335.5 bits (100.0% of 335.5) over 228 profile positions; no ryr.hmm hit	profile		ITPR	medium	335.5	0.0	1.0	sweep	HMM	ASZ78_015157	Inositol 1,4,5-trisphosphate receptor (Fragment)	Callipepla squamata	9009	Vertebrata	Metazoa	Chordata				239			0						
A0A226MVB4	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 431.1 bits (61.2% of 704.5) over 311 profile positions	profile		RYR	medium	273.4	704.5	0.6119	sweep	HMM	ASZ78_007393	Ion transport domain-containing protein (Fragment)	Callipepla squamata	9009	Vertebrata	Metazoa	Chordata				315			0						
A0A226MVP1	RYR	medium	profile only — not in the InterPro census; ryr.hmm wins by 1308.7 bits (100.0% of 1308.7) over 902 profile positions; no itpr.hmm hit	profile		RYR	medium	0.0	1308.7	1.0	sweep	HMM	ASZ78_007395	Ryanodine receptor Ryr domain-containing protein	Callipepla squamata	9009	Vertebrata	Metazoa	Chordata				927			0						
A0A226N2M9	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 682.3 bits (76.4% of 893.1) over 499 profile positions	profile		ITPR	medium	893.1	210.8	0.764	sweep	HMM	ASZ78_000997	Ion transport domain-containing protein	Callipepla squamata	9009	Vertebrata	Metazoa	Chordata				567			0						
A0A226NM79	ITPR	medium	profile only — not in the InterPro census; itpr.hmm wins by 647.5 bits (74.0% of 875.6) over 502 profile positions	profile		ITPR	medium	875.6	228.1	0.7395	sweep	HMM	ASZ78_000425	Ion transport domain-containing protein	Callipepla squamata	9009	Vertebrata	Metazoa	Chordata				545			0						
