accession	call	confidence	reason	arch_call	symbol_class	conflict	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	source
A0A016T780	RYR	medium	ryr_pfam=PF06459	RYR		0	Acey_s0128.g1465	EF-hand domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1041	0		0	Predicted	1	PF08454	PF00520;PF06459;PF08454;PF13499	2	PF06459	both
A0A016T816	RYR	medium	ryr_pfam=PF06459	RYR		0	Acey_s0128.g1465	EF-hand domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1031	0		0	Predicted	1	PF08454	PF00520;PF06459;PF08454;PF13499	2	PF06459	both
A0A016U0Q9	RYR	high	ryr_pfam=PF00622+PF02026+PF21119	RYR		0	Acey_s0063.g3426	Ryanodine receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	3941	0		0	Predicted	0	PF01365;PF08709	PF00622;PF01365;PF02026;PF02815;PF08709;PF21119	3	PF00622;PF02026;PF21119	both
A0A016U0R6	unassigned	none	itpr_arch_weak=1/5	unassigned		0	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	385	0		0	Predicted	1	PF08454	PF08454	1		both
A0A016U1N6	unassigned	none	itpr_arch_weak=1/5	unassigned		0	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	398	0		0	Predicted	1	PF08454	PF08454	1		both
A0A016U209	unassigned	none	itpr_arch_weak=1/5	unassigned		0	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	350	0		0	Predicted	1	PF08454	PF08454	1		both
A0A016U2S5	unassigned	none	itpr_arch_weak=1/5	unassigned		0	Acey_s0063.g3428	RyR/IP3R Homology associated domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	337	0		0	Predicted	1	PF08454	PF08454	1		both
A0A016VUT2	unassigned	none	itpr_arch_weak=2/5	unassigned		0	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	818	0		0	Predicted	1	PF08454	PF00520;PF08454	2		both
A0A016VUU4	ITPR	medium	itpr_arch_partial=3/5;length_in_band	ITPR		0	Acey_s0004.g2123	Inositol 1,4,5-trisphosphate receptor	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	2004	1		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		both
A0A016VVC9	unassigned	none	itpr_arch_weak=2/5	unassigned		0	Acey_s0004.g2120	Ion transport domain-containing protein	Ancylostoma ceylanicum	53326	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	803	0		0	Predicted	1	PF08454	PF00520;PF08454	2		both
