label	accession	organism	vclass	cell	window	side	rank	symbol	informative	relaxed_key	root_key	gene_id	biotype	contig	start	end	strand	distance_bp
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	1	Celaphus_00010349	0			gene-Celaphus_00010349	protein_coding	CM008031.1	28273647	28279356	-	143011
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	2	Celaphus_00010348	0			gene-Celaphus_00010348	protein_coding	CM008031.1	28117779	28119956	-	302411
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	3	Celaphus_00010347	0			gene-Celaphus_00010347	protein_coding	CM008031.1	28061745	28089673	-	332694
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	4	Celaphus_00010346	0			gene-Celaphus_00010346	protein_coding	CM008031.1	25278652	25285994	-	3136373
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	5	Celaphus_00010345	0			gene-Celaphus_00010345	protein_coding	CM008031.1	23814510	23826915	-	4595452
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	6	Celaphus_00010344	0			gene-Celaphus_00010344	protein_coding	CM008031.1	23797329	23800387	-	4621980
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	7	Celaphus_00010343	0			gene-Celaphus_00010343	protein_coding	CM008031.1	23715471	23731415	+	4690952
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	8	Celaphus_00010342	0			gene-Celaphus_00010342	protein_coding	CM008031.1	23620373	23629887	+	4792480
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	9	Celaphus_00010341	0			gene-Celaphus_00010341	protein_coding	CM008031.1	23398234	23426147	+	4996220
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	up	10	Celaphus_00010340	0			gene-Celaphus_00010340	protein_coding	CM008031.1	23338022	23376170	+	5046197
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	1	Celaphus_00010351	0			gene-Celaphus_00010351	protein_coding	CM008031.1	28978279	29017099	-	171789
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	2	Celaphus_00010352	0			gene-Celaphus_00010352	protein_coding	CM008031.1	30381281	30386646	+	1574791
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	3	Celaphus_00010353	0			gene-Celaphus_00010353	protein_coding	CM008031.1	30406601	30432576	-	1600111
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	4	Celaphus_00010354	0			gene-Celaphus_00010354	protein_coding	CM008031.1	30487194	30519579	+	1680704
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	5	Celaphus_00010355	0			gene-Celaphus_00010355	protein_coding	CM008031.1	30580803	30605013	-	1774313
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	6	Celaphus_00010356	0			gene-Celaphus_00010356	protein_coding	CM008031.1	30832304	30839687	-	2025814
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	7	Celaphus_00010357	0			gene-Celaphus_00010357	protein_coding	CM008031.1	32091741	32092091	-	3285251
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	8	Celaphus_00010358	0			gene-Celaphus_00010358	protein_coding	CM008031.1	33951413	34003289	-	5144923
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	9	Celaphus_00010359	0			gene-Celaphus_00010359	protein_coding	CM008031.1	35670789	35678822	+	6864299
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR1.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR1	fixed10	down	10	Celaphus_00010360	0			gene-Celaphus_00010360	protein_coding	CM008031.1	36956734	36976610	+	8150244
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	1	Celaphus_00014062	0			gene-Celaphus_00014062	protein_coding	CM008029.1	46441334	46449895	+	112398
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	2	Celaphus_00014061	0			gene-Celaphus_00014061	protein_coding	CM008029.1	46236003	46238929	-	323364
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	3	Celaphus_00014060	0			gene-Celaphus_00014060	protein_coding	CM008029.1	46155529	46160498	+	401795
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	4	Celaphus_00014059	0			gene-Celaphus_00014059	protein_coding	CM008029.1	45356825	45358921	-	1203372
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	5	Celaphus_00014058	0			gene-Celaphus_00014058	protein_coding	CM008029.1	44895496	44896530	+	1665763
Cervus_elaphus_hippelaphus|GCA_002197005.1|ITPR2.0	GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	fixed10	up	6	Celaphus_00014057	0			gene-Celaphus_00014057	protein_coding	CM008029.1	44876152	44891335	-	1670958
