accession	organism	vclass	cell	cell_status	contig	start	end	region_kind	assigned_clade	window	n_genes_on_contig	contig_extent_bp	n_flanks	n_keys	reached	why
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01214836.1	342	3695	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01214836.1	342	3695	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01111266.1	9	5636	rescue_regions	ITPR1	fixed10	1	5204	0	0	0	too_few_keys
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01111266.1	9	5636	rescue_regions	ITPR1	informative10	1	5204	0	0	0	too_few_keys
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL321860.1	291	34205	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL321860.1	291	34205	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL295775.1	563	28330	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL295775.1	563	28330	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01078947.1	447	9477	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01078947.1	447	9477	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01211073.1	976	1664	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01211073.1	976	1664	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01203109.1	308	980	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01203109.1	308	980	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01206199.1	570	767	rescue_regions	ITPR1	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01206199.1	570	767	rescue_regions	ITPR1	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01195676.1	117	320	ambiguous_regions	vertebrate_basal	fixed10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	JMFT01195676.1	117	320	ambiguous_regions	vertebrate_basal	informative10	0	0	0	0	0	no_neighbourhood
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	KL323595.1	12812	24340	attributed_elsewhere	ITPR2	fixed10	2	35568	1	0	0	too_few_keys
