code	label	species	class	census_group	set	route	why
T1_Aptery_mante	ITPR1_Apteryx_mantelli_North_Island_brown_ki_A0ABM4F3U0	Apteryx mantelli (North Island brown kiwi)	Aves	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Bos_tauru	ITPR1_Bos_taurus_Bovine_Q9TU34	Bos taurus (Bovine)	Mammalia	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Chanos_chano	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VJN0	Chanos chanos (Milkfish) (Mugil chanos)	Actinopteri	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Chanos_chano2	ITPR1_Chanos_chanos_Milkfish_Mugil_chanos_A0A6J2VNY7	Chanos chanos (Milkfish) (Mugil chanos)	Actinopteri	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Danio_rerio	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M2BDG0	Danio rerio (Zebrafish) (Brachydanio rerio)	Actinopteri	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Danio_rerio2	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AB32U288	Danio rerio (Zebrafish) (Brachydanio rerio)	Actinopteri	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Danio_rerio3	ITPR1_Danio_rerio_Zebrafish_Brachydanio_reri_A0AC58JVG8	Danio rerio (Zebrafish) (Brachydanio rerio)	Actinopteri	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Gallus_gallu	ITPR1_Gallus_gallus_Chicken_A0A8V0ZJT0	Gallus gallus (Chicken)	Aves	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Homo_sapie	ITPR1_Homo_sapiens_Human_Q14643	Homo sapiens (Human)	Mammalia	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Latime_chalu	ITPR1_Latimeria_chalumnae_Coelacanth_H3A1P5	Latimeria chalumnae (Coelacanth)		ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Mus_muscu	ITPR1_Mus_musculus_Mouse_P11881	Mus musculus (Mouse)	Mammalia	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Podarc_mural	ITPR1_Podarcis_muralis_Wall_lizard_Lacerta_m_A0A670JBK6	Podarcis muralis (Wall lizard) (Lacerta muralis)	Lepidosauria	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Salari_fasci	ITPR1_Salarias_fasciatus_Jewelled_blenny_Ble_A0A672IUQ7	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	Actinopteri	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_Somnio_micro	ITPR1_Somniosus_microcephalus_GCF_052327205.1_ITPR1_147905519	Somniosus microcephalus	Chondrichthyes	ITPR1	ITPR1	miniprot	census label, in the tree's clade
T1_Xenopu_tropi	ITPR1_Xenopus_tropicalis_Western_clawed_frog_A0A8J0T3U5	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Amphibia	ITPR1	ITPR1	uniprot	census label, in the tree's clade
T1_basal_Callo	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3IQL0	Callorhinchus milii (Ghost shark)	Chondrichthyes	vertebrate_basal	ITPR1	uniprot	tree places a vertebrate_basal tip in the ITPR1 clade
T1_basal_Callo2	vertebrate_basal_Callorhinchus_milii_Ghost_shark_A0A4W3JHJ0	Callorhinchus milii (Ghost shark)	Chondrichthyes	vertebrate_basal	ITPR1	uniprot	tree places a vertebrate_basal tip in the ITPR1 clade
T1_basal_Chilo	vertebrate_basal_Chiloscyllium_punctatum_Brownbanded_ba_A0A401SQC9	Chiloscyllium punctatum (Brownbanded bambooshark) (Hemiscyllium punctatum)	Chondrichthyes	vertebrate_basal	ITPR1	uniprot	tree places a vertebrate_basal tip in the ITPR1 clade
T1_basal_Latim	vertebrate_basal_Latimeria_chalumnae_GCF_037176945.1_ITPR1_35775795	Latimeria chalumnae	Coelacanthimorpha	vertebrate_basal	ITPR1	miniprot	tree places a vertebrate_basal tip in the ITPR1 clade
T2_Astato_calli	ITPR2_Astatotilapia_calliptera_Eastern_river_A0AAX7UHL1	Astatotilapia calliptera (Eastern river bream) (Chromis callipterus)	Actinopteri	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Danio_rerio	ITPR2_Danio_rerio_Zebrafish_Brachydanio_reri_A0A8M9PQQ3	Danio rerio (Zebrafish) (Brachydanio rerio)	Actinopteri	ITPR2	ITPR2	uniprot	census label, in the tree's clade
T2_Echino_cooke	ITPR2_Echinorhinus_cookei_GCA_057876775.1_ITPR2_17288896	Echinorhinus cookei	Chondrichthyes	ITPR2	ITPR2	miniprot	census label, in the tree's clade
T2_Gallus_gallu	ITPR2_Gallus_gallus_Chicken_F1P1X4	Gallus gallus (Chicken)	Aves	ITPR2	ITPR2	uniprot	census label, in the tree's clade
