case_id	accession	query_id	gene_id	name	biotype	pseudo	protein_id	product	start	end	strand	n_cds_blocks	protein_aa	internal_stops	best_locus	identity	aln_aa	q_start	q_end	s_start	s_end	evalue	bitscore	subject_aa	q_coverage	s_coverage	runner_up_locus	runner_up_bits	bit_margin	tiles	at_own_locus	naming
case_a	GCA_014281875.1	Mianyu0010391	gene-GBF38_013612	ITPR1.4	protein_coding	0	KAG8007886.1	Inositol 1	23125265	23129085	-	3	120	0	GCA_014281875.1|ITPR1|CM024790.1:23069459-23127860-|sweep	0.9815	54	54	107	1	53	4.13e-33	114.0	2731	0.45	0.0198	GCA_014281875.1|ITPR1|CM024790.1:3836243-3913687+|cov1.00|id0.87|len2749	114.0	0.0	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0009525	gene-GBF38_012862	ITPR1	pseudogene	1		Inositol 1	23063481	23116726	-	55	2727	0	GCA_014281875.1|ITPR1|CM024790.1:23069459-23127860-|sweep	0.8935	2489	147	2498	282	2704	0.0	4383.0	2731	0.9127	0.9114	GCA_014281875.1|ITPR1|CM024790.1:3836243-3913687+|cov1.00|id0.87|len2749	3927.0	0.104	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0021949	gene-GBF38_020338	ITPR2	pseudogene	1		Inositol 1	25693390	25713656	-	51	2521	0	GCA_014281875.1|ITPR3|CM024793.1:25693049-25721341-|cov1.00|id0.88|len2728	0.893	2683	1	2521	56	2691	0.0	4812.0	2728	1.0643	0.9835	GCA_014281875.1|ITPR3|JABGLX010000148.1:3-27451-|cov0.98|id0.87|len2655	4156.0	0.1363	1	1	name_mismatch
case_a	GCA_014281875.1	Mianyu0018798	gene-GBF38_000688	ITPR3.5	protein_coding	0	KAG7999675.1	Inositol 1	147	4382	-	13	511	0	GCA_014281875.1|ITPR3|JABGLX010000148.1:3-27451-|cov0.98|id0.87|len2655	0.5133	376	1	277	1807	2163	6.72e-90	294.0	2655	0.7358	0.1416	GCA_014281875.1|ITPR3|CM024793.1:25693049-25721341-|cov1.00|id0.88|len2728	291.0	0.0102	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0014307	gene-GBF38_012039	RYR3.6	pseudogene	1		Ryanodine receptor 3	23967204	24011233	+	100	4860	0	GCA_014281875.1|RYR|CM024794.1:23955621-24011236+|cov1.00|id0.81|len5068	0.9518	2780	2160	4860	2321	5067	0.0	5405.0	5068	0.572	0.5485	GCA_014281875.1|RYR|CM024807.1:19140926-19188436-|cov1.00|id0.80|len5077	4579.0	0.1528	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0023506	gene-GBF38_002413	RYR2.3	pseudogene	1		Ryanodine receptor 2	8601935	8644408	+	79	3421	0	GCA_014281875.1|RYR|CM024797.1:8601923-8657968+|cov1.00|id0.57|len4979	0.8337	2496	1	2206	5	2456	0.0	4138.0	4979	0.7296	0.5013	GCA_014281875.1|RYR|CM024806.1:1526456-1654991+|cov1.00|id0.88|len4987	2778.0	0.3287	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0023505	gene-GBF38_002412	RYR2.2	protein_coding	0	KAG8000214.1	Ryanodine receptor 2	8645129	8667150	+	15	976	0	GCA_014281875.1|RYR|CM024797.1:8601923-8657968+|cov1.00|id0.57|len4979	0.9781	911	1	909	4031	4930	0.0	1818.0	4979	0.9334	0.183	GCA_014281875.1|RYR|CM024806.1:1526456-1654991+|cov1.00|id0.88|len4987	1169.0	0.357	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0017406	gene-GBF38_022103	RYR3	protein_coding	0	KAG8013637.1	Ryanodine receptor 3	9299502	9306534	-	2	112	0	GCA_014281875.1|RYR|CM024799.1:9216983-9320793-|cov1.00|id0.68|len4900	0.9286	42	71	112	33	74	5.35e-24	87.8	4900	0.375	0.0086	GCA_014281875.1|RYR|CM024802.1:15520434-15617299+|cov1.00|id0.66|len4889	84.0	0.0433	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0017408	gene-GBF38_022104	RYR3.3	pseudogene	1		Ryanodine receptor 3	9223329	9263571	-	55	2488	0	GCA_014281875.1|RYR|CM024799.1:9216983-9320793-|cov1.00|id0.68|len4900	0.9074	2593	1	2443	1675	4256	0.0	4718.0	4900	1.0422	0.5292	GCA_014281875.1|RYR|CM024802.1:15520434-15617299+|cov1.00|id0.66|len4889	3793.0	0.1961	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0008993	gene-GBF38_006181	RYR3.5	pseudogene	1		Ryanodine receptor 3	15535808	15617296	+	105	4784	0	GCA_014281875.1|RYR|CM024802.1:15520434-15617299+|cov1.00|id0.66|len4889	0.9293	4949	1	4784	17	4888	0.0	9366.0	4889	1.0345	1.0123	GCA_014281875.1|RYR|CM024799.1:9216983-9320793-|cov1.00|id0.68|len4900	7670.0	0.1811	1	1	name_matches_sequence
case_a	GCA_014281875.1	Mianyu0007165	gene-GBF38_019800	RYR2	pseudogene	1		Ryanodine receptor 2	19140929	19182936	-	100	4697	0	GCA_014281875.1|RYR|CM024807.1:19140926-19188436-|cov1.00|id0.80|len5077	0.9243	3899	259	4038	377	4142	0.0	7357.0	5077	0.8301	0.768	GCA_014281875.1|RYR|CM024806.1:1526456-1654991+|cov1.00|id0.88|len4987	4907.0	0.333	1	1	name_matches_sequence
case_b	GCA_031216635.1	DEt00000370.1	gene-KUDE01_018062	KUDE01_018062	protein_coding	0	KAK1898538.1	Inositol 145-trisphosphate receptor type 3	8229087	8242096	-	2	66	0	GCA_031216635.1|ITPR3|CM062267.1:8174094-8242096-|cov1.00|id0.89|len2687	0.8806	67	1	66	1	67	2.41e-36	120.0	2687	1.0152	0.0249	GCA_031216635.1|ITPR2|CM062273.1:21940942-21999811+|cov1.00|id0.86|len2691	106.0	0.1167	1	1	unnamed
case_b	GCA_031216635.1	DEt00000369.1	gene-KUDE01_017523	KUDE01_017523	protein_coding	0	KAK1897995.1	Inositol 145-trisphosphate receptor type 3	8217040	8228356	-	12	415	0	GCA_031216635.1|ITPR3|CM062267.1:8174094-8242096-|cov1.00|id0.89|len2687	0.9664	416	9	415	52	467	0.0	840.0	2687	1.0024	0.1548	GCA_031216635.1|ITPR2|CM062273.1:21940942-21999811+|cov1.00|id0.86|len2691	632.0	0.2476	1	1	unnamed
case_b	GCA_031216635.1	DEt00000368.1	gene-KUDE01_018466	KUDE01_018466	protein_coding	0	KAK1898944.1	Inositol 145-trisphosphate receptor type 3	8190452	8216681	-	24	1111	0	GCA_031216635.1|ITPR3|CM062267.1:8174094-8242096-|cov1.00|id0.89|len2687	0.9742	1126	6	1111	468	1593	0.0	2265.0	2687	1.0135	0.4191	GCA_031216635.1|ITPR1|CM062265.1:23122254-23184229-|cov1.00|id0.95|len2738	1277.0	0.4362	1	1	unnamed
