accession	organism	taxid	vclass	vorder	assembly_name	level	refseq_category	annotated	annotation_source	release_date	total_length_bp	scaffold_n50	contig_n50	fasta_gb	est_zip_gb	reasons	notes
GCA_033238685.1	Lates japonicus	270547	Actinopteri		AKAME5_01	Scaffold	reference genome	Y	GenBank	2023-06-29	837949969	3710658	285591	0.84	0.25	fragment_only	longest ITPR record 1516 aa, below the family floor of 2,000 aa (10 records)
GCA_014281875.1	Nibea albiflora	240163	Actinopteri		ASM1428187v1	Chromosome	reference genome	Y	GenBank	2020-08-25	627578634	25433336	4420150	0.63	0.19	missing_paralog;fragment_only	1 of 3 expected paralogs (15,319 proteins in the reference proteome) | longest ITPR record 120 aa, below the family floor of 2,000 aa (1 records)
GCA_980438365.1	Acanthurus tractus	1316013	Actinopteri	Acanthuriformes	fAcaTra1.1	Chromosome	reference genome	N	GenBank	2026-02-20	650160964	48961085	31041855	0.65	0.20	order_rep:Acanthuriformes	best of 21 reference assemblies in Acanthuriformes
GCF_017654505.1	Polyodon spathula	7913	Actinopteri	Acipenseriformes	ASM1765450v1	Chromosome	reference genome	Y	RefSeq	2021-03-31	1542066908	48906729	3441286	1.54	0.46	order_rep:Acipenseriformes	best of 11 reference assemblies in Acipenseriformes
GCF_042242105.1	Pempheris klunzingeri	3127111	Actinopteri	Acropomatiformes	fPemKlu1.hap1	Chromosome	reference genome	Y	RefSeq	2024-09-25	646252061	27715216	12920725	0.65	0.19	order_rep:Acropomatiformes	best of 6 reference assemblies in Acropomatiformes
GCA_056783665.1	Albula glossodonta	121402	Actinopteri	Albuliformes	fAlbGlo1.hap1	Chromosome	reference genome	N	GenBank	2026-04-16	985760009	41800014	36502201	0.99	0.30	fragment_only	longest ITPR record 1896 aa, below the family floor of 2,000 aa (6 records)
GCA_022829145.1	Albula goreensis	1534307	Actinopteri	Albuliformes	AGOR_1.0	Chromosome	reference genome	Y	GenBank	2022-04-08	933663665	39075509	17514905	0.93	0.28	order_rep:Albuliformes	best of 2 reference assemblies in Albuliformes
GCA_056824585.1	Alepocephalus tenebrosus	170189	Actinopteri	Alepocephaliformes	fAleTen1.hap1	Chromosome	reference genome	N	GenBank	2026-04-21	2099802557	176684729	731605	2.10	0.63	order_rep:Alepocephaliformes	best of 2 reference assemblies in Alepocephaliformes
GCF_036373705.1	Amia ocellicauda	2972642	Actinopteri	Amiiformes	fAmiCal2.hap1	Chromosome	reference genome	Y	RefSeq	2024-02-06	989103751	44181238	17465777	0.99	0.30	order_rep:Amiiformes	best of 2 reference assemblies in Amiiformes
GCF_033026475.1	Channa argus	215402	Actinopteri	Anabantiformes	Channa argus male v1.0	Chromosome	reference genome	Y	RefSeq	2023-10-25	675457141	27733855	16561385	0.68	0.20	order_rep:Anabantiformes	best of 22 reference assemblies in Anabantiformes
GCF_963514075.1	Conger conger	82655	Actinopteri	Anguilliformes	fConCon1.1	Chromosome	reference genome	Y	RefSeq	2023-09-29	1136402888	64882367	3090688	1.14	0.34	order_rep:Anguilliformes	best of 19 reference assemblies in Anguilliformes
GCF_963989245.1	Nansenia antarctica	443705	Actinopteri	Argentiniformes	fNanAnt1.1	Chromosome	reference genome	Y	RefSeq	2024-03-11	1085777971	66745282	750607	1.09	0.33	order_rep:Argentiniformes	best of 3 reference assemblies in Argentiniformes
GCA_900312595.1	Guentherus altivela	1263181	Actinopteri	Ateleopodiformes	ASM90031259v1	Scaffold	reference genome	N	GenBank	2018-03-19	539598795	3201	2928	0.54	0.16	order_rep:Ateleopodiformes	best of 1 reference assemblies in Ateleopodiformes
GCF_933228915.1	Telmatherina bonti	446457	Actinopteri	Atheriniformes	fTelBon1.1	Chromosome	reference genome	Y	RefSeq	2022-03-23	986023149	41523244	1254875	0.99	0.30	order_rep:Atheriniformes	best of 48 reference assemblies in Atheriniformes
GCF_963971535.1	Notolepis coatsorum	948063	Actinopteri	Aulopiformes	fNotCoa1.1	Chromosome	reference genome	Y	RefSeq	2024-03-07	3427786127	155911686	444000	3.43	1.03	order_rep:Aulopiformes	best of 5 reference assemblies in Aulopiformes
GCF_902500255.1	Thalassophryne amazonica	390379	Actinopteri	Batrachoidiformes	fThaAma1.1	Chromosome	reference genome	Y	RefSeq	2019-09-30	2446592878	118421481	2329598	2.45	0.73	order_rep:Batrachoidiformes	best of 4 reference assemblies in Batrachoidiformes
GCF_033807715.1	Cololabis saira	129043	Actinopteri	Beloniformes	fColSai1.1	Chromosome	reference genome	Y	RefSeq	2023-11-22	1146345828	47710000	8087617	1.15	0.34	order_rep:Beloniformes	best of 21 reference assemblies in Beloniformes
GCF_964638095.1	Poromitra crassiceps	88708	Actinopteri	Beryciformes	fPorCra3.hap1.1	Chromosome	reference genome	Y	RefSeq	2025-01-02	1629984087	53864884	841497	1.63	0.49	order_rep:Beryciformes	best of 6 reference assemblies in Beryciformes
GCF_900634775.2	Gouania willdenowi	441366	Actinopteri	Blenniiformes	fGouWil2.2	Chromosome	reference genome	Y	RefSeq	2020-07-31	937150793	38978045	1838341	0.94	0.28	order_rep:Blenniiformes	best of 27 reference assemblies in Blenniiformes
GCA_965364685.1	Capros aper	206100	Actinopteri	Caproiformes	fCapApe1.1	Chromosome	reference genome	N	GenBank	2025-07-02	649601108	32570917	12853060	0.65	0.19	order_rep:Caproiformes	best of 3 reference assemblies in Caproiformes
GCF_045865225.1	Trachurus japonicus	83875	Actinopteri	Carangiformes	Traja_1.0	Chromosome	reference genome	Y	RefSeq	2024-08-27	867708881	36386262	1015092	0.87	0.26	order_rep:Carangiformes	best of 23 reference assemblies in Carangiformes
GCF_021292245.1	Micropterus dolomieu	147949	Actinopteri	Centrarchiformes	ASM2129224v1	Chromosome	reference genome	Y	RefSeq	2022-01-11	829570727	34173225	46775	0.83	0.25	order_rep:Centrarchiformes	best of 36 reference assemblies in Centrarchiformes
GCF_039877785.1	Chaetodon trifascialis	109706	Actinopteri	Chaetodontiformes	fChaTrf1.hap1	Chromosome	reference genome	Y	RefSeq	2024-05-29	662489023	29139200	21327470	0.66	0.20	order_rep:Chaetodontiformes	best of 12 reference assemblies in Chaetodontiformes
GCF_029633855.1	Hoplias malabaricus	27720	Actinopteri	Characiformes	fHopMal1.hap1	Chromosome	reference genome	Y	RefSeq	2024-06-25	1186354877	53138383	3626585	1.19	0.36	order_rep:Characiformes	best of 59 reference assemblies in Characiformes
GCF_057381845.1	Rhamphochromis longiceps	304217	Actinopteri	Cichliformes	R_longiceps_female_GT1.1	Chromosome	reference genome	Y	RefSeq	2026-05-11	976892117	42975577	31399844	0.98	0.29	order_rep:Cichliformes	best of 299 reference assemblies in Cichliformes
GCF_034702125.1	Engraulis encrasicolus	184585	Actinopteri	Clupeiformes	IST_EnEncr_1.0	Chromosome	reference genome	Y	RefSeq	2023-12-28	1435183673	56351229	1448200	1.44	0.43	order_rep:Clupeiformes	best of 34 reference assemblies in Clupeiformes
