accession	organism	vclass	cell	cell_status	scope	bait	bait_len	covered_aa	coverage	exonic_nt	gene_equiv	unique_frac	n_hsps	n_regions	n_contigs	max_piece_aa	bits
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	own_clade	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	2779	2327	0.8374	7761	0.9309	0.9854	46	8	8	103	4848.8
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	decoy_accounted		0	0	0	0	0	0	0	0	0	0	0
GCA_000699945.1	Cathartes aura	Aves	ITPR1	tblastn_trace	co_trace		0	0	0	0	0	0	0	0	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	own_clade	A0A7K6LHC3|ITPR3|Falcunculus_frontatus	2670	1700	0.6367	5721	0.7142	1	32	3	2	132	3114.9
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	decoy_accounted		0	0	0	0	0	0	0	0	0	0	0
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR3	tblastn_trace	co_trace		0	0	0	0	0	0	0	0	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	own_clade	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	2779	1363	0.4905	4311	0.5171	1	27	6	6	89	2789.3
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	decoy_accounted		0	0	0	0	0	0	0	0	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR1	tblastn_trace	co_trace	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	2779	1427	0.5135	4545	0.5452	0.9951	25	6	5	97	2261.6
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	own_clade	A0A672UP22|ITPR2|Strigops_habroptila	2700	1941	0.7189	6489	0.8011	0.9959	38	7	5	92	3931.4
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	decoy_accounted		0	0	0	0	0	0	0	0	0	0	0
GCA_002844005.1	Limosa lapponica baueri	Aves	ITPR2	tblastn_trace	co_trace	A0A672UP22|ITPR2|Strigops_habroptila	2700	979	0.3626	3027	0.3737	1	17	5	5	95	1588.6
