Proteome Id	Organism	Organism Id	Protein count
UP000000589	Mus musculus (Mouse)	10090	54855
UP000002494	Rattus norvegicus (Rat)	10116	52824
UP000005640	Homo sapiens (Human)	9606	147520
UP000009136	Bos taurus (Bovine)	9913	51611
UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	69241
UP000001073	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	40414
UP000001074	Myotis lucifugus (Little brown bat)	59463	20651
UP000001595	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	9601	39473
UP000001811	Oryctolagus cuniculus (Rabbit)	9986	41466
UP000002279	Ornithorhynchus anatinus (Duckbill platypus)	9258	32824
UP000005215	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	43179	25333
UP000005225	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	30611	19931
UP000005447	Cavia porcellus (Guinea pig)	10141	25047
UP000007267	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	13735	20509
UP000007646	Loxodonta africana (African elephant)	9785	25615
UP000007648	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	9305	36299
UP000007754	Taeniopygia guttata (Zebra finch) (Poephila guttata)	59729	31341
UP000008227	Sus scrofa (Pig)	9823	46004
UP000008912	Ailuropoda melanoleuca (Giant panda)	9646	38536
UP000029965	Chlorocebus sabaeus (Green monkey) (Simia sabaea)	60711	19229
UP000233040	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	2715852	40117
UP000291000	Capra hircus (Goat)	9925	32605
UP000472240	Rhinolophus ferrumequinum (Greater horseshoe bat)	59479	33505
UP000472266	Strigops habroptila (Kakapo)	2489341	24356
UP000472275	Aquila chrysaetos chrysaetos	223781	24817
UP000594220	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	8502	27142
UP000681084	Bothrops jararaca (Jararaca) (Bothrops jajaraca)	8724	84
UP000694381	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	1026970	26759
UP000694385	Jaculus jaculus (Lesser Egyptian jerboa)	51337	25129
UP000694391	Canis lupus dingo (dingo)	286419	33928
UP000694394	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	30608	36769
UP000694398	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	34839	25185
UP000694399	Panthera leo (Lion)	9689	31097
