id	section	claim	expected	found	verdict	note	source	op
RA01	range	recall of the family call is 24 of 25	24	24	ok		results/benchmark_controls/summary.json	json
RA02	range	25 positive controls	25	25	ok		results/benchmark_controls/summary.json	json
RA03	range	specificity is 31 of 31	31	31	ok		results/benchmark_controls/summary.json	json
RA04	range	all 6 ryanodine receptor decoys are rejected	6	6	ok		results/benchmark_controls/summary.json	json
RA05	range	Drosophila Itpr fell 0.008 short of the breadth identity	short by 0.008	short by 0.008	ok		results/benchmark_controls/report.md	grep
RA06	range	the architecture rule agrees with 2,479 of 2,479 IP3R symbols	2479	2479	ok		results/census_v2/rule_audit.tsv	cell
RA07	range	and with 2,492 of 2,492 RyR symbols	2492	2492	ok		results/census_v2/rule_audit.tsv	cell
RA08	range	with seeds removed the profiles agree on 11,875 records	11875	11875	ok		results/hmm_sweep/calibration_summary.json	json
RA09	range	and disagree on 1	1	1	ok		results/hmm_sweep/calibration_summary.json	json
RA10	range	the profiles call 2,074 architecture-unassigned records ITPR	2074	2074	ok		results/hmm_sweep/calibration_summary.json	json
RA11	range	and 240 RyR	240	240	ok		results/hmm_sweep/calibration_summary.json	json
RA12	range	three seeds intersect on 4,785 family records	4785	4785	ok		results/methods/seed_effect.tsv	cell
RA13	range	and differ by at most 162	162	162	ok		results/methods/seed_effect.tsv	cell
RA14	range	the least-drifted drifted run sits at an off-family share of 0.81	0.81	0.8114	ok		results/methods/drift_outcome.tsv	cell
RA15	range	the most off-family clean run sits at 0.34	0.34	0.3367	ok		results/methods/drift_outcome.tsv	cell
RA16	range	the sister-share kill rule fires on none of the drifted runs	0	0	ok		results/methods/kill_criterion_validation.tsv	cell
RA17	range	the round ceiling catches all 3 drifted runs	3	3	ok		results/methods/kill_criterion_validation.tsv	cell
RA18	range	the off-family rule catches 3 of 3 drifted runs	3	3	ok		results/methods/kill_criterion_validation.tsv	cell
RA19	range	and clears 4 of 4 clean ones	4	4	ok		results/methods/kill_criterion_validation.tsv	cell
RA20	range	28,137 targets were scored by at least one profile	28,137 targets were scored by at least one profile	28,137 targets were scored by at least one profile	ok		results/s20_sweep/report.md	grep
RA21	range	2,769 by both above the floor, 1 inside the no-call band	of those **1/2,769 (0%) fall inside	of those **1/2,769 (0%) fall inside	ok		results/s20_sweep/report.md	grep
RA22	range	45 of the 135 clades swept carry a call	**45 clades of the 135 swept carry an ITPR call**	**45 clades of the 135 swept carry an ITPR call**	ok		results/s20_sweep/report.md	grep
RA23	range	292 of 311 arthropod proteomes	| Arthropoda | 311 | 292/311	| Arthropoda | 311 | 292/311	ok		results/s20_sweep/report.md	grep
RA24	range	106 of 110 nematode proteomes	| Nematoda | 110 | 106/110	| Nematoda | 110 | 106/110	ok		results/s20_sweep/report.md	grep
RA25	range	15 of 48 Chlorophyta proteomes	| Chlorophyta | 48 | 15/48	| Chlorophyta | 48 | 15/48	ok		results/s20_sweep/report.md	grep
RA26	range	18 of 34 Mucoromycota proteomes	| Mucoromycota | 34 | 18/34	| Mucoromycota | 34 | 18/34	ok		results/s20_sweep/report.md	grep
RA27	range	6 of 16 Chytridiomycota proteomes	| Chytridiomycota | 16 | 6/16	| Chytridiomycota | 16 | 6/16	ok		results/s20_sweep/report.md	grep
RA28	range	0 of 634 archaeal proteomes	| Archaea | 634 | 0/634	| Archaea | 634 | 0/634	ok		results/s20_sweep/report.md	grep
RA29	range	3,537 bacterial proteomes, one per genus	| bacteria_genus | 3,537 |	| bacteria_genus | 3,537 |	ok		results/s20_sweep/report.md	grep
RA30	range	a non-seed full-length RyR in Salpingoeca rosetta	| F2UC37 | *Salpingoeca rosetta* | 5340 | 1387.2 | 59% | 65% | no |	| F2UC37 | *Salpingoeca rosetta* | 5340 | 1387.2 | 59% | 65% | no |	ok		results/s20_sweep/report.md	grep
RA31	range	architecture-level RyR in 2 non-vertebrate proteomes	The 2 architecture-level RYR call(s)	The 2 architecture-level RYR call(s)	ok		results/s20_sweep/report.md	grep
RA32	range	MIR returns 633 matches in land plants and 4,376 in Dikarya	returns 633 substantial matches in land plants, 4,376 substantial matches in Dikarya	returns 633 substantial matches in land plants, 4,376 substantial matches in Dikarya	ok		results/s20_sweep/report.md	grep
RA33	range	PF08709: none in land plants against 26 in Chlorophyta	0 substantial PF08709 match(es), against 26 in	0 substantial PF08709 match(es), against 26 in	ok		results/s20_sweep/report.md	grep
RA34	range	PF08709: none in Dikarya against 16 in Mucoromycota	0 substantial PF08709 match(es), against 16 in	0 substantial PF08709 match(es), against 16 in	ok		results/s20_sweep/report.md	grep
RA35	range	iteration added 9 targets the single pass never reported	9 target(s) entered an accepted model that the single profile pass never reported	9 target(s) entered an accepted model that the single profile pass never reported	ok		results/s20_sweep/report.md	grep
RA36	range	the two in an empty lineage are mannosyltransferases	**2 of them sit in a lineage this task calls empty**	**2 of them sit in a lineage this task calls empty**	ok		results/s20_sweep/report.md	grep
RA37	range	64 plant records were chased	64	64	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
RA38	range	22 plant records are real genes	22	22	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
RA39	range	25 fungal records are real genes	25	25	ok		results/s20_sweep/plant_fungal_verdicts.tsv	count
RA40	range	the lowest plant cross-kingdom identity is 19.9 %	19.9	19.9	ok		results/s20_sweep/plant_fungal_verdicts.tsv	cell
RA41	range	the highest surviving plant identity is 39.9 %	39.9	39.9	ok		results/s20_sweep/plant_fungal_verdicts.tsv	cell
RA42	range	the highest surviving fungal identity is 33.5 %	33.5	33.5	ok		results/s20_sweep/plant_fungal_verdicts.tsv	cell
RA43	range	no record of the 99 exceeds 45.8 %	45.8	45.8	ok		results/s20_sweep/plant_fungal_verdicts.tsv	cell
RA44	range	the genome scope is 100.4 Gbp	100.4	100.4	ok		results/s23_scope/manifest_stats.json	json
RA45	range	drawn from 24,596 eukaryotic reference assemblies	24596	24596	ok		results/s23_scope/manifest_stats.json	json
RA46	range	less 6,216 vertebrate ones	6216	6216	ok		results/s23_scope/manifest_stats.json	json
RA47	range	three absences no summary had named	Bacillariophyta 0/16, Rhodophyta 0/12, and **Cestoda 0/11	Bacillariophyta 0/16, Rhodophyta 0/12, and **Cestoda 0/11	ok		results/s23_scope/report.md	grep
RA48	range	myosin head in 36 of 36 Aconoidasida proteomes	36	36	ok		results/s23_baits/control_profile_choice.tsv	cell
RA49	range	and 23 of 23 Conoidasida	23	23	ok		results/s23_baits/control_profile_choice.tsv	cell
RA50	range	SMC N-terminal domain in 12 of 12 red algal proteomes	12	12	ok		results/s23_baits/control_profile_choice.tsv	cell
RA51	range	the panel carries 108 baits	108	108	ok		results/s23_baits/bait_build_stats.json	json
RA52	range	37 of them IP3 receptors	37	37	ok		results/s23_baits/bait_build_stats.json	json
RA53	range	16 ryanodine receptors	16	16	ok		results/s23_baits/bait_build_stats.json	json
RA54	range	55 clade controls	55	55	ok		results/s23_baits/bait_build_stats.json	json
RA55	range	all 56 control clades are filled	56	56	ok		results/s23_baits/bait_build_stats.json	json
RA56	range	115 genomes are controlled across a kingdom boundary	115	115	ok		results/s23_scope/ledger_stats.json	json
RA57	range	77 are controlled by the receptor itself	77	77	ok		results/s23_scope/ledger_stats.json	json
RA58	range	Ascomycota: none in 31 controlled assemblies	31	31	ok		results/s23_scope/absence_at_genome.tsv	cell
RA59	range	Streptophyta: none in 25	25	25	ok		results/s23_scope/absence_at_genome.tsv	cell
RA60	range	Basidiomycota: none in 17	17	17	ok		results/s23_scope/absence_at_genome.tsv	cell
RA61	range	two land-plant assemblies carry only tblastn traces	2	2	ok		results/s23_scope/absence_at_genome.tsv	cell
RA62	range	sixteen gene spans were measured	16	16	ok		results/s23_baits/span_calibration.json	json
RA63	range	the shortest span is 3,739 bp	3739	3739	ok		results/s23_baits/span_calibration.json	json
RA64	range	the longest 324,840 bp	324840	324840	ok		results/s23_baits/span_calibration.json	json
RA65	range	the median 19,435 bp	19435	19435	ok		results/s23_baits/span_calibration.json	json
RA66	range	Stentor coeruleus carries 13	13	13	ok		results/s23_scope/copy_number_ledger.tsv	cell
RA71	range	Dysidea avara carries 8	8	8	ok		results/s23_scope/copy_number_ledger.tsv	cell
RA72	range	Cymbomonas tetramitiformis carries three gene models	3	3	ok		results/s23_scope/copy_number_ledger.tsv	cell
RA67	range	the IP3-binding core is the best-modelled domain at 83.9	83.9	83.88	ok		results/structures/plddt_summary.tsv	cell
RA68	range	the pore the worst of the named domains at 71.0	71.0	71.01	ok		results/structures/plddt_summary.tsv	cell
RA69	range	against 69.5 outside annotated domains	69.5	69.5	ok		results/structures/plddt_summary.tsv	cell
RA70	range	AlphaFold DB models 20.9 % of the census's protein records	**20.9 % of the census's UniProt-shaped ITPR records have a usable predicted model**	**20.9 % of the census's UniProt-shaped ITPR records have a usable predicted model**	ok		results/structures/report.md	grep
RA73	range	none of 81 control pairs reaches the same-fold bar	**0 of 81** control pairs reach the 0.5 same-fold bar	**0 of 81** control pairs reach the 0.5 same-fold bar	ok		results/structures/report.md	grep
RA74	range	same paralogue, different state: median 0.78; different IP3Rs 0.43	score a median **0.78**; two different IP3 receptors score **0.43**	score a median **0.78**; two different IP3 receptors score **0.43**	ok		results/structures/report.md	grep
RA75	range	2 of 7 deep models reach the same-fold bar	**2 of 7** deep models reach the 0.5 same-fold bar	**2 of 7** deep models reach the 0.5 same-fold bar	ok		results/structures/report.md	grep
OR01	origin	the neighbourhood analysis covers 2,144 loci	2144	2144	ok		results/synteny/synteny_stats.json	json
OR02	origin	274 assemblies carry a gene annotation to read	274	274	ok		results/synteny/synteny_stats.json	json
OR03	origin	the replication runs over 309 vertebrate genomes	309	309	ok		results/duplication/duplication_stats.json	json
OR04	origin	the species tree has 29 named internal nodes	29	29	ok		results/reconciliation/species_tree_calibrations.tsv	count
OR05	origin	the reconciliation maps 57 vertebrate tips	57	57	ok		results/reconciliation/reconciliation_summary.tsv	cell
OR06	origin	ITPR1+ITPR2 costs 114.02 log-likelihood units	114.02	114.02	ok		results/phylogeny/au_test.tsv	cell
OR07	origin	ITPR1+ITPR3 costs 113.98 log-likelihood units	113.98	113.98	ok		results/phylogeny/au_test.tsv	cell
OR08	origin	the AU 95 % confidence set holds 2 topologies	2	2	ok		results/methods/inference_summary.json	json
OR09	origin	nine claim clades are held under --bnni	9	9	ok		results/phylogeny/bnni_comparison.tsv	count
OR10	origin	within-ITPR1 similarity is 411-fold its null	411	410.8862	ok		results/synteny/pair_stats.tsv	cell
OR11	origin	within-ITPR3 similarity is 216-fold its null	216	215.5068	ok		results/synteny/pair_stats.tsv	cell
OR12	origin	168,241 pairs of ITPR and RyR loci were compared	168241	168241	ok		results/synteny/pair_stats.tsv	sum
OR13	origin	the caller was calibrated on 503 confirmed loci	503	503	ok		results/synteny/synteny_stats.json	json
OR14	origin	726 random windows were offered to the caller	726	726	ok		results/synteny/synteny_stats.json	json
OR15	origin	the caller called 6 of them	6	6	ok		results/synteny/synteny_stats.json	json
OR16	origin	932 matched random neighbourhoods form the null	932	932	ok		results/duplication/duplication_stats.json	json
OR17	origin	ITPR1 vs ITPR2 links in 80.6 % of genomes	141 (80.6%)	141 (80.6%)	ok		results/duplication/report.md	grep
OR18	origin	ITPR1 vs ITPR3 links in 58.6 % of genomes	89 (58.6%)	89 (58.6%)	ok		results/duplication/report.md	grep
OR19	origin	the random-window link rate is 2.6 %	2.7% against a 2.6% background	2.7% against a 2.6% background	ok		results/duplication/report.md	grep
OR20	origin	ITPR1 vs ITPR2 replicates in ten classes	10	10	ok		results/duplication/duplication_stats.json	json
OR21	origin	ITPR1 vs ITPR3 replicates in nine classes	9	9	ok		results/duplication/duplication_stats.json	json
OR22	origin	ITPR2 vs ITPR3 does not beat background, p 0.554	0.554	0.553597	ok		results/duplication/duplication_stats.json	json
OR23	origin	the vertebrate-dated GRM link is in 84 genomes	84	84	ok		results/duplication/duplication_stats.json	json
OR24	origin	the BHLHE link is vertebrate-dated in 2 genomes	2	2	ok		results/duplication/duplication_stats.json	json
OR25	origin	crown Vertebrata estimates run from 480 Ma	480	480.0	ok		results/reconciliation/species_tree_calibrations.tsv	cell
OR26	origin	to 615 Ma	615	615.0	ok		results/reconciliation/species_tree_calibrations.tsv	cell
OR27	origin	around a point age of 563 Ma	563	563.0	ok		results/reconciliation/species_tree_calibrations.tsv	cell
OR28	origin	all 5 topologies place the deepest dup at Vertebrata with the cyclostome loci kept	5	5	ok		results/reconciliation/reconciliation_summary.tsv	count
OR29	origin	the weakest vertebrate-subtree node is 17.4/54	17.4/54	17.4/54	ok		results/reconciliation/duplication_placement.tsv	cell
OR30	origin	the subtree has 112 edges to re-root at	all **112 of its edges**	all **112 of its edges**	ok		results/reconciliation/report.md	grep
OR31	origin	the minimum-event rooting needs 64 events	64	64	ok		results/reconciliation/rooting_check.tsv	cell
OR32	origin	the outgroup rooting needs 67 events	67	67	ok		results/reconciliation/rooting_check.tsv	cell
OR33	origin	the shortest cyclostome tip is 0.957 of median	0.957	0.957	ok		results/reconciliation/branch_lengths.tsv	cell
OR34	origin	the longest cyclostome tip is 1.045 of median	1.045	1.045	ok		results/reconciliation/branch_lengths.tsv	cell
OR35	origin	six cyclostome loci are in the tree	6	6	ok		results/reconciliation/cyclostome_loci.tsv	count
OR36	origin	the reconciliation implies 47 lost cells	47	47	ok		results/methods/inference_summary.json	json
OR37	origin	26 of them are sampling artefacts	26	26	ok		results/methods/inference_summary.json	json
OR38	origin	0 are corroborated	0	0	ok		results/methods/inference_summary.json	json
OR39	origin	73 teleost genomes are above the bar	73	73	ok		results/duplication/duplication_stats.json	json
OR40	origin	teleosts carry 1.041 ITPR2	1.041	1.041	ok		results/duplication/duplication_stats.json	json
OR41	origin	teleosts carry 1.041 ITPR3	1.041	1.041	ok		results/duplication/duplication_stats.json	json
OR42	origin	97.3 % of teleosts carry two ITPR1	| 5.82 | 97.3% |	| 5.82 | 97.3% |	ok		results/duplication/report.md	grep
OR43	origin	four pre-3R ray-finned genomes	4	4	ok		results/duplication/duplication_stats.json	json
OR44	origin	71 teleost genomes carry two ITPR1 copies	71	71	ok		results/duplication/duplication_stats.json	json
OR45	origin	same-contig copies sit a median 8,870,578 bp apart	8870578	8870578	ok		results/duplication/duplication_stats.json	json
OR46	origin	the closest pair is 535,374 bp apart	535374	535374	ok		results/duplication/duplication_stats.json	json
OR47	origin	49 two-copy genomes have both copies flanked	49	49	ok		results/duplication/duplication_stats.json	json
OR48	origin	anchors come from 6 orders	6	6	ok		results/duplication/duplication_stats.json	json
OR49	origin	bait and block agree six times of six	6	6	ok		results/duplication/duplication_stats.json	json
OR50	origin	99.89 % of junctions are spliceable	**99.89 %**	**99.89 %**	ok		results/gene_architecture/report.md	grep
OR52	origin	ITPR1 carries 8,250 bp of coding sequence	8250	8250.0	ok		results/gene_architecture/gene_architecture_stats.json	json
OR53	origin	ITPR2 carries 8,100 bp	8100	8100.0	ok		results/gene_architecture/gene_architecture_stats.json	json
OR54	origin	ITPR3 carries 8,008 bp	8008	8008.0	ok		results/gene_architecture/gene_architecture_stats.json	json
OR55	origin	ITPR1 mean exon length 141.4 bp	141.4	141.4	ok		results/gene_architecture/gene_architecture_stats.json	json
OR56	origin	ITPR2 mean exon length 142.2 bp	142.2	142.2	ok		results/gene_architecture/gene_architecture_stats.json	json
