paralog	shell	n_residues	mean_jsd	median_jsd	mean_frac_modal	whole_protein_mean_jsd	p_greater_than_protein	q_greater_than_protein
ITPR1	contact	12	0.8043	0.8056	0.9431	0.7366	0.019622	0.021406
ITPR1	second	14	0.8113	0.8207	0.9624	0.7366	0.003531	0.004237
ITPR1	third	40	0.8149	0.8093	0.9597	0.7366	1.92018e-06	1.15211e-05
ITPR1	fourth	59	0.7916	0.7963	0.9382	0.7366	0.000475	0.00095
ITPR2	contact	12	0.838	0.8506	0.9981	0.7383	0.000253	0.000607
ITPR2	second	14	0.835	0.8431	0.9921	0.7383	0.000193	0.000579
ITPR2	third	40	0.8277	0.8388	0.9619	0.7383	5.88471e-08	7.06165e-07
ITPR2	fourth	59	0.7828	0.7709	0.9388	0.7383	0.039512	0.039512
ITPR3	contact	12	0.8223	0.8298	0.9879	0.7358	0.00233	0.003107
ITPR3	second	14	0.8205	0.8246	0.9833	0.7358	0.001763	0.002645
ITPR3	third	40	0.8087	0.8219	0.9527	0.7358	1.36854e-05	5.47416e-05
ITPR3	fourth	59	0.7902	0.8057	0.9424	0.7358	0.00067	0.001149
