model_id	accession	organism	vclass	vorder	cell	cell_status	db_status	locus_rank	contig	start	end	strand	length	coverage	identity	family_margin	paralog_margin	frameshifts	stop_codons	bait	assigned_via	annot_gene	annot_family	annot_paralog	sibling_locus_for_annot_paralog	annotated_assembly	contig_spans_gene	profile_call	profile_confidence	profile_evidence	itpr_score	ryr_score	profile_rel_margin	profile_envelope	profile_reason
GCA_002844005.1|ITPR3|KZ509852.1:4513-37856-	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	ITPR3	found_annotated	annotated_unnamed	0	KZ509852.1	4513	37856	-	2475	0.9801	0.8623	1.0	0.3829	2	1	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	primary	llap_16032			0	Y	0	ITPR	high	architecture	3127.7	158.8	0.9492	0.9087	itpr.hmm wins by 2968.9 bits (94.9% of 3127.7) over 2222 profile positions
GCA_002844005.1|RYR|KZ505650.1:1556943-1978394+	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	found_unannotated	genome_only	0	KZ505650.1	1556943	1978394	+	4971	1.0	0.9845	1.0	1.0	0	0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	primary				0	Y	0	RYR	high	architecture	745.0	8501.4	0.9124	0.9998	ryr.hmm wins by 7756.4 bits (91.2% of 8501.4) over 4930 profile positions
GCA_002844005.1|RYR|KZ505716.1:586247-805857-	GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	RYR	found_unannotated	annotated_unnamed	1	KZ505716.1	586247	805857	-	4941	1.0	0.6774	1.0	1.0	0	0	A0A6I8Q6P7|ryr1|Xenopus_tropicalis|RYR1	primary	llap_3383			0	Y	0	RYR	high	architecture	748.2	8249.7	0.9093	0.9996	ryr.hmm wins by 7501.5 bits (90.9% of 8249.7) over 4925 profile positions
GCA_002909625.1|ITPR1|PPHD01000413.1:7648-65942-	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	assembly_gap	genome_only	0	PPHD01000413.1	7648	65942	-	978	0.3516	1.0	1.0	0.3007	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary				0	Y	0	ITPR	medium	partial	1592.9	290.1	0.8179	0.9949	itpr.hmm wins by 1302.8 bits (81.8% of 1592.9) over 926 profile positions
GCA_002909625.1|ITPR1|PPHD01008249.1:590-21997+	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR1	assembly_gap	annotated_unnamed	1	PPHD01008249.1	590	21997	+	886	0.3188	0.9989	1.0	1.0	0	0	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1	primary	CIB84_004674			0	Y	0	ITPR	medium	partial	1515.1	158.0	0.8957	0.9955	itpr.hmm wins by 1357.1 bits (89.6% of 1515.1) over 867 profile positions
GCA_002909625.1|ITPR2|PPHD01003807.1:6160-29027-	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	assembly_gap	annotated_unnamed	0	PPHD01003807.1	6160	29027	-	569	0.2111	0.9	1.0	1.0	0	0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	primary	CIB84_002931			0	Y	0	ITPR	medium	partial	848.1	219.5	0.7412	0.8963	itpr.hmm wins by 628.6 bits (74.1% of 848.1) over 467 profile positions
GCA_002909625.1|ITPR2|PPHD01002362.1:4881-19406+	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR2	assembly_gap	genome_only	1	PPHD01002362.1	4881	19406	+	430	0.1589	0.9837	1.0	1.0	0	0	F1P1X4|ITPR2|Gallus_gallus|ITPR2	primary				0	Y	0	ITPR	medium	partial	566.5	70.2	0.8761	0.9907	itpr.hmm wins by 496.3 bits (87.6% of 566.5) over 424 profile positions
GCA_002909625.1|ITPR3|PPHD01009884.1:3-19437-	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	assembly_gap	annotated_unnamed	0	PPHD01009884.1	3	19437	-	1677	0.6295	0.9988	1.0	0.3408	0	0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	primary	CIB84_005232			0	Y	0	ITPR	high	architecture	2558.8	145.3	0.9432	0.9964	itpr.hmm wins by 2413.5 bits (94.3% of 2558.8) over 1664 profile positions
GCA_002909625.1|ITPR3|PPHD01019520.1:82-6747+	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	ITPR3	assembly_gap	annotated_unnamed	1	PPHD01019520.1	82	6747	+	545	0.2042	0.9963	1.0	1.0	0	0	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3	primary	CIB84_007851			0	Y	0	ITPR	medium	partial	875.8	227.2	0.7406	0.9963	itpr.hmm wins by 648.6 bits (74.1% of 875.8) over 502 profile positions
GCA_002909625.1|RYR|PPHD01005234.1:2410-24777-	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	assembly_gap	genome_only	0	PPHD01005234.1	2410	24777	-	988	0.1985	0.9929	1.0	1.0	0	0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	primary				0	Y	0	RYR	medium	partial	22.5	1470.9	0.9847	0.998	ryr.hmm wins by 1448.4 bits (98.5% of 1470.9) over 947 profile positions
GCA_002909625.1|RYR|PPHD01004762.1:949-25925-	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	assembly_gap	genome_only	1	PPHD01004762.1	949	25925	-	893	0.1795	0.9832	1.0	1.0	0	0	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2	primary				0	Y	0	RYR	medium	partial	155.7	1448.0	0.8925	0.9978	ryr.hmm wins by 1292.3 bits (89.2% of 1448.0) over 878 profile positions
GCA_002909625.1|RYR|PPHD01004103.1:719-28757+	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	assembly_gap	genome_only	2	PPHD01004103.1	719	28757	+	1287	0.2694	0.6254	1.0	1.0	0	0	A0A4W3I1N0|LOC103190328|Callorhinchus_milii|vertebrate_basal	primary				0	Y	0	RYR	medium	partial	51.5	1941.7	0.9735	0.9977	ryr.hmm wins by 1890.2 bits (97.4% of 1941.7) over 1297 profile positions
GCA_002909625.1|RYR|PPHD01048816.1:168-6558+	GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	RYR	assembly_gap	genome_only	3	PPHD01048816.1	168	6558	+	675	0.1336	0.6774	1.0	1.0	0	0	H3BGR5|RYR|Latimeria_chalumnae	primary				0	Y	0	RYR	medium	partial	164.0	1160.3	0.8587	0.9985	ryr.hmm wins by 996.3 bits (85.9% of 1160.3) over 656 profile positions
GCA_011823955.1|ITPR1|JAAKFY010000006.1:25372485-25435846-	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	found_unannotated	genome_only	0	JAAKFY010000006.1	25372485	25435846	-	2740	1.0	0.9528	1.0	0.2963	4	0	A0A672IUQ7|ITPR1|Salarias_fasciatus	primary				0	Y	1	ITPR	high	architecture	4292.1	378.8	0.9117	0.9993	itpr.hmm wins by 3913.3 bits (91.2% of 4292.1) over 2636 profile positions
GCA_011823955.1|ITPR1|JAAKFY010000006.1:12061969-12166519+	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR1	found_unannotated	annotated_unnamed	1	JAAKFY010000006.1	12061969	12166519	+	2716	1.0	0.847	1.0	0.2301	10	0	A0A672IUQ7|ITPR1|Salarias_fasciatus	unresolved:vertebrate_basal	F7725_016552			0	Y	1	ITPR	high	architecture	4169.3	361.8	0.9132	0.9993	itpr.hmm wins by 3807.5 bits (91.3% of 4169.3) over 2636 profile positions
GCA_011823955.1|ITPR2|JAAKFY010000007.1:17781036-17839072-	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR2	found_unannotated	genome_only	0	JAAKFY010000007.1	17781036	17839072	-	2686	1.0	0.8622	1.0	0.2894	4	0	A0AAX7UHL1|ITPR2|Astatotilapia_calliptera	primary				0	Y	1	ITPR	high	architecture	3985.4	432.1	0.8916	0.9974	itpr.hmm wins by 3553.3 bits (89.2% of 3985.4) over 2636 profile positions
GCA_011823955.1|ITPR3|JAAKFY010000002.1:32293568-32378972+	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	ITPR3	found_unannotated	genome_only	0	JAAKFY010000002.1	32293568	32378972	+	2681	1.0	0.8856	1.0	0.3039	9	0	A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	primary				0	Y	1	ITPR	high	architecture	3832.4	386.2	0.8992	0.9918	itpr.hmm wins by 3446.2 bits (89.9% of 3832.4) over 2628 profile positions
GCA_011823955.1|RYR|JAAKFY010000008.1:28825736-28999030+	GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	RYR	found_annotated	annotated_unnamed	0	JAAKFY010000008.1	28825736	28999030	+	4952	1.0	0.8696	1.0	1.0	17	1	A0AC58GZ77|ryr2a|Danio_rerio|RYR2	primary	F7725_014813			0	Y	1	RYR	high	architecture	714.6	8126.6	0.9121	0.9996	ryr.hmm wins by 7412.0 bits (91.2% of 8126.6) over 4925 profile positions
