accession	organism	vclass	cell	locus_idx	state	in_architecture_scope	architecture_excluded_by	n_models	n_internal_termini	n_at_exon_boundary	n_mid_exon	n_in_intron	n_splice_ok	n_both_agree	frac_at_exon_boundary	frac_splice_ok	verdict	verdict_reason
GCA_000699945.1	Cathartes aura	Aves	ITPR2	0	fragmentary	0	A1_not_a_gene_copy	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_000699945.1	Cathartes aura	Aves	RYR	1	fragmentary	0	A1_not_a_gene_copy	2	4	3	0	1	2	2	0.75	0.5	structure_disagreement	1 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	1	2	1	1	0	1	1	0.5	0.5	annotation_failure	1 of 2 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	7	14	6	6	2	3	3	0.4286	0.2143	annotation_failure	6 of 14 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	1	split	0	A2_contig_cannot_span_the_gene	6	10	0	7	3	0	0	0	0	annotation_failure	7 of 10 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_002197005.1	Cervus elaphus hippelaphus	Mammalia	RYR	2	split	0	A2_contig_cannot_span_the_gene	6	11	5	2	4	3	2	0.4545	0.2727	annotation_failure	2 of 11 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_002909625.1	Bambusicola thoracicus	Aves	ITPR1	0	split	0	A1_not_a_gene_copy	2	3	1	1	1	1	1	0.3333	0.3333	annotation_failure	1 of 3 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	ITPR3	0	fragmentary	1		1	2	0	0	2	1	0	0	0.5	structure_disagreement	2 of 2 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	0	split	1		2	4	0	2	2	2	0	0	0.5	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	2	split	1		3	5	0	1	4	1	0	0	0.2	annotation_failure	1 of 5 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	RYR	4	fragmentary	1		1	1	0	0	1	0	0	0	0	structure_disagreement	1 of 1 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013389825.1	Crypturellus undulatus	Aves	ITPR2	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	3	1	0	1	1	0.75	0.25	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013389825.1	Crypturellus undulatus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	3	6	5	0	1	4	4	0.8333	0.6667	structure_disagreement	1 of 6 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013389885.1	Geococcyx californianus	Aves	ITPR1	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	2	2	0	1	1	0.5	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013389885.1	Geococcyx californianus	Aves	RYR	1	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	1	1	2	2	1	0.25	0.5	annotation_failure	1 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
GCA_013389885.1	Geococcyx californianus	Aves	RYR	2	fragmentary	0	A1_not_a_gene_copy	2	4	2	0	2	1	1	0.5	0.25	structure_disagreement	2 of 4 internal model termini sit inside an intron of the gene model — the annotation calls coding what the model calls intronic
GCA_013389965.1	Todus mexicanus	Aves	RYR	0	fragmentary	0	A2_contig_cannot_span_the_gene	2	4	0	2	2	1	0	0	0.25	annotation_failure	2 of 4 internal model termini sit inside an exon of the gene model, where nothing splices
