id	accession	band	group	role	paralog	clade	family	length	species	taxon_id	gene	protein_name	n_itpr_arch	arch_exception	itpr_score	ryr_score	rel_margin	envelope_frac	origin	shape_reason	screen_reason
P29993|Itpr|Drosophila_melanogaster|Arthropoda|ITPR	P29993	Arthropoda	metazoa	ITPR	Arthropoda	Arthropoda	ITPR	2837	Drosophila melanogaster (Fruit fly)	7227	Itpr	Inositol 1,4,5-trisphosphate receptor (InsP3 receptor) (IP3R) (InsP3R)	5	0	3754.0	429.6	0.8856		S3 seed (P29993|Itpr|Drosophila_melanogaster|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A4Y2F2N2|ITPR1_3|Araneus_ventricosus|Arthropoda|ITPR	A0A4Y2F2N2	Arthropoda	metazoa	ITPR	Arthropoda	Arthropoda	ITPR	2774	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	182803	ITPR1_3	Inositol 1,4,5-trisphosphate receptor	5	0	3963.0	473.7	0.8805		census v5	in band	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
A0ABM1SEU6|LOC106459878|Limulus_polyphemus|Arthropoda|ITPR	A0ABM1SEU6	Arthropoda	metazoa	ITPR	Arthropoda	Arthropoda	ITPR	2790	Limulus polyphemus (Atlantic horseshoe crab)	6850	LOC106459878	Inositol 1,4,5-trisphosphate receptor	5	0	3914.1	458.8	0.8828		census v5	in band	itpr.hmm wins at 88% margin over an envelope covering 99% in 1 segment(s)
Q24498|RyR|Drosophila_melanogaster|Arthropoda|RYR	Q24498	Arthropoda	metazoa	RYR	Arthropoda	Arthropoda	RYR	5127	Drosophila melanogaster (Fruit fly)	7227	RyR	Ryanodine receptor (Ryanodine receptor 44F)	5	0	689.4	7265.2	0.9051		S3 seed (Q24498|RyR|Drosophila_melanogaster|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 91% margin over an envelope covering 100% in 1 segment(s)
A0ACM8F2K1|LOC8026823|Ixodes_scapularis|Arthropoda|RYR	A0ACM8F2K1	Arthropoda	metazoa	RYR	Arthropoda	Arthropoda	RYR	5156	Ixodes scapularis (Black-legged tick) (Deer tick)	6945	LOC8026823	Uncharacterized protein	5	0	739.1	6815.8	0.8916		census v5	in band	ryr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
Q9Y0A1|itr-1|Caenorhabditis_elegans|Nematoda|ITPR	Q9Y0A1	Nematoda	metazoa	ITPR	Nematoda	Nematoda	ITPR	2892	Caenorhabditis elegans	6239	itr-1	Inositol 1,4,5-trisphosphate receptor itr-1 (IP3 receptor) (IP3R) (InsP3R) (LET-	5	0	3040.4	376.9	0.876		S3 seed (Q9Y0A1|itr-1|Caenorhabditis_elegans|invertebrate)	S3 seed, reused under B6	itpr.hmm wins at 88% margin over an envelope covering 97% in 1 segment(s)
A0A0V1CUW8|itr-1|Trichinella_britovi|Nematoda|ITPR	A0A0V1CUW8	Nematoda	metazoa	ITPR	Nematoda	Nematoda	ITPR	2676	Trichinella britovi (Parasitic roundworm)	45882	itr-1	Inositol 1,4,5-trisphosphate receptor	5	0	2682.3	401.1	0.8505		census v5	in band	itpr.hmm wins at 85% margin over an envelope covering 100% in 1 segment(s)
Q94279|unc-68|Caenorhabditis_elegans|Nematoda|RYR	Q94279	Nematoda	metazoa	RYR	Nematoda	Nematoda	RYR	5201	Caenorhabditis elegans	6239	unc-68	Ryanodine receptor	5	0	696.9	6765.8	0.897		S3 seed (Q94279|unc-68|Caenorhabditis_elegans|invertebrate)	S3 seed, reused under B6	ryr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A0V1AFJ9|Rya-r44F|Trichinella_patagoniensis|Nematoda|RYR	A0A0V1AFJ9	Nematoda	metazoa	RYR	Nematoda	Nematoda	RYR	5115	Trichinella patagoniensis	990121	Rya-r44F	Ryanodine receptor 44F	5	0	707.5	5945.3	0.881		census v5	in band	ryr.hmm wins at 88% margin over an envelope covering 100% in 1 segment(s)
A0AAN8PFL6|SNE40_013589|Patella_caerulea|Mollusca|ITPR	A0AAN8PFL6	Mollusca	metazoa	ITPR	Mollusca	Mollusca	ITPR	2679	Patella caerulea (Rayed Mediterranean limpet)	87958	SNE40_013589	Inositol 1,4,5-trisphosphate receptor	5	0	3825.7	492.3	0.8713		census v5	in band	itpr.hmm wins at 87% margin over an envelope covering 100% in 1 segment(s)
