accession	organism	vclass	vorder	annotated	assembly_level	genome_bp	contig_n50	contig_spans_gene	reasons	ITPR1	ITPR1_n	ITPR2	ITPR2_n	ITPR3	ITPR3_n	RYR	RYR_n	itpr_found	n_loci	other_loci	novel_models	control_ok	sweep_s
GCA_002844005.1	Limosa lapponica baueri	Aves	Charadriiformes	Y	Scaffold	1034771378	21257	0	fragment_only	tblastn_trace	0	tblastn_trace	0	found_annotated	1	found_unannotated	2	1	3	0	3	1	316.3
GCA_002909625.1	Bambusicola thoracicus	Aves	Galliformes	Y	Scaffold	1032295167	10597	0	fragment_only	assembly_gap	2	assembly_gap	2	assembly_gap	2	assembly_gap	4	0	10	0	10	1	73.4
GCA_011823955.1	Dissostichus mawsoni	Actinopteri	Perciformes	Y	Scaffold	926363279	3015437	1	missing_paralog;fragment_only	found_unannotated	2	found_unannotated	1	found_unannotated	1	found_annotated	6	3	10	0	10	1	26.6
GCA_013389825.1	Crypturellus undulatus	Aves	Tinamiformes	Y	Scaffold	1021424416	99502	0	fragment_only	found_unannotated	1	found_unannotated	1	tblastn_trace	0	found_annotated	2	2	4	0	3	1	179.6
GCA_013389965.1	Todus mexicanus	Aves	Coraciiformes	Y	Scaffold	853262227	8743	0	zero_hit_proteome	tblastn_trace	0	tblastn_trace	0	found_annotated	1	found_unannotated	1	1	2	0	2	1	53.2
GCA_013389985.1	Dryoscopus gambensis	Aves	Passeriformes	Y	Scaffold	992742094	29388	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	assembly_gap	2	3	5	0	5	1	63.9
GCA_013390065.1	Chloropsis hardwickii	Aves	Passeriformes	Y	Scaffold	1054347212	39381	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	5	1	98.5
GCA_013390105.1	Tichodroma muraria	Aves	Passeriformes	Y	Scaffold	910679850	14901	0	missing_paralog	tblastn_trace	0	tblastn_trace	0	found_annotated	1	tblastn_trace_ambiguous	0	1	1	0	0	1	115.3
GCA_013396355.1	Menura novaehollandiae	Aves	Passeriformes	Y	Scaffold	1060480557	85461	0	missing_paralog;fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	4	1	48.4
GCA_013396465.1	Smithornis capensis	Aves	Passeriformes	Y	Scaffold	1061320296	67220	0	fragment_only	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	67.5
GCA_013396875.1	Vireo altiloquus	Aves	Passeriformes	Y	Scaffold	1064977253	121572	0	missing_paralog	found_unannotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	67.4
GCA_013396975.1	Bucco capensis	Aves	Piciformes	Y	Scaffold	988120178	66968	0	fragment_only	found_unannotated	1	tblastn_trace	0	assembly_gap	2	assembly_gap	4	1	7	0	7	1	484.9
GCA_013397015.1	Myiagra hebetior	Aves	Passeriformes	Y	Scaffold	1049898355	66181	0	missing_paralog	found_annotated	1	found_unannotated	1	found_annotated	1	found_annotated	2	3	5	0	3	1	71.2
