model_id	accession	organism	group	kingdom	phylum	class	order	genome_status	db_status	copy_index	genome_copy_number	contig	start	end	strand	length	grade	coverage	identity	family_margin	span_bp	cds_footprint_bp	frameshifts	stop_codons	bait	band	annot_gene	annot_family	control_verdict	contig_spans_gene	annotated_assembly	profile_call	profile_confidence	itpr_score	ryr_score	profile_rel_margin
GCA_001247695.2|copy1|LGRX02003641.1:10549-33606	GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	found_annotated	annotated_unnamed	1	3	LGRX02003641.1	10549	33606	-	3376	full	1.0	1.0	1.0	23058	10128	0	0	A0AAE0LDZ1|CYMTET_10314|Cymbomonas_tetramitiformis|Chlorophyta|ITPR	Chlorophyta	CYMTET_10314		controlled_by_target	1	Y	ITPR	high	1943.2	153.5	0.921
GCA_001247695.2|copy2|LGRX02004233.1:57096-78453	GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	found_annotated	annotated_unnamed	2	3	LGRX02004233.1	57096	78453	+	2347	fragment	0.6998	0.2362	1.0	21358	7038	0	0	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	CYMTET_11329		controlled_by_target	1	Y	ITPR	high	752.6	217.0	0.7117
GCA_001247695.2|copy3|LGRX02010592.1:72749-81555	GCA_001247695.2	Cymbomonas tetramitiformis	viridiplantae	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	found_annotated	annotated_unnamed	3	3	LGRX02010592.1	72749	81555	+	2477	full	0.9404	0.2153	1.0	8807	7194	0	0	A0ABN8N199|PLOB_00042910|Porites_lobata|Cnidaria|ITPR	Cnidaria	CYMTET_21539		controlled_by_target	1	Y	ITPR	high	868.1	236.5	0.7276
GCA_001460835.1|copy1|CYKH01000090.1:35-6397	GCA_001460835.1	Bodo saltans	discoba		Euglenozoa	Kinetoplastea	Eubodonida	found_annotated	annotated_unnamed	1	2	CYKH01000090.1	35	6397	+	2024	fragment	0.6199	0.2307	1.0	6363	6069	0	1	L8GF85|ACA1_256780|Acanthamoeba_castellanii|Discosea|ITPR	Discosea	BSAL_52665		controlled_by_target	1	Y	ITPR	high	764.0	330.9	0.5669
GCA_001460835.1|copy2|CYKH01001700.1:6529-19742	GCA_001460835.1	Bodo saltans	discoba		Euglenozoa	Kinetoplastea	Eubodonida	found_annotated	annotated_unnamed	2	2	CYKH01001700.1	6529	19742	+	1414	fragment	0.5264	0.2434	0.5968	13214	4239	0	0	A0A8K0A0Y4|ITPR1|Branchiostoma_lanceolatum|Chordata|ITPR	Chordata	BSAL_18940		controlled_by_target	1	Y	ITPR	medium	619.3	300.1	0.5154
GCA_001460835.1|copy3|CYKH01000172.1:1666-7368	GCA_001460835.1	Bodo saltans	discoba		Euglenozoa	Kinetoplastea	Eubodonida	found_annotated	annotated_unnamed	3	2	CYKH01000172.1	1666	7368	+	1599	fragment	0.6129	0.2276	1.0	5703	4794	0	0	A0A433QY11|BC938DRAFT_479224|Jimgerdemannia_flammicorona|Mucoromycota|ITPR	Mucoromycota	BSAL_55895		controlled_by_target	1	Y	ITPR	medium	480.6	285.7	0.4055
GCA_001460835.1|copy4|CYKH01000197.1:4212-18386	GCA_001460835.1	Bodo saltans	discoba		Euglenozoa	Kinetoplastea	Eubodonida	found_annotated	annotated_unnamed	4	2	CYKH01000197.1	4212	18386	+	2355	full	0.961	0.1993	1.0	14175	7392	0	0	A0AAN9BAK1|V1264_020598|Littorina_saxatilis|Mollusca|ITPR	Mollusca	BSAL_56455		controlled_by_target	1	Y	ITPR	high	656.7	249.8	0.6196
GCA_001460835.1|copy5|CYKH01002042.1:14687-17320	GCA_001460835.1	Bodo saltans	discoba		Euglenozoa	Kinetoplastea	Eubodonida	found_annotated	annotated_unnamed	5	2	CYKH01002042.1	14687	17320	+	876	fragment	0.3094	0.2402	1.0	2634	2376	0	0	A0A078ASZ8|Contig10368.g11065|Stylonychia_lemnae|Ciliophora|ITPR	Ciliophora	BSAL_37210		controlled_by_target	1	Y	ITPR	medium	426.1	270.8	0.3645
GCA_001606155.1|copy1|LODT01000051.1:779255-858373	GCA_001606155.1	Tieghemostelium lacteum	amoebozoa		Evosea	Eumycetozoa	Dictyosteliales	found_annotated	annotated_unnamed	1	1	LODT01000051.1	779255	858373	-	3210	full	1.0	0.4975	1.0	79119	8790	2	0	Q9NA13|iplA|Dictyostelium_discoideum|Evosea|ITPR	Evosea	DLAC_11299		controlled_by_target	1	Y	ITPR	high	1213.9	163.1	0.8656
GCA_001642005.1|copy1|LWCA01000495.1:548-21435	GCA_001642005.1	Intoshia linei	metazoa	Metazoa	Orthonectida			assembly_gap	annotated_unnamed	1	0	LWCA01000495.1	548	21435	-	1571	fragment	0.5913	0.4038	1.0	20888	4587	0	0	A0ACM8C709|LOC100375107|Saccoglossus_kowalevskii|Hemichordata|ITPR	Hemichordata	A3Q56_04067		controlled_cross_kingdom	0	Y	ITPR	high	654.8	105.4	0.839
