accession	verdict	rule	evidence	kingdom	phylum	lineage_class	species	taxon_id	gene	protein_name	length	source	call_by	itpr_score	ryr_score	rel_margin	itpr_positions	fragment	protein_existence	reviewed	pfams	n_embl	n_proteomes	out_kingdom_best	out_kingdom_pident	out_kingdom_qcov	out_kingdom_group	within_best	within_pident	within_group
A0A0B7N6H0	fragment	R5	253 aa against the 2000 aa family floor	Fungi	Mucoromycota	other_early_diverging	Parasitella parasitica	35722	PARPA_04387.1	Uncharacterized protein	253	s20_sweep:fungi	profile	76.2	0.0	1.0	201		Predicted	0		1	1	A0A8T1MMW7	35.7	0.308	Metazoa (non-vertebrate)	A0A8H7VCW8	74.0	Fungi
A0A0C9M4R7	real_gene	R6	2599 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.2 % (A0ACM8C709, Metazoa (non-vertebrate)); nearest within-kingdom 89.0 %	Fungi	Mucoromycota	other_early_diverging	Mucor ambiguus	91626	MAM1_0060c03786	MIR domain-containing protein	2599	census_v3+s20_sweep:fungi	both	1182.9	372.2	0.6853	2612		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0ACM8C709	23.2	0.653	Metazoa (non-vertebrate)	A0AAN7D8C4	89.0	Fungi
A0A150GRB6	fragment	R5	266 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Gonium pectorale	33097	GPECTOR_9g419	Ion transport domain-containing protein	266	s20_sweep:viridiplantae	profile	117.5	87.1	0.2587	250		Predicted	0	PF00520;	1	1	A0A422P9J5	26.6	0.996	Discoba	A0AAD3HMG2	86.5	Viridiplantae
A0A150GRF6	real_gene	R6	2580 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.2 % (A0A401PCL8, Vertebrata); nearest within-kingdom 59.9 %	Viridiplantae	Chlorophyta	green_alga	Gonium pectorale (Green alga)	33097	GPECTOR_9g418	Uncharacterized protein	2580	census_v3+s20_sweep:viridiplantae	both	489.0	62.8	0.8716	1911		Predicted	0	PF08709;PF08454;PF01365;	1	1	A0A401PCL8	23.2	0.357	Vertebrata	A0ABQ5SNM9	59.9	Viridiplantae
A0A150GSG3	fragment	R5	906 aa against the 2000 aa family floor	Viridiplantae	Chlorophyta	green_alga	Gonium pectorale	33097	GPECTOR_9g697	Ion transport domain-containing protein	906	s20_sweep:viridiplantae	profile	129.4	77.5	0.4011	325		Predicted	0		1	1	A0A8D2LYE5	26.5	0.319	Vertebrata	A0A8J4D1Q5	47.0	Viridiplantae
A0A162V9Q6	real_gene	R6	2551 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.5 % (A0AAN9C066, Metazoa (non-vertebrate)); nearest within-kingdom 100.0 %	Fungi	Mucoromycota	other_early_diverging	Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)	763407	PHYBLDRAFT_184553	IP3 receptor	2551	census_v3+s20_sweep:fungi	both	1280.0	369.6	0.7112	2504		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0AAN9C066	23.5	0.941	Metazoa (non-vertebrate)	A0ABR3B852	100.0	Fungi
A0A168KKP7	real_gene	R6	2620 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 33.1 % (L8GF85, Amoebozoa); nearest within-kingdom 90.9 %	Fungi	Mucoromycota	other_early_diverging	Mucor lusitanicus CBS 277.49	747725	MUCCIDRAFT_111891	Uncharacterized protein	2620	census_v3+s20_sweep:fungi	both	1216.1	380.7	0.687	2612		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	L8GF85	33.1	0.273	Amoebozoa	A0AAN7D8C4	90.9	Fungi
A0A168RJ50	real_gene	R6	2540 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.7 % (A0AAN9C066, Metazoa (non-vertebrate)); nearest within-kingdom 79.1 %	Fungi	Mucoromycota	other_early_diverging	Absidia glauca (Pin mould)	4829	ABSGL_12645.1	Inositol 1,4,5-trisphosphate receptor type 3	2540	census_v3+s20_sweep:fungi	both	1012.5	242.1	0.7609	2418		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0AAN9C066	22.7	0.625	Metazoa (non-vertebrate)	A0A1X2IXV9	79.1	Fungi
A0A1C7NSC1	real_gene	R6	2547 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 22.3 % (A0A1S3H6V5, Metazoa (non-vertebrate)); nearest within-kingdom 57.9 %	Fungi	Mucoromycota	other_early_diverging	Choanephora cucurbitarum	101091	Itpr3	Inositol 1,4,5-trisphosphate receptor type 3	2547	census_v3+s20_sweep:fungi	both	1151.6	341.8	0.7032	2614		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0A1S3H6V5	22.3	0.675	Metazoa (non-vertebrate)	A0AAN7D8C4	57.9	Fungi
A0A1X2G6S3	real_gene	R6	2642 aa, 1 EMBL / 1 proteome cross-refs; nearest outside-kingdom relative 23.9 % (A0ACF8S931, Metazoa (non-vertebrate)); nearest within-kingdom 60.5 %	Fungi	Mucoromycota	other_early_diverging	Hesseltinella vesiculosa	101127	DM01DRAFT_321913	MIR domain-containing protein	2642	census_v3+s20_sweep:fungi	both	1217.1	343.2	0.718	2614		Predicted	0	PF08709;PF00520;PF02815;PF08454;	1	1	A0ACF8S931	23.9	0.639	Metazoa (non-vertebrate)	A0A1X2IXV9	60.5	Fungi
