pair	frame	element	n_columns	identity	whole_protein_identity	delta_vs_whole	whole_protein_identity_trimmed	n_residues_kept_by_trimal	n_residues_in_element
ITPR1_vs_ITPR2	ITPR1	MIR	198	0.7424	0.7026	0.0399	0.812	126	200
ITPR1_vs_ITPR2	ITPR1	RIH_C	147	0.7619	0.7026	0.0594	0.812	102	149
ITPR1_vs_ITPR2	ITPR1	RIH_N	197	0.7614	0.7026	0.0589	0.812	153	197
ITPR1_vs_ITPR2	ITPR1	RIH_assoc	107	0.9346	0.7026	0.232	0.812	95	107
ITPR1_vs_ITPR2	ITPR1	channel	183	0.8197	0.7026	0.1171	0.812	144	183
ITPR1_vs_ITPR2	ITPR1	cterm	147	0.8095	0.7026	0.107	0.812	124	150
ITPR1_vs_ITPR2	ITPR1	gate	5	1.0	0.7026	0.2974	0.812	5	5
ITPR1_vs_ITPR2	ITPR1	ip3_contact	10	0.9	0.7026	0.1974	0.812	6	10
ITPR1_vs_ITPR2	ITPR1	linker_MIR_RIH_N	41	0.7073	0.7026	0.0048	0.812	37	41
ITPR1_vs_ITPR2	ITPR1	linker_RIH_C_RIH_assoc	565	0.623	0.7026	-0.0795	0.812	319	618
ITPR1_vs_ITPR2	ITPR1	linker_RIH_N_RIH_C	510	0.6255	0.7026	-0.0771	0.812	286	533
ITPR1_vs_ITPR2	ITPR1	linker_RIH_assoc_channel	282	0.6773	0.7026	-0.0252	0.812	183	285
ITPR1_vs_ITPR2	ITPR1	luminal_loop	45	0.3111	0.7026	-0.3914	0.812	12	51
ITPR1_vs_ITPR2	ITPR1	nterm_trefoil	225	0.7822	0.7026	0.0797	0.812	161	225
ITPR1_vs_ITPR2	ITPR1	selectivity_filter	7	0.8571	0.7026	0.1546	0.812	7	7
ITPR1_vs_ITPR3	ITPR1	MIR	198	0.702	0.6405	0.0615	0.7526	126	200
ITPR1_vs_ITPR3	ITPR1	RIH_C	147	0.6803	0.6405	0.0397	0.7526	102	149
ITPR1_vs_ITPR3	ITPR1	RIH_N	197	0.7462	0.6405	0.1057	0.7526	153	197
ITPR1_vs_ITPR3	ITPR1	RIH_assoc	107	0.8972	0.6405	0.2567	0.7526	95	107
ITPR1_vs_ITPR3	ITPR1	channel	183	0.7705	0.6405	0.13	0.7526	144	183
ITPR1_vs_ITPR3	ITPR1	cterm	144	0.7431	0.6405	0.1025	0.7526	124	150
ITPR1_vs_ITPR3	ITPR1	gate	5	1.0	0.6405	0.3595	0.7526	5	5
ITPR1_vs_ITPR3	ITPR1	ip3_contact	10	0.9	0.6405	0.2595	0.7526	6	10
ITPR1_vs_ITPR3	ITPR1	linker_MIR_RIH_N	41	0.5854	0.6405	-0.0552	0.7526	37	41
ITPR1_vs_ITPR3	ITPR1	linker_RIH_C_RIH_assoc	528	0.5246	0.6405	-0.1159	0.7526	319	618
ITPR1_vs_ITPR3	ITPR1	linker_RIH_N_RIH_C	502	0.5598	0.6405	-0.0808	0.7526	286	533
ITPR1_vs_ITPR3	ITPR1	linker_RIH_assoc_channel	276	0.6087	0.6405	-0.0318	0.7526	183	285
ITPR1_vs_ITPR3	ITPR1	luminal_loop	49	0.2041	0.6405	-0.4365	0.7526	12	51
ITPR1_vs_ITPR3	ITPR1	nterm_trefoil	225	0.7733	0.6405	0.1328	0.7526	161	225
ITPR1_vs_ITPR3	ITPR1	selectivity_filter	7	0.8571	0.6405	0.2166	0.7526	7	7
ITPR2_vs_ITPR3	ITPR2	MIR	198	0.7475	0.6628	0.0846	0.7728	126	200
ITPR2_vs_ITPR3	ITPR2	RIH_C	151	0.6821	0.6628	0.0193	0.7728	104	151
ITPR2_vs_ITPR3	ITPR2	RIH_N	198	0.7929	0.6628	0.1301	0.7728	153	198
ITPR2_vs_ITPR3	ITPR2	RIH_assoc	107	0.8785	0.6628	0.2157	0.7728	95	107
ITPR2_vs_ITPR3	ITPR2	channel	225	0.7556	0.6628	0.0927	0.7728	175	227
ITPR2_vs_ITPR3	ITPR2	cterm	144	0.7917	0.6628	0.1288	0.7728	124	150
ITPR2_vs_ITPR3	ITPR2	gate	5	1.0	0.6628	0.3372	0.7728	5	5
ITPR2_vs_ITPR3	ITPR2	ip3_contact	10	1.0	0.6628	0.3372	0.7728	6	10
ITPR2_vs_ITPR3	ITPR2	linker_MIR_RIH_N	41	0.6829	0.6628	0.0201	0.7728	37	41
ITPR2_vs_ITPR3	ITPR2	linker_RIH_C_RIH_assoc	518	0.5309	0.6628	-0.132	0.7728	316	570
ITPR2_vs_ITPR3	ITPR2	linker_RIH_N_RIH_C	510	0.5706	0.6628	-0.0923	0.7728	284	523
ITPR2_vs_ITPR3	ITPR2	linker_RIH_assoc_channel	236	0.6653	0.6628	0.0024	0.7728	152	243
ITPR2_vs_ITPR3	ITPR2	luminal_loop	46	0.1304	0.6628	-0.5324	0.7728	11	48
ITPR2_vs_ITPR3	ITPR2	nterm_trefoil	223	0.7982	0.6628	0.1354	0.7728	161	223
ITPR2_vs_ITPR3	ITPR2	selectivity_filter	7	1.0	0.6628	0.3372	0.7728	7	7
