accession	organism	vclass	cell	panel	n_baits	found	best_coverage	best_identity	best_bait
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	full38	38	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	full38	38	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	full38	38	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	full38	38	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	s3_seeds_only	25	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	s3_seeds_only	25	0	0.3867	0.9494	F1P1X4|ITPR2|Gallus_gallus|ITPR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	s3_seeds_only	25	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	s3_seeds_only	25	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	labelled_only	35	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	labelled_only	35	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	labelled_only	35	1	0.8239	0.9903	A0A8V1ACE6|ITPR3|Gallus_gallus|ITPR3
GCA_000699545.1	Podiceps cristatus	Aves	RYR	labelled_only	35	0	0.4775	0.9836	A0A8V0Y8K1|RYR2|Gallus_gallus|RYR2
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	basal_only	3	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	basal_only	3	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR3	basal_only	3	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	RYR	basal_only	3	0	0.0	0.0	
GCA_000699545.1	Podiceps cristatus	Aves	ITPR1	no_ryr_control	30	0	0.3343	0.9925	A0A8V0ZJT0|ITPR1|Gallus_gallus|ITPR1
GCA_000699545.1	Podiceps cristatus	Aves	ITPR2	no_ryr_control	30	0	0.387	0.9542	A0A672UP22|ITPR2|Strigops_habroptila
