upid	organism	taxid	protein_count	group	genus	genus_n_available	status
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	6067	fungi			swept
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	5130	fungi			swept
UP000000559	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	6041	fungi			swept
UP000000267	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17) (Kluyveromyces polysporus)	436907	5353	fungi			swept
UP000000314	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	644223	5075	fungi			swept
UP000000560	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	10561	fungi			swept
UP000000561	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)	5270	6805	fungi			swept
UP000000591	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	284811	4760	fungi			swept
UP000000598	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	284590	5071	fungi			swept
UP000000599	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	284592	6284	fungi			swept
UP000000689	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis)	1071378	5523	fungi			swept
UP000000707	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) (Yeast) (Yamadazyma tenuis)	590646	6051	fungi			swept
UP000000709	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	619300	5973	fungi			swept
UP000000724	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	500485	12788	fungi			swept
UP000000819	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	284813	2041	fungi			swept
UP000001056	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)	306901	11036	fungi			swept
UP000001067	Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres)	861557	11705	fungi			swept
UP000001072	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)	747676	16237	fungi			swept
UP000001197	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	515849	10657	fungi			swept
UP000001261	Coccidioides immitis (strain RS) (Valley fever fungus)	246410	9712	fungi			swept
UP000001294	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	441960	10448	fungi			swept
UP000001300	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	284591	6454	fungi			swept
UP000001312	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	665079	14445	fungi			swept
UP000001429	Candida albicans (strain WO-1) (Yeast)	294748	5742	fungi			swept
UP000001610	Cordyceps militaris (strain CM01) (Caterpillar fungus)	983644	9651	fungi			swept
UP000001628	Paracoccidioides brasiliensis (strain Pb18)	502780	8399	fungi			swept
UP000001631	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	447093	9214	fungi			swept
UP000001640	Naumovozyma castellii (Yeast) (Saccharomyces castellii)	27288	5565	fungi			swept
UP000001699	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	451804	9942	fungi			swept
UP000001744	Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)	402676	4862	fungi			swept
UP000001745	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	441959	13021	fungi			swept
UP000001798	Botrytis cinerea (strain B05.10) (Noble rot fungus) (Botryotinia fuckeliana)	332648	13036	fungi			swept
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	10255	fungi			swept
UP000001861	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata)	240176	13335	fungi			swept
UP000001881	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	771870	9890	fungi			swept
UP000001996	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) (Yeast) (Saccharomyces elongisporus)	379508	5779	fungi			swept
UP000001997	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii)	294746	5919	fungi			swept
UP000002035	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	554155	8764	fungi			swept
UP000002036	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans)	559295	5093	fungi			swept
UP000002037	Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast)	294747	6226	fungi			swept
UP000002038	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis)	559298	10303	fungi			swept
UP000002039	Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis)	559297	10398	fungi			swept
UP000002058	Uncinocarpus reesii (strain UAMH 1704) (Gymnoascus siglerae)	336963	7760	fungi			swept
UP000002059	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	502779	8811	fungi			swept
UP000002149	Cryptococcus deneoformans (strain JEC21 / ATCC MYA-565) (Cryptococcus neoformans var. neoformans serotype D)	214684	6740	fungi			swept
UP000002258	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	322104	5797	fungi			swept
UP000002313	Encephalitozoon intestinalis (strain ATCC 50506) (Microsporidian parasite) (Septata intestinalis)	876142	1934	fungi			swept
UP000002428	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	284593	5200	fungi			swept
UP000002498	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23))	655844	11684	fungi			swept
UP000002499	Metarhizium acridum (strain CQMa 102)	655827	9830	fungi			swept
