proteome_id	organism	species	taxon_id	vclass	proteome_proteins	genome_accession	n_genomes_in_scope	n_itpr_loci	n_recovered	best_coverage	contig_spans_any	verdict	verdict_reason
UP000681084	Bothrops jararaca (Jararaca) (Bothrops jajaraca)	Bothrops jararaca	8724	Lepidosauria	84	GCA_018340635.1	1	2	2	1	1	gene_caller_missed_it	2 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 84 proteins
UP000031515	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	Chaetura pelagica	8897	Aves	3162	GCF_000747805.2	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 3162 proteins
UP000053238	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	Phalacrocorax carbo	9209	Aves	8990	GCF_963921805.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 8990 proteins
UP000053283	Nipponia nippon (Crested ibis) (Ibis nippon)	Nipponia nippon	128390	Aves	14132	GCF_047370975.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 14132 proteins
UP000053286	Aptenodytes forsteri (Emperor penguin)	Aptenodytes forsteri	9233	Aves	13704	GCF_000699145.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 13704 proteins
UP000053537	Acanthisitta chloris (rifleman)	Acanthisitta chloris	57068	Aves	9650	GCF_000695815.1	1	3	3	0.9946	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 9650 proteins
UP000053760	Cuculus canorus (Common cuckoo)	Cuculus canorus	55661	Aves	13582	GCF_017976375.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 13582 proteins
UP000053858	Charadrius vociferus (Killdeer) (Aegialitis vocifera)	Charadrius vociferus	50402	Aves	14257	GCF_000708025.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 14257 proteins
UP000054232	Eurypyga helias (Sunbittern) (Ardea helias)	Eurypyga helias	54383	Aves	7979	GCF_000690775.1	1	2	2	1	0	gene_caller_missed_it	2 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 7979 proteins
UP000536381	Semnornis frantzii	Semnornis frantzii	91796	Aves	10801	GCA_013399775.1	1	1	1	1	0	gene_caller_missed_it	1 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 10801 proteins
UP000537747	Mystacornis crossleyi	Mystacornis crossleyi	98133	Aves	10563	GCA_013400655.1	1	2	1	0.7374	0	gene_caller_missed_it	1 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 10563 proteins
UP000660247	Todus mexicanus (Puerto Rican tody)	Todus mexicanus	135184	Aves	10042	GCA_013389965.1	1	1	1	1	0	gene_caller_missed_it	1 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 10042 proteins
UP001529510	Cirrhinus mrigala (Mrigala)	Cirrhinus mrigala	683832	Actinopteri	57290	GCA_036247105.2	1	4	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 57290 proteins
UP000295264	Sousa chinensis (Indo-pacific humpbacked dolphin) (Steno chinensis)	Sousa chinensis	103600	Mammalia	8382	GCA_007760645.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 8382 proteins
UP000631465	Cervus hanglu yarkandensis (Yarkand deer)	Cervus hanglu	84702	Mammalia	713	GCA_010411085.1	1	3	3	1	1	gene_caller_missed_it	3 of 3 ITPR cells recovered from the assembly at coverage >= 0.5 while the proteome holds none among 713 proteins
